Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]	Event
318.0	1297.0	979.0	955.0	482.0	Cap Off
1319.0	1599.0	280.0	936.0	488.0	Cap Off
1734.0	1844.0	110.0	962.0	556.0	Cap Off
1889.0	2019.0	130.0	893.0	549.0	Cap Off
2069.0	2169.0	100.0	894.0	552.0	Cap Off
2409.0	2849.0	440.0	915.0	586.0	Cap Off
2894.0	3124.0	230.0	920.0	568.0	Cap Off
3145.0	3265.0	120.0	910.0	533.0	Cap Off
3288.0	3518.0	230.0	903.0	487.0	Cap Off
3585.0	3675.0	90.0	1053.0	269.0	Cap Off
3714.0	3794.0	80.0	1046.0	297.0	Cap Off
3987.0	4117.0	130.0	1031.0	597.0	Cap Off
4135.0	4225.0	90.0	988.0	573.0	Cap Off
4268.0	4418.0	150.0	1004.0	567.0	Cap Off
4433.0	4643.0	210.0	1038.0	568.0	Cap Off
4837.0	4927.0	90.0	811.0	301.0	Apply Tip
4963.0	5183.0	220.0	919.0	358.0	Apply Tip
5263.0	5383.0	120.0	992.0	367.0	Apply Tip
5552.0	5792.0	240.0	1008.0	333.0	Apply Tip
5852.0	6062.0	210.0	1004.0	395.0	Apply Tip
6265.0	6345.0	80.0	1050.0	411.0	Apply Tip
6363.0	6443.0	80.0	1057.0	389.0	Apply Tip
6455.0	6525.0	70.0	1079.0	434.0	Apply Tip
6556.0	6636.0	80.0	968.0	501.0	Apply Tip
6652.0	6742.0	90.0	969.0	486.0	Apply Tip
6783.0	6993.0	210.0	981.0	443.0	Apply Tip
7104.0	7864.0	760.0	992.0	386.0	Apply Tip
7883.0	8103.0	220.0	979.0	397.0	Apply Tip
8234.0	8394.0	160.0	980.0	410.0	Apply Tip
8433.0	8643.0	210.0	974.0	408.0	Apply Tip
8713.0	8793.0	80.0	962.0	425.0	Apply Tip
8800.0	8880.0	80.0	973.0	447.0	Apply Tip
8905.0	9115.0	210.0	960.0	430.0	Apply Tip
9253.0	9663.0	410.0	952.0	433.0	Apply Tip
9724.0	9804.0	80.0	1009.0	455.0	Apply Tip
9822.0	10192.0	370.0	993.0	446.0	Apply Tip
10371.0	10481.0	110.0	955.0	770.0	Setting Units
10504.0	10594.0	90.0	941.0	737.0	Setting Units
10631.0	10901.0	270.0	933.0	677.0	Setting Units
10920.0	11060.0	140.0	945.0	627.0	Setting Units
11219.0	11409.0	190.0	923.0	634.0	Setting Units
11470.0	11840.0	370.0	929.0	602.0	Setting Units
11903.0	12033.0	130.0	931.0	582.0	Setting Units
12170.0	12390.0	220.0	939.0	577.0	Setting Units
12429.0	12919.0	490.0	936.0	569.0	Setting Units
12978.0	13098.0	120.0	944.0	580.0	Setting Units
13268.0	13398.0	130.0	914.0	622.0	Setting Units
13530.0	13630.0	100.0	902.0	503.0	Setting Units
13669.0	13759.0	90.0	940.0	368.0	Priming
13802.0	14042.0	240.0	946.0	394.0	Priming
14081.0	14191.0	110.0	956.0	379.0	Priming
14272.0	14612.0	340.0	959.0	380.0	Priming
14781.0	14941.0	160.0	979.0	375.0	Priming
14949.0	15029.0	80.0	936.0	401.0	Priming
15141.0	15281.0	140.0	917.0	416.0	Priming
15287.0	15677.0	390.0	971.0	374.0	Priming
16439.0	16529.0	90.0	686.0	556.0	Priming
16585.0	16695.0	110.0	739.0	555.0	Priming
16720.0	16830.0	110.0	758.0	528.0	Priming
16847.0	17097.0	250.0	784.0	531.0	Priming
17118.0	17208.0	90.0	801.0	524.0	Priming
17247.0	18216.0	969.0	814.0	514.0	Priming
18265.0	18755.0	490.0	801.0	511.0	Priming
18814.0	18924.0	110.0	821.0	503.0	Priming
18968.0	19228.0	260.0	802.0	512.0	Priming
19249.0	20348.0	1099.0	779.0	532.0	Priming
20367.0	20517.0	150.0	798.0	525.0	Priming
20578.0	20698.0	120.0	796.0	526.0	Priming
20714.0	21144.0	430.0	810.0	518.0	Priming
21168.0	21868.0	700.0	790.0	519.0	Priming
21886.0	22286.0	400.0	785.0	526.0	Priming
22303.0	22543.0	240.0	778.0	518.0	Priming
22563.0	23213.0	650.0	791.0	512.0	Priming
23314.0	23394.0	80.0	821.0	527.0	Priming
23516.0	25165.0	1649.0	792.0	508.0	Priming
25665.0	25765.0	100.0	1031.0	720.0	Setting Units
25782.0	25882.0	100.0	1026.0	702.0	Setting Units
25905.0	26015.0	110.0	981.0	635.0	Setting Units
26034.0	26184.0	150.0	962.0	596.0	Setting Units
26204.0	26284.0	80.0	967.0	568.0	Setting Units
26304.0	26414.0	110.0	952.0	567.0	Setting Units
26455.0	26555.0	100.0	938.0	541.0	Setting Units
26573.0	26683.0	110.0	919.0	542.0	Setting Units
26720.0	26830.0	110.0	911.0	536.0	Setting Units
26872.0	27132.0	260.0	932.0	513.0	Setting Units
27420.0	27660.0	240.0	924.0	509.0	Setting Units
27723.0	28313.0	590.0	926.0	502.0	Setting Units
28480.0	28730.0	250.0	919.0	507.0	Setting Units
28750.0	29100.0	350.0	933.0	502.0	Setting Units
29453.0	29543.0	90.0	594.0	628.0	Injection
29618.0	29748.0	130.0	744.0	535.0	Injection
29850.0	30030.0	180.0	888.0	520.0	Injection
30052.0	30252.0	200.0	916.0	536.0	Injection
30267.0	30657.0	390.0	925.0	518.0	Injection
30951.0	31061.0	110.0	923.0	457.0	Injection
31122.0	31662.0	540.0	955.0	428.0	Injection
31680.0	32350.0	670.0	977.0	424.0	Injection
33088.0	33328.0	240.0	1063.0	209.0	Injection
33349.0	33599.0	250.0	1031.0	296.0	Injection
33650.0	33730.0	80.0	1015.0	327.0	Injection
33766.0	33836.0	70.0	989.0	348.0	Injection
33880.0	33950.0	70.0	976.0	365.0	Injection
34018.0	34108.0	90.0	1153.0	480.0	Injection
34288.0	34418.0	130.0	1019.0	478.0	Injection
34440.0	34530.0	90.0	990.0	481.0	Injection
34567.0	34727.0	160.0	965.0	476.0	Injection
34986.0	35066.0	80.0	968.0	461.0	Injection
35307.0	36226.0	919.0	951.0	460.0	Injection
36295.0	36415.0	120.0	965.0	447.0	Injection
38415.0	38525.0	110.0	681.0	717.0	Injection
38567.0	38967.0	400.0	719.0	708.0	Injection
38987.0	39247.0	260.0	733.0	667.0	Injection
39402.0	39792.0	390.0	1026.0	376.0	Injection
39813.0	39983.0	170.0	1047.0	398.0	Injection
40004.0	40214.0	210.0	1005.0	396.0	Injection
40416.0	40846.0	430.0	980.0	400.0	Injection
41356.0	42026.0	670.0	984.0	394.0	Injection
42105.0	42205.0	100.0	981.0	398.0	Injection
42261.0	42511.0	250.0	971.0	395.0	Injection
42551.0	42741.0	190.0	980.0	397.0	Injection
42862.0	43162.0	300.0	976.0	395.0	Injection
43200.0	43340.0	140.0	965.0	396.0	Injection
44221.0	44311.0	90.0	968.0	422.0	Injection
44384.0	44454.0	70.0	1024.0	428.0	Injection
44524.0	44754.0	230.0	952.0	472.0	Injection
44794.0	44994.0	200.0	771.0	659.0	Injection
45030.0	45160.0	130.0	817.0	647.0	Injection
45181.0	45301.0	120.0	835.0	632.0	Injection
45323.0	45563.0	240.0	846.0	619.0	Injection
45583.0	45713.0	130.0	854.0	631.0	Injection
45853.0	45983.0	130.0	867.0	590.0	Injection
46001.0	46191.0	190.0	875.0	572.0	Injection
46453.0	46523.0	70.0	892.0	483.0	Injection
46718.0	46848.0	130.0	1151.0	543.0	Remove Tip
46870.0	46940.0	70.0	1092.0	514.0	Remove Tip
46979.0	47079.0	100.0	1038.0	492.0	Remove Tip
47122.0	47202.0	80.0	1025.0	479.0	Remove Tip
47282.0	47382.0	100.0	1020.0	471.0	Remove Tip
47552.0	47712.0	160.0	1034.0	453.0	Remove Tip
47800.0	47980.0	180.0	1037.0	422.0	Remove Tip
48077.0	48177.0	100.0	864.0	569.0	Remove Tip
48218.0	48308.0	90.0	918.0	537.0	Remove Tip
48332.0	48462.0	130.0	935.0	541.0	Remove Tip
48498.0	48708.0	210.0	950.0	526.0	Remove Tip
48769.0	49269.0	500.0	959.0	517.0	Remove Tip
49291.0	49761.0	470.0	954.0	505.0	Remove Tip
49871.0	49941.0	70.0	1596.0	795.0	Cap On
