Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]	Event
1418.0	1488.0	70.0	837.0	472.0	Cap Off
1506.0	1596.0	90.0	863.0	501.0	Cap Off
1659.0	1779.0	120.0	907.0	522.0	Cap Off
1796.0	1866.0	70.0	922.0	582.0	Cap Off
1908.0	2158.0	250.0	929.0	630.0	Cap Off
2326.0	2486.0	160.0	983.0	682.0	Cap Off
2509.0	2589.0	80.0	958.0	617.0	Cap Off
2605.0	2725.0	120.0	899.0	523.0	Cap Off
2748.0	2858.0	110.0	867.0	439.0	Cap Off
2898.0	3008.0	110.0	884.0	391.0	Cap Off
3024.0	3274.0	250.0	891.0	385.0	Cap Off
3428.0	3498.0	70.0	935.0	410.0	Cap Off
3863.0	3973.0	110.0	1080.0	603.0	Cap Off
3993.0	4093.0	100.0	983.0	602.0	Cap Off
4168.0	4278.0	110.0	961.0	627.0	Cap Off
4297.0	4467.0	170.0	1006.0	613.0	Cap Off
4627.0	4747.0	120.0	947.0	398.0	Apply Tip
4847.0	5087.0	240.0	1030.0	442.0	Apply Tip
5127.0	5207.0	80.0	1037.0	456.0	Apply Tip
5574.0	5804.0	230.0	1059.0	469.0	Apply Tip
5843.0	5973.0	130.0	1071.0	421.0	Apply Tip
5996.0	6076.0	80.0	1038.0	405.0	Apply Tip
6166.0	6256.0	90.0	995.0	457.0	Apply Tip
6294.0	6374.0	80.0	985.0	477.0	Apply Tip
6416.0	6506.0	90.0	994.0	504.0	Apply Tip
6544.0	6694.0	150.0	993.0	482.0	Apply Tip
6823.0	6903.0	80.0	961.0	461.0	Apply Tip
6946.0	7126.0	180.0	996.0	454.0	Apply Tip
7132.0	7282.0	150.0	957.0	442.0	Apply Tip
7373.0	7623.0	250.0	969.0	427.0	Apply Tip
7645.0	7785.0	140.0	956.0	420.0	Apply Tip
8070.0	8300.0	230.0	951.0	439.0	Apply Tip
8341.0	9560.0	1219.0	962.0	458.0	Apply Tip
9580.0	9710.0	130.0	973.0	450.0	Apply Tip
9880.0	9950.0	70.0	1010.0	471.0	Apply Tip
10034.0	10234.0	200.0	1005.0	472.0	Apply Tip
10289.0	10499.0	210.0	973.0	462.0	Apply Tip
10564.0	10794.0	230.0	966.0	435.0	Apply Tip
10979.0	11059.0	80.0	909.0	749.0	Setting Units
11290.0	11360.0	70.0	879.0	702.0	Setting Units
11379.0	11469.0	90.0	887.0	668.0	Setting Units
11511.0	11901.0	390.0	896.0	623.0	Setting Units
11943.0	12043.0	100.0	901.0	601.0	Setting Units
12058.0	12368.0	310.0	906.0	587.0	Setting Units
12413.0	12893.0	480.0	904.0	578.0	Setting Units
12909.0	13119.0	210.0	919.0	589.0	Setting Units
13261.0	13441.0	180.0	610.0	467.0	Setting Units
13538.0	13698.0	160.0	751.0	371.0	Priming
13741.0	13851.0	110.0	842.0	367.0	Priming
13891.0	14031.0	140.0	869.0	369.0	Priming
14039.0	14139.0	100.0	906.0	411.0	Priming
14157.0	14387.0	230.0	950.0	417.0	Priming
14461.0	15650.0	1189.0	946.0	402.0	Priming
16029.0	16109.0	80.0	743.0	628.0	Priming
16296.0	16386.0	90.0	807.0	533.0	Priming
16410.0	16530.0	120.0	839.0	512.0	Priming
16846.0	17576.0	730.0	843.0	471.0	Priming
17658.0	18478.0	820.0	846.0	467.0	Priming
18499.0	18789.0	290.0	856.0	450.0	Priming
18999.0	19179.0	180.0	859.0	463.0	Priming
19235.0	19495.0	260.0	857.0	456.0	Priming
19894.0	20154.0	260.0	856.0	464.0	Priming
20306.0	20736.0	430.0	854.0	469.0	Priming
20825.0	22474.0	1649.0	848.0	475.0	Priming
24064.0	25233.0	1169.0	845.0	468.0	Priming
25275.0	25355.0	80.0	818.0	474.0	Priming
25690.0	25910.0	220.0	996.0	708.0	Setting Units
25975.0	26045.0	70.0	967.0	624.0	Setting Units
26052.0	26222.0	170.0	958.0	582.0	Setting Units
26382.0	26552.0	170.0	961.0	568.0	Setting Units
26594.0	28043.0	1449.0	934.0	538.0	Setting Units
28079.0	28339.0	260.0	920.0	528.0	Setting Units
28559.0	28679.0	120.0	369.0	643.0	Injection
28790.0	29070.0	280.0	674.0	552.0	Injection
29088.0	29238.0	150.0	855.0	525.0	Injection
29278.0	29358.0	80.0	928.0	512.0	Injection
29383.0	29493.0	110.0	963.0	499.0	Injection
29508.0	29618.0	110.0	979.0	490.0	Injection
29692.0	29762.0	70.0	1004.0	470.0	Injection
29780.0	29910.0	130.0	1005.0	456.0	Injection
30061.0	30311.0	250.0	998.0	411.0	Injection
30410.0	30610.0	200.0	1019.0	394.0	Injection
31749.0	31919.0	170.0	1200.0	170.0	Injection
31940.0	32010.0	70.0	1080.0	273.0	Injection
32031.0	32161.0	130.0	1071.0	315.0	Injection
