Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]	Event
585.0	835.0	250.0	917.0	546.0	Cap Off
887.0	1037.0	150.0	910.0	501.0	Cap Off
1147.0	1257.0	110.0	1028.0	359.0	Cap Off
1277.0	1357.0	80.0	1029.0	379.0	Cap Off
1446.0	1536.0	90.0	1129.0	549.0	Cap Off
1755.0	1865.0	110.0	1033.0	561.0	Cap Off
1985.0	2115.0	130.0	1052.0	556.0	Cap Off
2187.0	2257.0	70.0	860.0	322.0	Apply Tip
2275.0	2395.0	120.0	907.0	345.0	Apply Tip
2455.0	2535.0	80.0	977.0	376.0	Apply Tip
2559.0	2649.0	90.0	1020.0	404.0	Apply Tip
2687.0	2777.0	90.0	1049.0	417.0	Apply Tip
2836.0	2956.0	120.0	1079.0	443.0	Apply Tip
2976.0	3216.0	240.0	1093.0	456.0	Apply Tip
3256.0	3356.0	100.0	1085.0	450.0	Apply Tip
3793.0	3923.0	130.0	985.0	486.0	Apply Tip
3948.0	4058.0	110.0	987.0	433.0	Apply Tip
4577.0	4937.0	360.0	964.0	373.0	Apply Tip
4953.0	5073.0	120.0	981.0	360.0	Apply Tip
5094.0	5334.0	240.0	966.0	374.0	Apply Tip
5422.0	5922.0	500.0	962.0	379.0	Apply Tip
5972.0	6182.0	210.0	963.0	415.0	Apply Tip
6203.0	6603.0	400.0	977.0	442.0	Apply Tip
6623.0	7363.0	740.0	963.0	438.0	Apply Tip
7381.0	7571.0	190.0	1017.0	461.0	Apply Tip
7592.0	7852.0	260.0	992.0	459.0	Apply Tip
7871.0	8311.0	440.0	945.0	444.0	Apply Tip
8595.0	8665.0	70.0	951.0	732.0	Setting Units
8702.0	8822.0	120.0	977.0	678.0	Setting Units
8872.0	8972.0	100.0	975.0	634.0	Setting Units
8993.0	9103.0	110.0	966.0	631.0	Setting Units
9125.0	9225.0	100.0	946.0	640.0	Setting Units
9971.0	10471.0	500.0	938.0	617.0	Setting Units
10541.0	11071.0	530.0	939.0	618.0	Setting Units
11089.0	11709.0	620.0	919.0	601.0	Setting Units
12039.0	12279.0	240.0	728.0	594.0	Injection
12318.0	12568.0	250.0	924.0	540.0	Injection
12588.0	12718.0	130.0	970.0	534.0	Injection
12743.0	12823.0	80.0	975.0	517.0	Injection
13022.0	13142.0	120.0	985.0	482.0	Injection
13159.0	13269.0	110.0	991.0	464.0	Injection
13310.0	13440.0	130.0	1000.0	451.0	Injection
13462.0	13822.0	360.0	1010.0	433.0	Injection
13867.0	14946.0	1079.0	1007.0	408.0	Injection
14991.0	15201.0	210.0	1019.0	409.0	Injection
15247.0	15397.0	150.0	1135.0	154.0	Injection
15416.0	15536.0	120.0	1099.0	119.0	Injection
15558.0	15638.0	80.0	1118.0	141.0	Injection
15689.0	15899.0	210.0	1057.0	210.0	Injection
15961.0	16111.0	150.0	978.0	313.0	Injection
16241.0	16391.0	150.0	894.0	368.0	Injection
16589.0	16669.0	80.0	1068.0	455.0	Injection
16690.0	16810.0	120.0	1023.0	436.0	Injection
16858.0	17108.0	250.0	988.0	442.0	Injection
17126.0	20304.0	3178.0	955.0	430.0	Injection
20495.0	20585.0	90.0	982.0	463.0	Injection
20706.0	20856.0	150.0	956.0	439.0	Injection
20907.0	24175.0	3268.0	952.0	423.0	Injection
24193.0	24333.0	140.0	964.0	419.0	Injection
24372.0	24502.0	130.0	966.0	430.0	Injection
24541.0	24931.0	390.0	954.0	456.0	Injection
24975.0	25475.0	500.0	966.0	477.0	Injection
25493.0	25713.0	220.0	982.0	472.0	Injection
25774.0	26274.0	500.0	1011.0	443.0	Injection
26740.0	26810.0	70.0	874.0	566.0	Injection
26893.0	27003.0	110.0	918.0	544.0	Injection
27024.0	27094.0	70.0	926.0	528.0	Injection
27171.0	27301.0	130.0	924.0	505.0	Injection
27340.0	27580.0	240.0	921.0	489.0	Injection
27622.0	27892.0	270.0	912.0	422.0	Injection
27909.0	28139.0	230.0	927.0	410.0	Injection
28160.0	28270.0	110.0	936.0	428.0	Injection
28320.0	28420.0	100.0	901.0	446.0	Injection
28440.0	28550.0	110.0	898.0	458.0	Injection
28573.0	28723.0	150.0	906.0	492.0	Injection
28739.0	28839.0	100.0	893.0	513.0	Injection
28903.0	28973.0	70.0	1127.0	478.0	Remove Tip
28990.0	29270.0	280.0	1123.0	445.0	Remove Tip
29569.0	29659.0	90.0	1141.0	430.0	Remove Tip
29720.0	29820.0	100.0	1154.0	422.0	Remove Tip
29859.0	29969.0	110.0	848.0	511.0	Remove Tip
30013.0	30123.0	110.0	897.0	500.0	Remove Tip
30222.0	30532.0	310.0	954.0	473.0	Remove Tip
