Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]	Event
908.0	998.0	90.0	961.0	541.0	Cap Off
1159.0	1399.0	240.0	983.0	597.0	Cap Off
1417.0	1687.0	270.0	956.0	547.0	Cap Off
1707.0	1787.0	80.0	936.0	570.0	Cap Off
1877.0	1987.0	110.0	912.0	594.0	Cap Off
2004.0	2264.0	260.0	925.0	591.0	Cap Off
2334.0	2404.0	70.0	900.0	588.0	Cap Off
2556.0	2666.0	110.0	912.0	536.0	Cap Off
2728.0	2808.0	80.0	978.0	413.0	Cap Off
2977.0	3087.0	110.0	1051.0	657.0	Cap Off
3126.0	3256.0	130.0	1014.0	665.0	Cap Off
3385.0	3665.0	280.0	959.0	618.0	Cap Off
3688.0	3778.0	90.0	980.0	627.0	Cap Off
3853.0	4053.0	200.0	824.0	431.0	Apply Tip
4237.0	4327.0	90.0	974.0	497.0	Apply Tip
4383.0	4503.0	120.0	1010.0	509.0	Apply Tip
4527.0	4797.0	270.0	1002.0	521.0	Apply Tip
4932.0	5042.0	110.0	1031.0	508.0	Apply Tip
5087.0	5157.0	70.0	1011.0	518.0	Apply Tip
5226.0	5336.0	110.0	934.0	597.0	Apply Tip
5373.0	5463.0	90.0	982.0	560.0	Apply Tip
5616.0	5756.0	140.0	978.0	508.0	Apply Tip
5777.0	6187.0	410.0	989.0	498.0	Apply Tip
6223.0	7202.0	979.0	980.0	503.0	Apply Tip
7222.0	8101.0	879.0	964.0	505.0	Apply Tip
8193.0	8873.0	680.0	973.0	507.0	Apply Tip
8892.0	9032.0	140.0	963.0	522.0	Apply Tip
9050.0	9280.0	230.0	949.0	524.0	Apply Tip
9724.0	9834.0	110.0	829.0	742.0	Setting Units
9853.0	9953.0	100.0	838.0	749.0	Setting Units
9990.0	10100.0	110.0	869.0	732.0	Setting Units
10124.0	10224.0	100.0	885.0	689.0	Setting Units
10402.0	10502.0	100.0	907.0	662.0	Setting Units
10549.0	10799.0	250.0	942.0	707.0	Setting Units
10844.0	11004.0	160.0	954.0	644.0	Setting Units
11120.0	12309.0	1189.0	947.0	573.0	Setting Units
12391.0	12481.0	90.0	941.0	597.0	Setting Units
12602.0	12702.0	100.0	877.0	539.0	Setting Units
12781.0	12871.0	90.0	828.0	421.0	Priming
12918.0	13118.0	200.0	918.0	457.0	Priming
13160.0	13290.0	130.0	948.0	506.0	Priming
13312.0	13702.0	390.0	939.0	498.0	Priming
13720.0	15239.0	1519.0	956.0	468.0	Priming
15439.0	15679.0	240.0	643.0	650.0	Priming
16021.0	16101.0	80.0	886.0	550.0	Priming
16157.0	16367.0	210.0	908.0	523.0	Priming
16407.0	16947.0	540.0	887.0	531.0	Priming
16966.0	17845.0	879.0	902.0	529.0	Priming
17996.0	18066.0	70.0	887.0	592.0	Priming
18209.0	18319.0	110.0	886.0	554.0	Priming
18357.0	18867.0	510.0	894.0	532.0	Priming
18927.0	19067.0	140.0	908.0	540.0	Priming
19088.0	19438.0	350.0	895.0	532.0	Priming
19457.0	19817.0	360.0	872.0	533.0	Priming
19857.0	20087.0	230.0	886.0	525.0	Priming
20208.0	20848.0	640.0	874.0	529.0	Priming
20888.0	21318.0	430.0	893.0	546.0	Priming
21336.0	21436.0	100.0	878.0	547.0	Priming
21485.0	21715.0	230.0	894.0	549.0	Priming
21735.0	21825.0	90.0	864.0	531.0	Priming
21887.0	22097.0	210.0	883.0	539.0	Priming
22176.0	22306.0	130.0	898.0	534.0	Priming
22326.0	22406.0	80.0	935.0	549.0	Priming
22443.0	22773.0	330.0	871.0	532.0	Priming
22855.0	23485.0	630.0	855.0	530.0	Priming
23526.0	24316.0	790.0	869.0	514.0	Priming
24371.0	24841.0	470.0	879.0	533.0	Priming
25073.0	25183.0	110.0	875.0	565.0	Priming
25205.0	25285.0	80.0	859.0	560.0	Priming
25342.0	25432.0	90.0	826.0	592.0	Priming
25622.0	25802.0	180.0	1078.0	427.0	Priming
25970.0	26070.0	100.0	952.0	670.0	Setting Units
26173.0	26283.0	110.0	934.0	588.0	Setting Units
26305.0	26425.0	120.0	922.0	541.0	Setting Units
26570.0	26680.0	110.0	907.0	518.0	Setting Units
26869.0	28318.0	1449.0	927.0	459.0	Setting Units
28959.0	29069.0	110.0	824.0	519.0	Injection
29190.0	29380.0	190.0	924.0	493.0	Injection
29470.0	29700.0	230.0	970.0	494.0	Injection
29749.0	29849.0	100.0	987.0	501.0	Injection
29909.0	29979.0	70.0	1042.0	472.0	Injection
30072.0	30142.0	70.0	1041.0	476.0	Injection
30182.0	30362.0	180.0	986.0	447.0	Injection
30442.0	31391.0	949.0	989.0	441.0	Injection
31452.0	31532.0	80.0	1214.0	101.0	Injection
31568.0	31668.0	100.0	1182.0	120.0	Injection
31687.0	31817.0	130.0	1213.0	188.0	Injection
31887.0	31967.0	80.0	1158.0	255.0	Injection
31991.0	32101.0	110.0	1136.0	290.0	Injection
32841.0	32931.0	90.0	914.0	596.0	Injection
33181.0	33251.0	70.0	1211.0	500.0	Injection
33410.0	33520.0	110.0	1090.0	481.0	Injection
33539.0	34099.0	560.0	1053.0	458.0	Injection
34368.0	34448.0	80.0	1050.0	448.0	Injection
34706.0	34916.0	210.0	1049.0	456.0	Injection
34935.0	35325.0	390.0	1020.0	468.0	Injection
35366.0	36146.0	780.0	1037.0	452.0	Injection
37517.0	37597.0	80.0	1028.0	476.0	Injection
37615.0	37715.0	100.0	1041.0	446.0	Injection
37738.0	37968.0	230.0	1035.0	450.0	Injection
37983.0	38183.0	200.0	1023.0	471.0	Injection
38203.0	38653.0	450.0	1036.0	455.0	Injection
38672.0	39182.0	510.0	1026.0	474.0	Injection
39222.0	40012.0	790.0	1034.0	450.0	Injection
40206.0	42105.0	1899.0	1026.0	447.0	Injection
42124.0	42334.0	210.0	1005.0	463.0	Injection
42395.0	43145.0	750.0	1023.0	445.0	Injection
43220.0	43450.0	230.0	1018.0	507.0	Injection
43494.0	43574.0	80.0	1032.0	464.0	Injection
43674.0	43774.0	100.0	673.0	615.0	Injection
43860.0	43970.0	110.0	824.0	583.0	Injection
44102.0	44202.0	100.0	924.0	556.0	Injection
44219.0	44309.0	90.0	929.0	544.0	Injection
44353.0	44463.0	110.0	930.0	534.0	Injection
44502.0	45012.0	510.0	935.0	523.0	Injection
45054.0	45124.0	70.0	928.0	482.0	Injection
45192.0	45372.0	180.0	926.0	470.0	Injection
45539.0	45719.0	180.0	749.0	433.0	Injection
45770.0	45850.0	80.0	732.0	444.0	Injection
46019.0	46129.0	110.0	1475.0	734.0	Cap On
46202.0	46282.0	80.0	1373.0	760.0	Cap On
46322.0	46432.0	110.0	1223.0	660.0	Cap On
46449.0	46689.0	240.0	1094.0	606.0	Cap On
46712.0	46852.0	140.0	1070.0	554.0	Cap On
46912.0	47072.0	160.0	1090.0	532.0	Cap On
47168.0	47298.0	130.0	1044.0	458.0	Cap On
47317.0	47437.0	120.0	1001.0	404.0	Cap On
47462.0	47572.0	110.0	984.0	407.0	Cap On
47622.0	47692.0	70.0	821.0	597.0	Cap On
47858.0	47968.0	110.0	895.0	525.0	Cap On
48007.0	48417.0	410.0	922.0	509.0	Cap On
48441.0	48691.0	250.0	934.0	543.0	Cap On
48711.0	48821.0	110.0	944.0	603.0	Cap On
48858.0	48948.0	90.0	927.0	611.0	Cap On
49008.0	49098.0	90.0	914.0	601.0	Cap On
49271.0	49541.0	270.0	952.0	620.0	Cap On
49666.0	49786.0	120.0	926.0	583.0	Cap On
49839.0	49919.0	80.0	894.0	575.0	Cap On
49956.0	50046.0	90.0	883.0	572.0	Cap On
50260.0	50390.0	130.0	1033.0	553.0	Cap On
50440.0	50780.0	340.0	989.0	562.0	Cap On
50836.0	50956.0	120.0	986.0	578.0	Cap On
50990.0	51290.0	300.0	1114.0	611.0	Cap On
51386.0	51476.0	90.0	997.0	619.0	Cap On
