Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]	Event
355.0	425.0	70.0	911.0	515.0	Cap Off
450.0	1449.0	999.0	934.0	512.0	Cap Off
1568.0	1658.0	90.0	970.0	531.0	Cap Off
1939.0	2069.0	130.0	996.0	556.0	Cap Off
2236.0	2326.0	90.0	953.0	538.0	Cap Off
2395.0	2625.0	230.0	930.0	488.0	Cap Off
2648.0	2798.0	150.0	928.0	508.0	Cap Off
2818.0	3118.0	300.0	895.0	546.0	Cap Off
3218.0	3308.0	90.0	974.0	422.0	Cap Off
3368.0	3458.0	90.0	868.0	514.0	Cap Off
3545.0	3615.0	70.0	1173.0	297.0	Cap Off
3634.0	3724.0	90.0	1186.0	295.0	Cap Off
3767.0	3877.0	110.0	1137.0	392.0	Cap Off
3893.0	4093.0	200.0	1046.0	469.0	Cap Off
4116.0	4276.0	160.0	1011.0	490.0	Cap Off
5156.0	5236.0	80.0	1100.0	484.0	Apply Tip
5306.0	5416.0	110.0	1018.0	439.0	Apply Tip
5433.0	5543.0	110.0	984.0	403.0	Apply Tip
5567.0	5697.0	130.0	979.0	383.0	Apply Tip
5713.0	5973.0	260.0	982.0	376.0	Apply Tip
6017.0	6267.0	250.0	981.0	354.0	Apply Tip
6582.0	6732.0	150.0	937.0	458.0	Apply Tip
6754.0	6944.0	190.0	998.0	444.0	Apply Tip
6983.0	7463.0	480.0	1019.0	453.0	Apply Tip
7483.0	7793.0	310.0	1002.0	444.0	Apply Tip
7813.0	8363.0	550.0	1005.0	440.0	Apply Tip
8381.0	9081.0	700.0	978.0	453.0	Apply Tip
9101.0	9641.0	540.0	965.0	472.0	Apply Tip
9662.0	10811.0	1149.0	950.0	464.0	Apply Tip
10881.0	10951.0	70.0	979.0	446.0	Apply Tip
10963.0	11263.0	300.0	934.0	455.0	Apply Tip
11300.0	11430.0	130.0	968.0	469.0	Apply Tip
11483.0	11563.0	80.0	942.0	465.0	Apply Tip
11581.0	11701.0	120.0	935.0	443.0	Apply Tip
11793.0	11863.0	70.0	836.0	555.0	Apply Tip
12060.0	12230.0	170.0	817.0	655.0	Setting Units
12269.0	12529.0	260.0	844.0	617.0	Setting Units
12549.0	12639.0	90.0	882.0	572.0	Setting Units
12678.0	13058.0	380.0	914.0	576.0	Setting Units
13268.0	13358.0	90.0	907.0	557.0	Setting Units
13380.0	13460.0	80.0	928.0	570.0	Setting Units
13550.0	13680.0	130.0	934.0	565.0	Setting Units
13852.0	14012.0	160.0	910.0	539.0	Setting Units
14097.0	14497.0	400.0	909.0	540.0	Setting Units
14517.0	14597.0	80.0	925.0	576.0	Setting Units
14699.0	14809.0	110.0	854.0	574.0	Setting Units
14831.0	14931.0	100.0	887.0	528.0	Setting Units
15011.0	15081.0	70.0	875.0	447.0	Priming
15101.0	15361.0	260.0	897.0	481.0	Priming
15381.0	15771.0	390.0	925.0	473.0	Priming
15791.0	15901.0	110.0	946.0	446.0	Priming
15917.0	16197.0	280.0	938.0	442.0	Priming
17167.0	17257.0	90.0	625.0	594.0	Priming
17378.0	17568.0	190.0	722.0	564.0	Priming
17587.0	17827.0	240.0	766.0	563.0	Priming
17866.0	18166.0	300.0	793.0	520.0	Priming
18588.0	20377.0	1789.0	799.0	488.0	Priming
20393.0	22322.0	1929.0	811.0	464.0	Priming
22367.0	23187.0	820.0	810.0	490.0	Priming
23204.0	23434.0	230.0	824.0	508.0	Priming
23452.0	25481.0	2029.0	812.0	477.0	Priming
27084.0	27194.0	110.0	1022.0	642.0	Setting Units
27230.0	27350.0	120.0	945.0	593.0	Setting Units
27374.0	27464.0	90.0	937.0	567.0	Setting Units
27530.0	27620.0	90.0	923.0	558.0	Setting Units
27683.0	28043.0	360.0	900.0	529.0	Setting Units
28122.0	29951.0	1829.0	898.0	508.0	Setting Units
30050.0	30200.0	150.0	899.0	505.0	Setting Units
30332.0	30412.0	80.0	768.0	535.0	Injection
30872.0	30982.0	110.0	802.0	549.0	Injection
30999.0	31109.0	110.0	865.0	513.0	Injection
31152.0	31262.0	110.0	906.0	492.0	Injection
31279.0	31399.0	120.0	930.0	479.0	Injection
31570.0	31730.0	160.0	972.0	450.0	Injection
31850.0	32010.0	160.0	993.0	441.0	Injection
32128.0	32378.0	250.0	985.0	405.0	Injection
32399.0	32519.0	120.0	993.0	396.0	Injection
32570.0	32670.0	100.0	970.0	439.0	Injection
32821.0	32971.0	150.0	997.0	387.0	Injection
32991.0	33181.0	190.0	985.0	381.0	Injection
33240.0	33370.0	130.0	959.0	396.0	Injection
33389.0	33849.0	460.0	977.0	374.0	Injection
33920.0	34020.0	100.0	981.0	387.0	Injection
34025.0	34105.0	80.0	976.0	402.0	Injection
34190.0	34430.0	240.0	962.0	409.0	Injection
34549.0	34709.0	160.0	973.0	428.0	Injection
34750.0	34850.0	100.0	949.0	432.0	Injection
34886.0	34976.0	90.0	941.0	445.0	Injection
35200.0	35280.0	80.0	1217.0	245.0	Injection
35295.0	35405.0	110.0	1140.0	298.0	Injection
35445.0	35555.0	110.0	1058.0	357.0	Injection
35599.0	35709.0	110.0	1005.0	381.0	Injection
35748.0	35848.0	100.0	975.0	404.0	Injection
36019.0	36129.0	110.0	956.0	462.0	Injection
36148.0	36248.0	100.0	948.0	444.0	Injection
36267.0	37616.0	1349.0	934.0	435.0	Injection
37665.0	38964.0	1299.0	928.0	419.0	Injection
39065.0	39575.0	510.0	925.0	415.0	Injection
39654.0	41243.0	1589.0	933.0	417.0	Injection
41325.0	41415.0	90.0	666.0	693.0	Injection
41604.0	41814.0	210.0	718.0	669.0	Injection
41864.0	41984.0	120.0	740.0	657.0	Injection
42005.0	42355.0	350.0	754.0	650.0	Injection
42532.0	42632.0	100.0	1046.0	345.0	Injection
42653.0	42783.0	130.0	1037.0	360.0	Injection
42805.0	44684.0	1879.0	1018.0	363.0	Injection
44724.0	45234.0	510.0	1031.0	376.0	Injection
45419.0	45659.0	240.0	764.0	638.0	Injection
45681.0	45931.0	250.0	839.0	590.0	Injection
46003.0	46443.0	440.0	877.0	586.0	Injection
46533.0	46663.0	130.0	869.0	563.0	Injection
46803.0	46953.0	150.0	890.0	537.0	Injection
46971.0	47061.0	90.0	907.0	521.0	Injection
47082.0	47202.0	120.0	890.0	526.0	Injection
47388.0	47518.0	130.0	1250.0	638.0	Injection
47628.0	47858.0	230.0	1132.0	456.0	Remove Tip
47880.0	47970.0	90.0	1052.0	446.0	Remove Tip
48047.0	48157.0	110.0	1081.0	409.0	Remove Tip
48178.0	48398.0	220.0	1095.0	423.0	Remove Tip
48668.0	49028.0	360.0	800.0	396.0	Remove Tip
49051.0	49131.0	80.0	949.0	475.0	Remove Tip
49147.0	49467.0	320.0	983.0	464.0	Remove Tip
49491.0	50101.0	610.0	1000.0	442.0	Remove Tip
50148.0	50838.0	690.0	970.0	464.0	Remove Tip
50876.0	50946.0	70.0	975.0	457.0	Remove Tip
51138.0	51228.0	90.0	973.0	464.0	Remove Tip
51245.0	52974.0	1729.0	983.0	468.0	Remove Tip
53035.0	53145.0	110.0	960.0	458.0	Remove Tip
53169.0	53849.0	680.0	962.0	447.0	Remove Tip
54317.0	54397.0	80.0	1014.0	541.0	Remove Tip
54418.0	54678.0	260.0	977.0	535.0	Remove Tip
54697.0	54917.0	220.0	994.0	530.0	Remove Tip
55003.0	55093.0	90.0	732.0	284.0	Cap On
55256.0	55386.0	130.0	932.0	352.0	Cap On
55404.0	55524.0	120.0	1000.0	388.0	Cap On
55563.0	55673.0	110.0	1026.0	419.0	Cap On
55754.0	55844.0	90.0	1023.0	406.0	Cap On
55868.0	55968.0	100.0	1009.0	408.0	Cap On
56038.0	56118.0	80.0	1029.0	387.0	Cap On
56134.0	56244.0	110.0	1045.0	381.0	Cap On
56267.0	56337.0	70.0	1066.0	362.0	Cap On
56406.0	56486.0	80.0	1064.0	346.0	Cap On
56554.0	56634.0	80.0	1080.0	343.0	Cap On
56867.0	56967.0	100.0	977.0	574.0	Cap On
57106.0	57266.0	160.0	996.0	440.0	Cap On
57384.0	57514.0	130.0	973.0	447.0	Cap On
57564.0	58244.0	680.0	983.0	427.0	Cap On
58283.0	58613.0	330.0	965.0	571.0	Cap On
58633.0	58743.0	110.0	948.0	565.0	Cap On
58801.0	58891.0	90.0	924.0	547.0	Cap On
58956.0	59316.0	360.0	961.0	558.0	Cap On
59374.0	59484.0	110.0	1068.0	579.0	Cap On
