Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]	Event
1404.0	1514.0	110.0	865.0	493.0	Cap Off
1657.0	1767.0	110.0	1003.0	534.0	Cap Off
1929.0	2039.0	110.0	937.0	592.0	Cap Off
2075.0	2235.0	160.0	943.0	580.0	Cap Off
2257.0	2357.0	100.0	919.0	601.0	Cap Off
2377.0	2607.0	230.0	904.0	595.0	Cap Off
2628.0	2998.0	370.0	917.0	583.0	Cap Off
3036.0	3136.0	100.0	920.0	558.0	Cap Off
3156.0	3266.0	110.0	916.0	530.0	Cap Off
3325.0	3395.0	70.0	886.0	509.0	Cap Off
3874.0	3984.0	110.0	1108.0	492.0	Cap Off
4024.0	4164.0	140.0	1097.0	494.0	Cap Off
4188.0	4268.0	80.0	1079.0	431.0	Cap Off
4283.0	4403.0	120.0	1107.0	438.0	Cap Off
4427.0	4547.0	120.0	1126.0	452.0	Cap Off
4604.0	4714.0	110.0	1119.0	518.0	Cap Off
4734.0	4834.0	100.0	1128.0	526.0	Cap Off
4874.0	4984.0	110.0	1063.0	493.0	Cap Off
5027.0	5137.0	110.0	1083.0	457.0	Cap Off
5457.0	5607.0	150.0	1206.0	534.0	Cap Off
5804.0	5874.0	70.0	957.0	342.0	Apply Tip
5956.0	6076.0	120.0	993.0	376.0	Apply Tip
6246.0	6336.0	90.0	1036.0	424.0	Apply Tip
6354.0	6444.0	90.0	1058.0	427.0	Apply Tip
6523.0	6853.0	330.0	1061.0	442.0	Apply Tip
6946.0	7056.0	110.0	1021.0	513.0	Apply Tip
7091.0	7181.0	90.0	994.0	536.0	Apply Tip
7241.0	7471.0	230.0	954.0	548.0	Apply Tip
7493.0	8982.0	1489.0	959.0	517.0	Apply Tip
9155.0	10534.0	1379.0	969.0	511.0	Apply Tip
10549.0	10629.0	80.0	1016.0	519.0	Apply Tip
10674.0	10764.0	90.0	986.0	528.0	Apply Tip
10843.0	10933.0	90.0	1275.0	473.0	Apply Tip
11011.0	11101.0	90.0	1209.0	384.0	Apply Tip
11123.0	11193.0	70.0	1189.0	423.0	Apply Tip
11272.0	11572.0	300.0	1184.0	388.0	Apply Tip
11590.0	11670.0	80.0	1191.0	366.0	Apply Tip
11819.0	11929.0	110.0	764.0	687.0	Apply Tip
12128.0	12198.0	70.0	911.0	676.0	Setting Units
12260.0	12350.0	90.0	920.0	613.0	Setting Units
12542.0	12632.0	90.0	924.0	626.0	Setting Units
12668.0	12788.0	120.0	909.0	600.0	Setting Units
13011.0	14070.0	1059.0	923.0	583.0	Setting Units
14300.0	14390.0	90.0	771.0	426.0	Priming
14409.0	14479.0	70.0	836.0	446.0	Priming
14521.0	14771.0	250.0	896.0	415.0	Priming
14839.0	15319.0	480.0	930.0	417.0	Priming
15358.0	15468.0	110.0	927.0	407.0	Priming
15506.0	15686.0	180.0	924.0	420.0	Priming
16408.0	16488.0	80.0	906.0	758.0	Setting Units
16657.0	16727.0	70.0	900.0	687.0	Setting Units
16790.0	16910.0	120.0	896.0	632.0	Setting Units
16928.0	17018.0	90.0	879.0	627.0	Setting Units
17407.0	17697.0	290.0	909.0	590.0	Setting Units
17739.0	17989.0	250.0	897.0	567.0	Setting Units
18725.0	19105.0	380.0	906.0	569.0	Setting Units
19127.0	19647.0	520.0	896.0	547.0	Setting Units
19685.0	19805.0	120.0	888.0	580.0	Setting Units
19824.0	19934.0	110.0	871.0	571.0	Setting Units
20004.0	20074.0	70.0	841.0	561.0	Setting Units
20504.0	20614.0	110.0	876.0	381.0	Priming
21952.0	22252.0	300.0	920.0	374.0	Priming
22317.0	22457.0	140.0	538.0	520.0	Priming
22497.0	22617.0	120.0	589.0	521.0	Priming
22654.0	22904.0	250.0	708.0	516.0	Priming
22924.0	23124.0	200.0	776.0	513.0	Priming
23195.0	24404.0	1209.0	829.0	505.0	Priming
24495.0	25115.0	620.0	842.0	491.0	Priming
25191.0	25501.0	310.0	835.0	493.0	Priming
25855.0	26475.0	620.0	837.0	492.0	Priming
26554.0	27633.0	1079.0	831.0	493.0	Priming
27670.0	29319.0	1649.0	824.0	489.0	Priming
29338.0	31277.0	1939.0	828.0	479.0	Priming
31489.0	31579.0	90.0	1122.0	732.0	Setting Units
31757.0	31867.0	110.0	1015.0	697.0	Setting Units
31891.0	32041.0	150.0	975.0	651.0	Setting Units
32167.0	32437.0	270.0	951.0	614.0	Setting Units
32906.0	33016.0	110.0	919.0	562.0	Setting Units
33058.0	33368.0	310.0	930.0	567.0	Setting Units
33436.0	33836.0	400.0	922.0	547.0	Setting Units
34138.0	34218.0	80.0	524.0	546.0	Injection
34407.0	34517.0	110.0	776.0	497.0	Injection
34578.0	34818.0	240.0	913.0	504.0	Injection
34836.0	35216.0	380.0	934.0	523.0	Injection
35279.0	35359.0	80.0	956.0	464.0	Injection
