Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]	Event
280.0	530.0	250.0	942.0	516.0	Cap Off
570.0	810.0	240.0	968.0	526.0	Cap Off
828.0	1108.0	280.0	979.0	513.0	Cap Off
1244.0	1374.0	130.0	935.0	486.0	Cap Off
1398.0	1498.0	100.0	945.0	482.0	Cap Off
1559.0	1629.0	70.0	950.0	605.0	Cap Off
1645.0	1755.0	110.0	979.0	684.0	Cap Off
1798.0	1898.0	100.0	959.0	702.0	Cap Off
2066.0	2176.0	110.0	938.0	590.0	Cap Off
2219.0	2329.0	110.0	913.0	547.0	Cap Off
2365.0	2625.0	260.0	924.0	520.0	Cap Off
2644.0	2824.0	180.0	916.0	486.0	Cap Off
2894.0	2974.0	80.0	1183.0	634.0	Cap Off
3187.0	3267.0	80.0	1009.0	539.0	Cap Off
3346.0	3446.0	100.0	1047.0	552.0	Cap Off
3808.0	3898.0	90.0	701.0	515.0	Setting Units
3914.0	4024.0	110.0	820.0	525.0	Setting Units
4043.0	4133.0	90.0	910.0	555.0	Setting Units
4213.0	4293.0	80.0	959.0	548.0	Setting Units
4493.0	4563.0	70.0	928.0	495.0	Setting Units
4587.0	4697.0	110.0	916.0	490.0	Setting Units
4715.0	4845.0	130.0	904.0	492.0	Setting Units
4866.0	4976.0	110.0	916.0	486.0	Setting Units
5014.0	5464.0	450.0	930.0	490.0	Setting Units
5692.0	5932.0	240.0	881.0	377.0	Priming
5996.0	6106.0	110.0	928.0	444.0	Priming
6382.0	6492.0	110.0	957.0	498.0	Priming
6515.0	6735.0	220.0	944.0	457.0	Priming
6804.0	6944.0	140.0	971.0	479.0	Priming
7083.0	7293.0	210.0	901.0	769.0	Priming
7515.0	7585.0	70.0	1113.0	426.0	Apply Tip
7605.0	7715.0	110.0	1068.0	400.0	Apply Tip
7753.0	7993.0	240.0	1047.0	383.0	Apply Tip
8054.0	8164.0	110.0	1037.0	403.0	Apply Tip
8315.0	8655.0	340.0	1049.0	458.0	Apply Tip
8701.0	8841.0	140.0	1029.0	403.0	Apply Tip
9131.0	9261.0	130.0	929.0	534.0	Apply Tip
9300.0	9410.0	110.0	949.0	516.0	Apply Tip
9434.0	9524.0	90.0	961.0	510.0	Apply Tip
9582.0	9832.0	250.0	977.0	497.0	Apply Tip
9851.0	10681.0	830.0	989.0	483.0	Apply Tip
10704.0	11883.0	1179.0	974.0	466.0	Apply Tip
11902.0	12082.0	180.0	972.0	469.0	Apply Tip
12163.0	12393.0	230.0	968.0	463.0	Apply Tip
12449.0	12609.0	160.0	958.0	453.0	Apply Tip
12717.0	12877.0	160.0	973.0	434.0	Apply Tip
12900.0	12980.0	80.0	969.0	411.0	Apply Tip
13002.0	13112.0	110.0	981.0	410.0	Apply Tip
13132.0	13342.0	210.0	1023.0	448.0	Apply Tip
13382.0	13832.0	450.0	1000.0	441.0	Apply Tip
14277.0	14407.0	130.0	923.0	674.0	Setting Units
14431.0	14551.0	120.0	921.0	655.0	Setting Units
14571.0	14661.0	90.0	929.0	639.0	Setting Units
14701.0	14981.0	280.0	910.0	606.0	Setting Units
15017.0	15107.0	90.0	913.0	591.0	Setting Units
15127.0	15757.0	630.0	933.0	575.0	Setting Units
15819.0	15949.0	130.0	920.0	573.0	Setting Units
15998.0	16078.0	80.0	869.0	561.0	Setting Units
16119.0	16229.0	110.0	761.0	438.0	Priming
16320.0	16500.0	180.0	856.0	451.0	Priming
16638.0	16748.0	110.0	838.0	539.0	Priming
16859.0	16959.0	100.0	576.0	649.0	Priming
16976.0	17066.0	90.0	676.0	609.0	Priming
17266.0	17376.0	110.0	1075.0	457.0	Priming
17417.0	17617.0	200.0	1103.0	415.0	Priming
17680.0	17790.0	110.0	1049.0	376.0	Priming
17999.0	18089.0	90.0	996.0	351.0	Priming
18149.0	18229.0	80.0	987.0	343.0	Priming
18246.0	18336.0	90.0	976.0	356.0	Priming
18395.0	18625.0	230.0	984.0	342.0	Priming
18926.0	18996.0	70.0	586.0	561.0	Priming
19135.0	19365.0	230.0	694.0	543.0	Priming
19386.0	19476.0	90.0	776.0	545.0	Priming
19578.0	19668.0	90.0	834.0	625.0	Priming
19684.0	19944.0	260.0	848.0	572.0	Priming
19965.0	20355.0	390.0	837.0	570.0	Priming
20395.0	20515.0	120.0	835.0	571.0	Priming
20535.0	21574.0	1039.0	823.0	560.0	Priming
21633.0	23112.0	1479.0	829.0	558.0	Priming
24061.0	24231.0	170.0	1156.0	446.0	Priming
24386.0	24536.0	150.0	707.0	578.0	Priming
24615.0	25534.0	919.0	690.0	540.0	Priming
25613.0	27012.0	1399.0	699.0	533.0	Priming
27112.0	27362.0	250.0	714.0	526.0	Priming
27511.0	27761.0	250.0	716.0	527.0	Priming
27782.0	28032.0	250.0	707.0	537.0	Priming
28963.0	29033.0	70.0	1080.0	706.0	Setting Units
29130.0	29230.0	100.0	1020.0	617.0	Setting Units
29420.0	29650.0	230.0	941.0	548.0	Setting Units
29702.0	31231.0	1529.0	931.0	521.0	Setting Units
31549.0	31619.0	70.0	510.0	730.0	Injection
31676.0	31776.0	100.0	638.0	661.0	Injection
31799.0	31929.0	130.0	714.0	608.0	Injection
31971.0	32081.0	110.0	826.0	568.0	Injection
32098.0	32228.0	130.0	885.0	542.0	Injection
32247.0	32377.0	130.0	945.0	508.0	Injection
32397.0	32497.0	100.0	981.0	484.0	Injection
32796.0	32926.0	130.0	1017.0	355.0	Injection
33300.0	33390.0	90.0	993.0	336.0	Injection
33579.0	33759.0	180.0	990.0	334.0	Injection
33875.0	34065.0	190.0	988.0	338.0	Injection
34380.0	34480.0	100.0	983.0	363.0	Injection
34519.0	34729.0	210.0	963.0	370.0	Injection
34789.0	34889.0	100.0	1031.0	76.0	Injection
35288.0	35448.0	160.0	1123.0	29.0	Injection
35897.0	36007.0	110.0	1211.0	383.0	Injection
36045.0	36165.0	120.0	1154.0	396.0	Injection
36186.0	36296.0	110.0	1102.0	404.0	Injection
36318.0	36428.0	110.0	1058.0	400.0	Injection
36484.0	38603.0	2119.0	1038.0	411.0	Injection
38645.0	38925.0	280.0	1048.0	396.0	Injection
39034.0	39654.0	620.0	1037.0	405.0	Injection
39792.0	39972.0	180.0	1036.0	411.0	Injection
40013.0	40123.0	110.0	1025.0	405.0	Injection
40146.0	40246.0	100.0	1012.0	402.0	Injection
40283.0	40373.0	90.0	1034.0	403.0	Injection
40394.0	40494.0	100.0	968.0	422.0	Injection
40563.0	40643.0	80.0	1024.0	401.0	Injection
40755.0	40995.0	240.0	522.0	647.0	Injection
41134.0	41944.0	810.0	1040.0	405.0	Injection
41983.0	42143.0	160.0	1026.0	415.0	Injection
42165.0	42515.0	350.0	1008.0	443.0	Injection
42531.0	42621.0	90.0	1019.0	442.0	Injection
42662.0	43082.0	420.0	1017.0	430.0	Injection
43154.0	43274.0	120.0	1006.0	427.0	Injection
43511.0	43611.0	100.0	1005.0	438.0	Injection
43661.0	43771.0	110.0	1013.0	421.0	Injection
43779.0	43859.0	80.0	1060.0	414.0	Injection
44160.0	44600.0	440.0	1013.0	418.0	Injection
44751.0	44971.0	220.0	1031.0	440.0	Injection
45013.0	45483.0	470.0	1060.0	434.0	Injection
45550.0	45800.0	250.0	1075.0	397.0	Injection
46030.0	46110.0	80.0	647.0	623.0	Injection
46169.0	46259.0	90.0	711.0	578.0	Injection
46701.0	46771.0	70.0	874.0	536.0	Injection
46830.0	47080.0	250.0	868.0	534.0	Injection
47119.0	47229.0	110.0	805.0	504.0	Injection
47562.0	47742.0	180.0	1077.0	519.0	Remove Tip
47782.0	48012.0	230.0	1015.0	478.0	Remove Tip
48121.0	48211.0	90.0	994.0	462.0	Remove Tip
48228.0	48328.0	100.0	1007.0	468.0	Remove Tip
48571.0	48801.0	230.0	986.0	466.0	Remove Tip
48930.0	49050.0	120.0	921.0	601.0	Remove Tip
49071.0	49181.0	110.0	944.0	582.0	Remove Tip
49228.0	49308.0	80.0	958.0	584.0	Remove Tip
49331.0	49861.0	530.0	949.0	573.0	Remove Tip
50166.0	50296.0	130.0	971.0	555.0	Remove Tip
50317.0	50537.0	220.0	949.0	568.0	Remove Tip
50616.0	50706.0	90.0	964.0	567.0	Remove Tip
50730.0	51360.0	630.0	943.0	542.0	Remove Tip
51416.0	51806.0	390.0	933.0	534.0	Remove Tip
51866.0	52356.0	490.0	924.0	527.0	Remove Tip
52395.0	52525.0	130.0	957.0	535.0	Remove Tip
52697.0	52817.0	120.0	1153.0	449.0	Remove Tip
52839.0	53009.0	170.0	1040.0	447.0	Remove Tip
53119.0	53189.0	70.0	1194.0	636.0	Cap On
53545.0	53755.0	210.0	1039.0	545.0	Cap On
53765.0	53915.0	150.0	1003.0	564.0	Cap On
54088.0	54198.0	110.0	970.0	607.0	Cap On
54386.0	54476.0	90.0	978.0	575.0	Cap On
54533.0	54603.0	70.0	933.0	646.0	Cap On
54647.0	54767.0	120.0	951.0	615.0	Cap On
54963.0	55033.0	70.0	955.0	525.0	Cap On
55057.0	55177.0	120.0	934.0	583.0	Cap On
55194.0	55454.0	260.0	932.0	564.0	Cap On
55497.0	56047.0	550.0	921.0	570.0	Cap On
56067.0	56297.0	230.0	936.0	561.0	Cap On
56484.0	56814.0	330.0	912.0	553.0	Cap On
56893.0	57083.0	190.0	929.0	726.0	Cap On
