Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]	Event
320.0	1050.0	730	999.0	529.0	Cap Off
1129.0	1219.0	90	903.0	521.0	Cap Off
1569.0	1679.0	110	898.0	486.0	Cap Off
1699.0	2129.0	430	907.0	520.0	Cap Off
2149.0	2379.0	230	901.0	509.0	Cap Off
2399.0	2499.0	100	891.0	547.0	Cap Off
2569.0	2649.0	80	922.0	545.0	Cap Off
2788.0	2908.0	120	940.0	588.0	Cap Off
2968.0	3078.0	110	935.0	548.0	Cap Off
3098.0	3188.0	90	929.0	526.0	Cap Off
3228.0	3628.0	400	938.0	504.0	Cap Off
3648.0	3758.0	110	903.0	478.0	Cap Off
3818.0	3888.0	70	859.0	432.0	Cap Off
3898.0	4048.0	150	888.0	486.0	Cap Off
4188.0	4348.0	160	792.0	530.0	Cap Off
4367.0	4517.0	150	815.0	507.0	Cap Off
4527.0	4747.0	220	761.0	512.0	Cap Off
5067.0	5157.0	90	1057.0	533.0	Apply Tip
5197.0	5447.0	250	1036.0	540.0	Apply Tip
5467.0	5577.0	110	1085.0	533.0	Apply Tip
5647.0	5717.0	70	875.0	481.0	Apply Tip
5737.0	5877.0	140	888.0	478.0	Apply Tip
5897.0	6047.0	150	912.0	471.0	Apply Tip
6066.0	6166.0	100	923.0	455.0	Apply Tip
6186.0	7295.0	1109	915.0	442.0	Apply Tip
7316.0	8056.0	740	916.0	427.0	Apply Tip
8115.0	9764.0	1649	922.0	437.0	Apply Tip
9784.0	10973.0	1189	918.0	434.0	Apply Tip
11034.0	11364.0	330	892.0	433.0	Apply Tip
11453.0	11543.0	90	888.0	421.0	Apply Tip
11583.0	11693.0	110	887.0	408.0	Apply Tip
11733.0	12093.0	360	846.0	354.0	Apply Tip
12133.0	12373.0	240	853.0	367.0	Apply Tip
12413.0	12513.0	100	852.0	398.0	Apply Tip
12533.0	12643.0	110	856.0	422.0	Apply Tip
12813.0	12973.0	160	907.0	526.0	Apply Tip
13102.0	13342.0	240	902.0	454.0	Apply Tip
13422.0	13602.0	180	889.0	717.0	Apply Tip
13612.0	13722.0	110	903.0	721.0	Setting Units
13762.0	13832.0	70	892.0	657.0	Setting Units
13952.0	14042.0	90	911.0	680.0	Setting Units
14202.0	14462.0	260	870.0	645.0	Setting Units
14482.0	14612.0	130	885.0	579.0	Setting Units
14632.0	14782.0	150	889.0	513.0	Setting Units
14801.0	15291.0	490	899.0	482.0	Setting Units
15351.0	15441.0	90	891.0	511.0	Setting Units
15481.0	15661.0	180	889.0	516.0	Setting Units
15791.0	15881.0	90	773.0	315.0	Priming
16351.0	16461.0	110	855.0	422.0	Priming
16480.0	16580.0	100	834.0	393.0	Priming
16600.0	16960.0	360	832.0	308.0	Priming
17000.0	17160.0	160	836.0	279.0	Priming
17320.0	19159.0	1839	847.0	238.0	Priming
19529.0	19659.0	130	730.0	519.0	Priming
19679.0	19909.0	230	799.0	512.0	Priming
19948.0	20048.0	100	863.0	494.0	Priming
20068.0	21007.0	939	892.0	482.0	Priming
21767.0	22427.0	660	897.0	484.0	Priming
22447.0	22697.0	250	893.0	503.0	Priming
22717.0	22927.0	210	899.0	478.0	Priming
23017.0	23507.0	490	896.0	503.0	Priming
23546.0	25905.0	2359	906.0	474.0	Priming
26195.0	29363.0	3168	896.0	495.0	Priming
29403.0	29643.0	240	888.0	503.0	Priming
29663.0	29933.0	270	905.0	521.0	Priming
29953.0	30323.0	370	936.0	516.0	Priming
30802.0	30912.0	110	996.0	669.0	Setting Units
31012.0	31192.0	180	894.0	639.0	Setting Units
31232.0	31382.0	150	904.0	603.0	Setting Units
31402.0	31482.0	80	889.0	560.0	Setting Units
31502.0	31612.0	110	894.0	534.0	Setting Units
31632.0	31882.0	250	889.0	497.0	Setting Units
31961.0	33310.0	1349	870.0	478.0	Setting Units
33331.0	33451.0	120	872.0	504.0	Setting Units
33471.0	34251.0	780	879.0	488.0	Setting Units
34270.0	34380.0	110	937.0	528.0	Setting Units
34400.0	34580.0	180	966.0	544.0	Setting Units
34800.0	34920.0	120	668.0	526.0	Injection
35250.0	35340.0	90	902.0	505.0	Injection
35379.0	35509.0	130	926.0	527.0	Injection
35529.0	35639.0	110	937.0	511.0	Injection
35679.0	35809.0	130	940.0	488.0	Injection
35829.0	36229.0	400	959.0	423.0	Injection
36269.0	36359.0	90	962.0	307.0	Injection
36449.0	37049.0	600	957.0	282.0	Injection
37068.0	37628.0	560	961.0	260.0	Injection
37648.0	37818.0	170	965.0	282.0	Injection
37828.0	37948.0	120	1002.0	242.0	Injection
37968.0	38198.0	230	984.0	321.0	Injection
38238.0	38878.0	640	1023.0	189.0	Injection
38937.0	39017.0	80	1042.0	121.0	Injection
39037.0	39447.0	410	1061.0	93.0	Injection
39467.0	39557.0	90	1082.0	68.0	Injection
39597.0	40247.0	650	1100.0	56.0	Injection
40287.0	40947.0	660	1106.0	74.0	Injection
40986.0	41286.0	300	1123.0	65.0	Injection
41326.0	41476.0	150	994.0	324.0	Injection
41516.0	41586.0	70	986.0	340.0	Injection
41696.0	42046.0	350	1064.0	200.0	Injection
42255.0	42425.0	170	543.0	519.0	Injection
42485.0	42595.0	110	699.0	486.0	Injection
42615.0	42745.0	130	797.0	480.0	Injection
42795.0	43015.0	220	848.0	491.0	Injection
43035.0	43345.0	310	849.0	501.0	Injection
43465.0	43715.0	250	843.0	516.0	Injection
43735.0	44115.0	380	832.0	544.0	Injection
44154.0	44264.0	110	835.0	522.0	Injection
44284.0	44664.0	380	834.0	511.0	Injection
44684.0	48412.0	3728	829.0	499.0	Injection
48452.0	49112.0	660	830.0	486.0	Injection
49131.0	49801.0	670	824.0	514.0	Injection
49821.0	49961.0	140	825.0	488.0	Injection
50001.0	50261.0	260	832.0	510.0	Injection
50281.0	50401.0	120	845.0	517.0	Injection
50421.0	50491.0	70	848.0	527.0	Injection
50531.0	51391.0	860	861.0	533.0	Injection
51530.0	51630.0	100	1159.0	530.0	Injection
51670.0	51740.0	70	1115.0	446.0	Injection
51820.0	51930.0	110	1026.0	376.0	Injection
51950.0	52050.0	100	991.0	349.0	Injection
52070.0	52330.0	260	988.0	299.0	Injection
52350.0	52750.0	400	1013.0	275.0	Injection
52769.0	52979.0	210	1028.0	267.0	Injection
53389.0	53559.0	170	1182.0	51.0	Injection
53579.0	53679.0	100	1171.0	91.0	Injection
53699.0	53849.0	150	1148.0	191.0	Injection
53869.0	53949.0	80	1127.0	258.0	Injection
53989.0	54509.0	520	926.0	501.0	Remove Tip
54548.0	54658.0	110	904.0	574.0	Remove Tip
54698.0	54818.0	120	870.0	562.0	Remove Tip
54838.0	54908.0	70	849.0	546.0	Remove Tip
54968.0	55218.0	250	1141.0	549.0	Remove Tip
55238.0	55458.0	220	1026.0	466.0	Remove Tip
55498.0	55728.0	230	987.0	458.0	Remove Tip
55818.0	55888.0	70	677.0	610.0	Remove Tip
56047.0	56147.0	100	871.0	496.0	Remove Tip
56197.0	56277.0	80	889.0	475.0	Remove Tip
56447.0	56567.0	120	880.0	421.0	Remove Tip
56587.0	56697.0	110	882.0	402.0	Remove Tip
56737.0	56857.0	120	889.0	393.0	Remove Tip
56897.0	57017.0	120	906.0	398.0	Remove Tip
57037.0	58746.0	1709	909.0	419.0	Remove Tip
58796.0	58926.0	130	915.0	459.0	Remove Tip
58966.0	59066.0	100	893.0	453.0	Remove Tip
59086.0	59226.0	140	889.0	424.0	Remove Tip
59246.0	59916.0	670	892.0	392.0	Remove Tip
59935.0	60455.0	520	876.0	383.0	Remove Tip
60555.0	61974.0	1419	884.0	396.0	Remove Tip
62084.0	62264.0	180	875.0	389.0	Remove Tip
62304.0	62434.0	130	852.0	391.0	Remove Tip
62604.0	62674.0	70	1235.0	402.0	Remove Tip
62714.0	63054.0	340	1115.0	379.0	Remove Tip
63283.0	63393.0	110	805.0	224.0	Cap On
63433.0	63513.0	80	841.0	261.0	Cap On
63533.0	63713.0	180	874.0	311.0	Cap On
63733.0	63833.0	100	929.0	350.0	Cap On
63853.0	64173.0	320	999.0	331.0	Cap On
64413.0	64563.0	150	898.0	506.0	Cap On
64583.0	64693.0	110	931.0	493.0	Cap On
64712.0	64962.0	250	920.0	488.0	Cap On
65232.0	65342.0	110	829.0	477.0	Cap On
65782.0	65882.0	100	727.0	424.0	Cap On
65902.0	66092.0	190	762.0	419.0	Cap On
66122.0	66362.0	240	936.0	429.0	Cap On
66481.0	66581.0	100	826.0	417.0	Cap On
66791.0	66901.0	110	773.0	434.0	Cap On
67021.0	67151.0	130	933.0	483.0	Cap On
