Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]	Event
870.0	1600.0	730	850.0	581.0	Cap Off
1669.0	1839.0	170	935.0	510.0	Cap Off
1929.0	2079.0	150	854.0	594.0	Cap Off
2099.0	2179.0	80	862.0	617.0	Cap Off
2199.0	2309.0	110	869.0	627.0	Cap Off
2369.0	2579.0	210	881.0	584.0	Cap Off
2618.0	2728.0	110	877.0	518.0	Cap Off
2748.0	2838.0	90	961.0	512.0	Cap Off
2878.0	2998.0	120	949.0	506.0	Cap Off
3018.0	3278.0	260	849.0	529.0	Cap Off
3298.0	3388.0	90	858.0	580.0	Cap Off
3428.0	3508.0	80	913.0	546.0	Cap Off
3598.0	3818.0	220	1224.0	592.0	Cap Off
3898.0	4078.0	180	832.0	585.0	Cap Off
4118.0	4228.0	110	841.0	600.0	Cap Off
4248.0	4338.0	90	808.0	599.0	Cap Off
4377.0	4517.0	140	967.0	603.0	Cap Off
4547.0	4617.0	70	1086.0	611.0	Cap Off
4747.0	4887.0	140	772.0	526.0	Apply Tip
4977.0	5077.0	100	774.0	562.0	Apply Tip
5247.0	5347.0	100	1481.0	468.0	Apply Tip
5437.0	5677.0	240	1359.0	413.0	Apply Tip
5847.0	5937.0	90	1369.0	406.0	Apply Tip
6007.0	6177.0	170	1180.0	701.0	Apply Tip
6236.0	6456.0	220	1118.0	492.0	Apply Tip
6496.0	6576.0	80	937.0	504.0	Apply Tip
6666.0	6776.0	110	787.0	517.0	Apply Tip
6966.0	7076.0	110	846.0	508.0	Apply Tip
7096.0	7166.0	70	869.0	487.0	Apply Tip
7236.0	7516.0	280	855.0	456.0	Apply Tip
7536.0	9105.0	1569	834.0	448.0	Apply Tip
9145.0	9395.0	250	829.0	464.0	Apply Tip
9415.0	9805.0	390	839.0	463.0	Apply Tip
9844.0	10504.0	660	850.0	449.0	Apply Tip
10544.0	11364.0	820	839.0	456.0	Apply Tip
11403.0	12183.0	780	864.0	445.0	Apply Tip
12203.0	12893.0	690	863.0	452.0	Apply Tip
12913.0	14122.0	1209	853.0	464.0	Apply Tip
14202.0	14412.0	210	889.0	436.0	Apply Tip
14452.0	14562.0	110	869.0	438.0	Apply Tip
14602.0	14712.0	110	832.0	468.0	Apply Tip
14751.0	14931.0	180	1006.0	503.0	Apply Tip
15001.0	15111.0	110	896.0	488.0	Apply Tip
15731.0	15941.0	210	998.0	491.0	Apply Tip
16041.0	16181.0	140	1101.0	583.0	Apply Tip
16261.0	16331.0	70	1190.0	675.0	Setting Units
16470.0	16560.0	90	1055.0	696.0	Setting Units
16670.0	16950.0	280	943.0	728.0	Setting Units
17070.0	17330.0	260	922.0	559.0	Setting Units
17370.0	17910.0	540	889.0	504.0	Setting Units
17930.0	18040.0	110	899.0	540.0	Setting Units
18169.0	18279.0	110	741.0	493.0	Priming
18319.0	18499.0	180	766.0	415.0	Priming
18519.0	18759.0	240	850.0	409.0	Priming
18779.0	18859.0	80	880.0	430.0	Priming
18899.0	19109.0	210	870.0	437.0	Priming
19149.0	19399.0	250	885.0	378.0	Priming
19419.0	19529.0	110	882.0	338.0	Priming
19549.0	19879.0	330	880.0	285.0	Priming
19898.0	22457.0	2559	889.0	256.0	Priming
22507.0	22717.0	210	504.0	273.0	Priming
23047.0	23147.0	100	705.0	350.0	Priming
23167.0	23357.0	190	743.0	367.0	Priming
23416.0	23816.0	400	708.0	393.0	Priming
23836.0	24116.0	280	654.0	376.0	Priming
24136.0	24396.0	260	688.0	366.0	Priming
24416.0	24636.0	220	694.0	349.0	Priming
24696.0	25076.0	380	700.0	336.0	Priming
25145.0	25265.0	120	689.0	365.0	Priming
25285.0	26914.0	1629	692.0	333.0	Priming
27054.0	27154.0	100	687.0	347.0	Priming
27294.0	29773.0	2479	683.0	334.0	Priming
29813.0	31112.0	1299	642.0	309.0	Priming
31262.0	31382.0	120	970.0	665.0	Setting Units
31582.0	31692.0	110	832.0	704.0	Setting Units
31762.0	31882.0	120	994.0	672.0	Setting Units
31901.0	32161.0	260	983.0	644.0	Setting Units
32351.0	32441.0	90	927.0	633.0	Setting Units
32461.0	32711.0	250	911.0	618.0	Setting Units
33011.0	33601.0	590	910.0	601.0	Setting Units
33760.0	33840.0	80	772.0	570.0	Injection
