Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]	Event
2898	3418	520	977	564	Cap Off
3458	3888	430	1238	569	Cap Off
3948	8135	4187	952	626	Apply Tip
8185	8625	440	1090	562	Apply Tip
8675	8995	320	673	456	Apply Tip
9045	9205	160	729	646	Apply Tip
9244	9414	170	513	431	Apply Tip
9474	10373	899	874	629	Setting Units
10414	11034	620	814	604	Setting Units
11053	11153	100	876	568	Priming
11283	11423	140	966	454	Priming
11443	14351	2908	883	530	Priming
14401	17209	2808	853	596	Priming
17270	17490	220	358	247	Priming
17539	17919	380	820	529	Priming
18009	19438	1429	839	598	Setting Units
19458	19608	150	995	715	Setting Units
19748	20188	440	687	606	Setting Units
20208	20858	650	772	494	Injection
20877	20937	60	790	436	Injection
20957	22616	1659	828	396	Injection
22676	23835	1159	937	558	Injection
23896	24376	480	901	557	Injection
24385	24575	190	869	544	Injection
24625	25405	780	835	313	Injection
25425	26884	1459	790	348	Injection
26974	27604	630	787	351	Injection
27643	27993	350	783	363	Injection
28093	30072	1979	781	377	Injection
30162	31351	1189	784	375	Injection
31571	34119	2548	767	360	Injection
34160	34300	140	754	362	Injection
34319	35838	1519	770	356	Injection
35938	36538	600	779	372	Injection
36578	36708	130	785	416	Injection
36768	36968	200	859	762	Injection
37178	37538	360	1042	530	Injection
37557	37717	160	989	552	Remove Tip
37757	38017	260	874	718	Remove Tip
38157	38587	430	965	541	Remove Tip
38597	38737	140	1046	533	Remove Tip
38757	38937	180	1004	543	Remove Tip
39077	39697	620	956	546	Remove Tip
39736	39856	120	942	554	Remove Tip
39976	40536	560	940	566	Remove Tip
40636	41056	420	947	571	Remove Tip
41275	42314	1039	936	574	Remove Tip
42614	42694	80	909	567	Remove Tip
42734	42904	170	1140	534	Remove Tip
42914	43204	290	1165	566	Remove Tip
43224	43614	390	1121	478	Remove Tip
43784	44064	280	872	508	Remove Tip
44094	44254	160	876	723	Cap On
44413	44773	360	976	619	Cap On
44843	45553	710	887	591	Cap On
45773	46113	340	957	487	Cap On
46172	46302	130	986	525	Cap On
46322	46422	100	1004	546	Cap On
46442	46882	440	993	580	Cap On
46922	47172	250	959	576	Cap On
