start_time	end_time	App	Cap	Gauge	Pad	Pen	Safety	Tip	Action	sequence	Dict_value
0.585	0.835	351.4	7.1	320.6	599.4	59.4	527.8	1600.0	Cap Off	DADDBDD	1692
0.887	1.037	405.0	150.1	435.3	703.6	82.1	435.8	1600.0	Cap Off	DDDDBDD	2178
1.147	1.257	780.4	0.0	720.6	1165.4	505.5	1600.0	1600.0	Cap Off	DADDDDD	1701
1.277	1.357	884.8	0.0	773.9	1600.0	597.1	1600.0	1600.0	Cap Off	DADDDDD	1701
1.446	1.536	1600.0	32.8	869.4	1600.0	817.0	280.3	856.1	Cap Off	DBDDDDD	1944
1.755	1.865	1600.0	0.0	876.9	1600.0	823.5	330.4	870.0	Cap Off	DADDDDD	1701
1.985	2.115	1600.0	0.0	884.1	1600.0	830.9	331.5	878.2	Cap Off	DADDDDD	1701
2.187	2.257	1600.0	320.6	850.3	1600.0	680.6	18.1	677.8	Apply Tip	DDDDDAD	2181
2.275	2.395	1600.0	334.0	827.4	1600.0	642.3	6.0	638.7	Apply Tip	DDDDDAD	2181
2.455	2.535	924.6	356.0	820.3	1600.0	612.8	0.0	605.4	Apply Tip	DDDDDAD	2181
2.559	2.649	915.4	366.5	834.0	1600.0	618.7	0.0	610.4	Apply Tip	DDDDDAD	2181
2.687	2.777	917.5	371.5	1600.0	1600.0	622.6	0.0	615.0	Apply Tip	DDDDDAD	2181
2.836	2.956	911.2	381.4	1600.0	1600.0	610.5	1.0	1600.0	Apply Tip	DDDDDAD	2181
2.976	3.216	861.0	409.4	1600.0	1600.0	548.3	16.3	538.5	Apply Tip	DDDDDAD	2181
3.256	3.356	646.8	1600.0	1600.0	1010.9	378.6	0.0	1600.0	Apply Tip	DDDDDAD	2181
3.793	3.923	304.7	964.3	432.6	611.2	38.1	65.8	1600.0	Apply Tip	DDDDBBD	2175
3.948	4.058	315.8	956.6	436.9	623.5	37.0	38.2	1600.0	Apply Tip	DDDDBBD	2175
4.577	4.937	303.3	972.3	447.4	617.4	41.0	0.0	1600.0	Apply Tip	DDDDBAD	2172
4.953	5.073	315.4	967.5	465.8	637.6	51.0	0.0	1600.0	Apply Tip	DDDDBAD	2172
5.094	5.334	301.3	973.9	454.7	615.1	41.0	0.0	1600.0	Apply Tip	DDDDBAD	2172
5.422	5.922	305.0	957.4	450.6	611.8	38.5	0.0	1600.0	Apply Tip	DDDDBAD	2172
5.972	6.182	314.1	939.9	462.3	618.8	33.2	0.0	1600.0	Apply Tip	DDDDBAD	2172
6.203	6.603	332.9	917.1	455.2	622.4	40.1	10.0	1600.0	Apply Tip	DDDDBAD	2172
6.623	7.363	317.2	931.2	471.1	622.7	57.0	18.7	1600.0	Apply Tip	DDDDBAD	2172
7.381	7.571	388.6	857.2	486.0	667.6	74.7	197.1	20.1	Apply Tip	DDDDBDA	2176
7.592	7.852	376.0	1600.0	479.6	663.2	64.2	292.5	18.9	Apply Tip	DDDDBDA	2176
7.871	8.311	358.0	872.8	465.1	654.8	59.0	1600.0	21.9	Apply Tip	DDDDBDA	2176
8.595	8.665	407.1	910.1	0.0	478.0	26.0	1600.0	435.5	Setting Units	DDADBDD	2016
8.702	8.822	386.4	858.2	0.0	497.0	45.6	591.9	443.0	Setting Units	DDADBDD	2016
8.872	8.972	358.9	838.9	0.0	521.1	31.6	525.2	1600.0	Setting Units	DDADBDD	2016
8.993	9.103	367.1	804.1	6.1	555.8	41.0	478.0	1600.0	Setting Units	DDADBDD	2016
9.125	9.225	374.2	791.3	6.1	568.3	50.0	464.2	1600.0	Setting Units	DDADBDD	2016
9.971	10.471	360.1	822.9	0.0	554.1	30.0	488.4	435.7	Setting Units	DDADBDD	2016
10.541	11.071	370.4	813.5	0.0	561.3	40.0	482.1	452.4	Setting Units	DDADBDD	2016
11.089	11.709	347.9	832.8	0.0	548.2	23.0	494.0	429.0	Setting Units	DDADADD	2007
12.039	12.279	211.5	1600.0	816.4	0.0	384.5	1600.0	337.3	Injection	DDDADDD	2133
12.318	12.568	203.3	1600.0	1600.0	0.0	533.6	1600.0	485.7	Injection	DDDADDD	2133
12.588	12.718	206.0	1600.0	1600.0	0.0	705.1	1600.0	627.0	Injection	DDDADDD	2133
12.743	12.823	209.9	1600.0	1600.0	0.0	533.6	1600.0	504.2	Injection	DDDADDD	2133
13.022	13.142	1600.0	1600.0	603.0	0.0	163.9	1600.0	133.3	Injection	DDDADDB	2132
13.159	13.269	1600.0	1600.0	550.8	0.0	114.6	1600.0	91.2	Injection	DDDABDB	2123
13.31	13.44	1600.0	1600.0	472.7	0.0	78.5	1600.0	50.0	Injection	DDDABDB	2123
13.462	13.822	1600.0	1600.0	426.7	0.0	58.7	1600.0	29.4	Injection	DDDABDB	2123
13.867	14.946	410.5	1600.0	358.2	8.0	9.2	1600.0	0.0	Injection	DDDAADA	2113
14.991	15.201	356.5	1600.0	318.2	2.8	9.0	1600.0	1.0	Injection	DDDAADA	2113
15.247	15.397	174.5	1600.0	25.6	296.3	3.2	1600.0	327.8	Injection	DDBDADD	2088
15.416	15.536	182.0	1600.0	21.0	347.0	73.6	1600.0	377.6	Injection	DDADBDD	2016
15.558	15.638	145.4	1600.0	55.9	362.1	88.9	1600.0	392.0	Injection	BDBDBDD	1368
15.689	15.899	152.1	1600.0	36.9	328.3	77.2	1600.0	360.5	Injection	DDBDBDD	2097
15.961	16.111	171.4	1600.0	4.0	281.8	46.5	1600.0	307.3	Injection	DDADBDD	2016
16.241	16.391	180.9	1600.0	1.4	262.8	45.7	1600.0	286.1	Injection	DDADBDD	2016
16.589	16.669	0.0	1600.0	262.0	349.0	232.6	1600.0	367.8	Injection	ADDDDDD	729
16.69	16.81	0.0	1600.0	283.3	373.9	257.6	1600.0	389.4	Injection	ADDDDDD	729
16.858	17.108	0.0	1600.0	338.1	396.7	309.0	1600.0	415.6	Injection	ADDDDDD	729
17.126	20.304	0.0	1600.0	358.8	403.1	330.6	1600.0	423.8	Injection	ADDDDDD	729
20.495	20.585	0.0	1600.0	375.8	381.0	344.4	929.8	414.5	Injection	ADDDDDD	729
20.706	20.856	0.0	1600.0	351.9	392.9	325.1	959.6	415.6	Injection	ADDDDDD	729
20.907	24.175	0.0	1600.0	355.0	407.7	328.3	966.5	427.0	Injection	ADDDDDD	729
24.193	24.333	0.0	1600.0	358.9	410.9	335.8	951.4	432.5	Injection	ADDDDDD	729
24.372	24.502	0.0	1600.0	360.7	413.0	336.5	943.6	432.8	Injection	ADDDDDD	729
24.541	24.931	0.0	1600.0	337.4	388.5	313.6	930.6	409.2	Injection	ADDDDDD	729
24.975	25.475	0.0	1600.0	335.7	371.4	312.5	930.0	389.7	Injection	ADDDDDD	729
25.493	25.713	0.0	1600.0	320.9	362.6	298.5	1600.0	373.6	Injection	ADDDDDD	729
25.774	26.274	0.0	1600.0	362.6	397.3	339.3	1600.0	415.1	Injection	ADDDDDD	729
26.74	26.81	250.7	1600.0	248.1	13.6	0.0	1600.0	9.0	Injection	DDDAADA	2113
26.893	27.003	265.4	1600.0	278.2	0.0	21.0	1600.0	5.4	Injection	DDDAADA	2113
27.024	27.094	281.8	1600.0	285.0	0.0	19.8	1600.0	3.6	Injection	DDDAADA	2113
27.171	27.301	294.6	1600.0	288.4	1.4	15.0	1600.0	0.0	Injection	DDDAADA	2113
27.34	27.58	322.5	1600.0	315.5	0.0	25.0	1600.0	3.2	Injection	DDDAADA	2113
27.622	27.892	338.9	1600.0	285.0	45.2	0.0	1600.0	32.6	Injection	DDDBADB	2141
27.909	28.139	1600.0	1600.0	389.6	178.7	13.4	1600.0	19.2	Injection	DDDDADA	2167
28.16	28.27	17.7	1600.0	417.1	300.9	8.0	966.6	1600.0	Injection	ADDDADD	711
28.32	28.42	38.0	1600.0	66.9	411.1	10.4	709.4	78.4	Injection	BDBDADB	1358
28.44	28.55	186.6	942.3	1600.0	544.5	0.0	527.6	46.7	Injection	DDDDADB	2168
28.573	28.723	355.8	732.4	386.0	694.4	18.0	339.1	7.3	Injection	DDDDADA	2167
28.739	28.839	419.7	648.5	399.1	745.0	24.0	275.0	0.0	Injection	DDDDADA	2167
28.903	28.973	697.9	414.6	503.1	993.3	239.5	7.6	234.5	Remove Tip	DDDDDAD	2181
28.99	29.27	720.1	430.8	577.0	1030.7	319.7	9.2	306.6	Remove Tip	DDDDDAD	2181
29.569	29.659	822.5	519.3	697.0	1194.6	413.8	0.0	402.9	Remove Tip	DDDDDAD	2181
