start_time	end_time	App	Cap	Gauge	Pad	Pen	Safety	Tip	Action	sequence	Dict_value
2.045	2.265	306.3	11.0	1600.0	553.8	46.6	541.9	1600.0	Cap Off	DADDBDD	1692
2.349	2.449	350.7	16.0	1600.0	579.4	0.0	465.5	1600.0	Cap Off	DADDADD	1683
2.486	2.726	315.7	0.0	1600.0	540.9	20.6	505.4	1600.0	Cap Off	DADDADD	1683
2.744	2.994	336.2	36.2	171.7	584.5	0.0	497.6	1600.0	Cap Off	DBDDADD	1926
3.098	3.678	364.0	8.5	309.1	615.7	64.0	511.1	1600.0	Cap Off	DADDBDD	1692
3.733	3.993	425.7	137.3	380.3	681.0	26.9	431.3	1600.0	Cap Off	DBDDBDD	1935
4.018	4.148	418.5	95.8	376.3	685.7	42.5	426.3	1600.0	Cap Off	DBDDBDD	1935
4.184	4.264	560.0	25.2	561.2	906.7	258.2	271.6	1600.0	Cap Off	DBDDDDD	1944
4.647	4.837	1600.0	0.0	814.5	1600.0	770.9	305.4	815.9	Cap Off	DADDDDD	1701
4.853	5.183	1600.0	0.0	811.8	1600.0	781.6	352.6	1600.0	Cap Off	DADDDDD	1701
5.295	5.385	1600.0	353.6	729.2	1600.0	570.7	3.0	571.4	Apply Tip	DDDDDAD	2181
5.402	5.532	889.1	340.4	718.4	1600.0	557.4	0.0	555.0	Apply Tip	DDDDDAD	2181
5.553	5.663	881.0	363.5	733.4	1600.0	553.9	0.0	549.9	Apply Tip	DDDDDAD	2181
5.706	5.946	890.8	366.4	761.6	1600.0	573.8	3.6	568.6	Apply Tip	DDDDDAD	2181
6.106	6.466	886.3	372.3	741.3	1600.0	556.1	0.0	553.8	Apply Tip	DDDDDAD	2181
6.504	6.614	770.2	483.9	698.2	1143.1	472.3	0.0	1600.0	Apply Tip	DDDDDAD	2181
6.636	6.766	591.8	1600.0	629.9	951.2	348.0	0.0	1600.0	Apply Tip	DDDDDAD	2181
6.805	6.915	438.8	845.2	559.0	799.1	238.9	1.0	216.9	Apply Tip	DDDDDAD	2181
6.956	7.066	365.3	867.0	489.6	712.0	146.3	3.6	120.1	Apply Tip	DDDDBAB	2171
7.252	7.362	336.0	892.2	401.4	635.4	41.0	9.0	1600.0	Apply Tip	DDDDBAD	2172
7.385	7.515	340.2	902.1	381.1	625.1	10.8	15.0	1600.0	Apply Tip	DDDDAAD	2163
7.556	7.666	340.4	906.0	396.8	634.1	24.4	0.0	1600.0	Apply Tip	DDDDAAD	2163
7.684	8.653	339.2	916.8	396.0	627.3	28.0	0.0	1600.0	Apply Tip	DDDDBAD	2172
8.671	8.781	357.6	870.7	420.3	656.3	42.7	8.6	1600.0	Apply Tip	DDDDBAD	2172
8.805	9.045	361.2	859.4	412.5	653.2	41.0	64.1	1600.0	Apply Tip	DDDDBBD	2175
9.124	9.324	348.4	874.9	414.2	648.3	48.8	5.8	1600.0	Apply Tip	DDDDBAD	2172
9.384	9.914	355.0	859.0	401.4	650.5	36.4	10.6	1600.0	Apply Tip	DDDDBAD	2172
9.934	10.204	389.2	1600.0	417.9	674.0	50.0	219.7	7.0	Apply Tip	DDDDBDA	2176
10.22	10.35	387.4	1600.0	421.0	690.7	59.5	429.2	29.8	Apply Tip	DDDDBDB	2177
10.473	10.583	808.1	617.3	683.8	1115.2	463.3	140.6	457.5	Apply Tip	DDDDDBD	2184
10.774	10.944	797.2	544.0	672.5	1117.7	451.8	1600.0	445.0	Apply Tip	DDDDDDD	2187
11.18	11.29	335.9	908.0	49.0	494.7	0.0	1600.0	317.5	Setting Units	DDBDADD	2088
11.328	11.408	319.2	886.6	14.6	412.0	69.9	633.5	411.5	Setting Units	DDADBDD	2016
11.452	11.562	293.5	896.3	0.0	419.5	23.4	594.4	362.0	Setting Units	DDADADD	2007
11.583	11.703	295.6	895.2	1.0	436.9	17.7	585.0	356.1	Setting Units	DDADADD	2007
11.721	11.851	301.8	890.5	4.5	452.0	19.1	574.4	363.4	Setting Units	DDADADD	2007
11.869	11.979	315.1	868.7	14.2	482.6	28.0	557.7	366.5	Setting Units	DDADBDD	2016
12.173	12.263	335.8	825.8	24.6	551.4	30.0	477.6	1600.0	Setting Units	DDADBDD	2016
12.301	12.411	351.6	801.9	20.2	576.9	32.0	451.3	1600.0	Setting Units	DDADBDD	2016
12.43	12.55	383.7	762.2	0.0	616.4	41.0	409.2	1600.0	Setting Units	DDADBDD	2016
12.568	12.938	378.9	775.2	0.0	613.1	45.0	411.3	1600.0	Setting Units	DDADBDD	2016
12.979	13.239	389.2	769.0	0.0	607.5	52.0	421.8	452.3	Setting Units	DDADBDD	2016
13.317	13.897	381.1	781.0	1.0	607.2	46.0	427.1	453.1	Setting Units	DDADBDD	2016
13.982	14.102	385.4	765.7	10.8	603.1	38.1	425.2	1600.0	Setting Units	DDADBDD	2016
14.268	14.338	112.4	1146.0	402.8	546.4	5.7	684.5	0.0	Priming	BDDDADA	1438
14.452	14.552	247.4	983.9	397.7	642.5	15.0	513.3	3.0	Priming	DDDDADA	2167
14.57	14.68	296.6	951.9	458.7	694.2	78.0	469.5	23.5	Priming	DDDDBDA	2176
14.699	14.999	323.6	939.6	483.9	717.8	104.0	442.5	54.1	Priming	DDDDBDB	2177
15.119	15.229	340.7	911.2	460.9	717.2	79.2	420.4	37.8	Priming	DDDDBDB	2177
15.247	15.367	341.7	922.2	477.7	729.7	97.1	430.7	49.2	Priming	DDDDBDB	2177
15.391	15.821	335.0	931.7	486.3	727.7	102.0	441.6	53.2	Priming	DDDDBDB	2177
15.838	16.368	341.5	919.7	479.7	730.9	96.3	430.7	52.3	Priming	DDDDBDB	2177
16.387	16.487	355.5	921.4	491.5	746.0	110.0	428.1	65.4	Priming	DDDDBDB	2177
16.567	16.907	344.2	930.4	491.8	736.7	109.1	438.6	63.2	Priming	DDDDBDB	2177
17.287	17.497	0.0	1254.0	464.6	342.2	328.4	775.1	357.0	Priming	ADDDDDD	729
17.539	17.759	0.0	1600.0	505.6	310.2	398.4	828.9	431.3	Priming	ADDDDDD	729
17.796	18.026	0.0	1600.0	521.4	319.6	403.5	837.3	430.1	Priming	ADDDDDD	729
18.065	18.315	0.0	1600.0	521.3	316.4	409.3	846.8	441.1	Priming	ADDDDDD	729
18.365	20.094	0.0	1600.0	533.1	319.6	414.6	854.7	439.3	Priming	ADDDDDD	729
20.136	20.316	0.0	1600.0	536.9	323.0	416.5	856.4	439.8	Priming	ADDDDDD	729
20.404	20.824	0.0	1600.0	533.5	322.8	411.2	851.3	432.9	Priming	ADDDDDD	729
20.863	20.983	0.0	1600.0	509.8	296.6	399.2	847.0	433.0	Priming	ADDDDDD	729
21.006	21.596	0.0	1600.0	509.8	320.0	387.0	830.3	413.5	Priming	ADDDDDD	729
21.684	22.873	0.0	1600.0	532.6	319.2	409.9	850.8	433.6	Priming	ADDDDDD	729
22.964	23.384	0.0	1600.0	546.5	318.5	424.6	864.5	446.5	Priming	ADDDDDD	729
23.461	25.71	0.0	1600.0	542.6	329.8	416.9	854.5	434.9	Priming	ADDDDDD	729
25.733	25.833	0.0	1600.0	530.2	331.1	404.4	841.6	420.9	Priming	ADDDDDD	729
25.873	26.113	0.0	1600.0	513.7	322.6	390.0	832.1	410.5	Priming	ADDDDDD	729
26.172	26.442	0.0	1600.0	511.3	326.6	382.3	827.2	405.1	Priming	ADDDDDD	729
26.594	26.684	380.2	1600.0	62.6	535.1	0.0	483.9	313.0	Setting Units	DDBDADD	2088
26.7	26.81	357.4	841.1	21.8	509.1	0.0	502.2	348.3	Setting Units	DDADADD	2007
26.851	26.981	342.6	826.9	0.0	518.0	16.2	491.6	367.1	Setting Units	DDADADD	2007
26.999	27.099	366.5	786.0	0.0	565.7	35.0	443.4	1600.0	Setting Units	DDADBDD	2016
27.121	27.251	360.7	782.7	0.0	585.6	27.7	428.9	1600.0	Setting Units	DDADBDD	2016
27.274	27.384	357.4	784.9	0.0	593.8	33.0	424.9	1600.0	Setting Units	DDADBDD	2016
27.399	27.479	367.0	778.8	0.0	600.8	54.0	416.8	1600.0	Setting Units	DDADBDD	2016
27.53	28.0	357.5	793.3	0.0	592.9	50.0	429.2	1600.0	Setting Units	DDADBDD	2016
28.102	29.241	368.4	789.8	0.0	599.6	50.0	426.9	1600.0	Setting Units	DDADBDD	2016
29.352	29.532	375.8	781.8	0.0	601.4	55.0	423.5	1600.0	Setting Units	DDADBDD	2016
30.168	30.238	206.6	1600.0	879.0	0.0	411.4	1600.0	372.8	Injection	DDDADDD	2133
30.282	30.412	183.1	1600.0	855.1	0.0	354.4	1600.0	320.4	Injection	DDDADDD	2133
