start_time	end_time	App	Cap	Gauge	Pad	Pen	Safety	Tip	Action	sequence	Dict_value
0.42	0.53	367.2	75.8	104.1	516.2	1.0	679.3	1600.0	Cap Off	DBBDADD	1845
0.546	0.646	376.2	84.3	101.0	521.6	9.0	671.9	1600.0	Cap Off	DBBDADD	1845
0.686	0.906	383.7	88.0	96.1	532.0	4.0	679.0	1600.0	Cap Off	DBBDADD	1845
0.946	1.116	343.6	48.8	130.1	503.9	0.0	735.1	1600.0	Cap Off	DBBDADD	1845
1.236	1.326	322.8	33.0	1600.0	497.1	0.0	816.2	1600.0	Cap Off	DBDDADD	1926
1.386	1.496	330.0	66.2	123.5	547.2	0.0	833.4	1600.0	Cap Off	DBBDADD	1845
1.519	1.629	308.9	75.6	1600.0	564.9	0.0	860.9	1600.0	Cap Off	DBDDADD	1926
1.646	1.906	279.1	42.2	189.3	575.0	0.0	931.6	1600.0	Cap Off	DBDDADD	1926
1.945	2.105	305.0	41.0	184.3	574.7	0.0	910.2	1600.0	Cap Off	DBDDADD	1926
2.346	2.466	449.5	21.0	231.1	694.5	0.0	754.9	1600.0	Cap Off	DADDADD	1683
2.895	3.085	403.6	111.4	266.7	683.2	0.0	796.4	87.0	Cap Off	DBDDADB	1925
3.188	3.488	374.4	213.4	77.6	565.7	0.0	816.4	269.3	Cap Off	DDBDADD	2088
3.555	3.645	375.1	268.8	217.7	647.0	0.0	808.4	135.2	Cap Off	DDDDADB	2168
3.756	4.166	718.6	16.6	507.7	1047.7	358.0	516.7	362.2	Cap Off	DADDDDD	1701
4.187	4.277	719.4	10.4	493.6	1039.5	351.3	499.1	355.0	Cap Off	DADDDDD	1701
4.537	4.637	1081.7	380.0	675.8	1282.9	654.0	36.7	742.9	Apply Tip	DDDDDBD	2184
4.732	4.832	1600.0	359.2	735.1	1600.0	705.5	9.2	1600.0	Apply Tip	DDDDDAD	2181
4.857	4.947	1600.0	385.5	785.5	1600.0	760.1	0.0	845.5	Apply Tip	DDDDDAD	2181
4.984	5.534	1600.0	385.2	793.3	1600.0	766.6	5.4	854.2	Apply Tip	DDDDDAD	2181
5.553	5.743	600.5	1600.0	422.7	902.6	261.4	0.0	268.0	Apply Tip	DDDDDAD	2181
5.834	5.924	317.5	455.0	378.0	683.3	32.9	81.1	2.2	Apply Tip	DDDDBBA	2173
5.986	6.096	319.2	415.2	379.1	690.8	33.0	33.5	0.0	Apply Tip	DDDDBBA	2173
6.112	6.222	333.4	404.8	388.3	710.8	27.0	13.0	1600.0	Apply Tip	DDDDBAD	2172
6.266	6.526	338.9	392.2	393.0	713.4	29.2	0.0	1600.0	Apply Tip	DDDDBAD	2172
8.762	9.272	354.0	374.4	392.1	701.6	30.0	0.0	1600.0	Apply Tip	DDDDBAD	2172
9.312	10.211	363.0	359.4	391.5	710.3	22.2	0.0	1600.0	Apply Tip	DDDDAAD	2163
10.304	10.694	352.0	372.0	388.2	703.2	22.0	0.0	1600.0	Apply Tip	DDDDAAD	2163
10.73	11.11	377.0	411.6	453.7	731.0	86.1	156.6	53.3	Apply Tip	DDDDBDB	2177
11.132	11.302	408.0	1600.0	420.2	745.5	41.2	192.7	7.6	Apply Tip	DDDDBDA	2176
11.322	11.402	393.0	1600.0	416.5	735.6	43.4	237.9	5.0	Apply Tip	DDDDBDA	2176
11.423	11.683	382.2	319.6	420.5	730.4	50.6	324.6	7.8	Apply Tip	DDDDBDA	2176
11.702	11.802	384.8	300.1	405.1	731.2	52.0	443.9	5.4	Apply Tip	DDDDBDA	2176
12.279	12.349	521.3	434.4	96.4	716.8	60.9	626.2	342.9	Apply Tip	DDBDBDD	2097
12.371	12.461	479.7	445.7	69.2	654.4	27.1	665.9	329.6	Apply Tip	DDBDBDD	2097
12.668	12.758	1211.3	449.1	759.2	1600.0	741.0	11.3	882.0	Apply Tip	DDDDDAD	2181
12.783	12.903	1269.0	470.9	796.9	1600.0	780.4	31.0	937.7	Apply Tip	DDDDDBD	2184
12.92	13.02	1241.7	459.8	794.4	1600.0	782.3	1600.0	953.3	Apply Tip	DDDDDDD	2187
13.33	13.45	323.6	546.7	1.0	474.4	40.0	865.7	408.1	Setting Units	DDADBDD	2016
13.471	13.601	310.9	573.0	0.0	464.5	52.0	927.0	422.7	Setting Units	DDADBDD	2016
13.618	13.728	342.2	554.3	0.0	500.6	47.0	912.9	431.5	Setting Units	DDADBDD	2016
13.749	13.859	343.0	559.0	0.0	510.5	38.0	923.5	432.2	Setting Units	DDADBDD	2016
