start_time	end_time	App	Cap	Gauge	Pad	Pen	Safety	Tip	Action	sequence	Dict_value
0.1	0.2	566.2	78.8	1600.0	1600.0	45.0	478.1	1600.0	Cap Off	DBDDBDD	1935
0.28	0.51	575.1	59.4	1600.0	1600.0	21.0	474.3	1600.0	Cap Off	DBDDADD	1926
0.58	0.84	598.0	122.8	1600.0	1600.0	44.0	398.2	1600.0	Cap Off	DBDDBDD	1935
0.859	1.089	455.2	57.1	1600.0	1600.0	74.0	537.3	1600.0	Cap Off	DBDDBDD	1935
1.109	1.399	459.2	53.9	1600.0	1600.0	79.5	538.9	1600.0	Cap Off	DBDDBDD	1935
1.629	1.759	702.7	90.8	1600.0	1600.0	120.2	334.3	1600.0	Cap Off	DBDDBDD	1935
1.779	2.059	657.2	0.0	1600.0	660.8	75.5	409.2	1600.0	Cap Off	DADDBDD	1692
2.099	2.249	724.6	256.5	1600.0	874.0	252.1	285.2	1600.0	Cap Off	DDDDDDD	2187
2.289	3.788	1099.5	478.2	1600.0	1600.0	324.9	8.5	1600.0	Apply Tip	DDDDDAD	2181
3.808	7.276	1600.0	457.1	1600.0	858.4	75.8	61.0	1600.0	Apply Tip	DDDDBBD	2175
7.326	7.606	1600.0	479.6	1600.0	821.4	61.7	51.6	1600.0	Apply Tip	DDDDBBD	2175
7.735	10.004	1600.0	482.3	1600.0	828.3	60.8	49.0	1600.0	Apply Tip	DDDDBBD	2175
10.064	10.674	1600.0	497.3	1600.0	837.0	84.8	52.1	59.5	Apply Tip	DDDDBBB	2174
10.724	10.814	689.3	152.8	1600.0	756.5	242.7	524.3	249.3	Apply Tip	DDDDDDD	2187
10.844	11.084	613.4	261.7	1600.0	595.5	66.0	582.1	163.7	Apply Tip	DDDDBDD	2178
11.113	11.533	530.5	267.6	1600.0	496.1	54.4	635.5	266.2	Apply Tip	DDDDBDD	2178
11.553	12.832	729.6	379.5	11.2	635.9	17.1	424.1	1600.0	Setting Units	DDADADD	2007
12.872	13.092	802.9	411.4	60.2	699.8	65.9	401.7	410.9	Setting Units	DDBDBDD	2097
13.172	13.252	822.6	432.0	79.1	712.8	67.2	392.9	388.8	Setting Units	DDBDBDD	2097
13.272	13.412	731.7	348.3	199.0	655.2	130.6	449.9	225.4	Priming	DDDDBDD	2178
13.442	13.592	633.8	241.1	336.7	618.2	1600.0	514.3	89.0	Priming	DDDDDDB	2186
13.632	13.952	867.9	534.0	38.6	719.9	27.5	408.4	322.1	Priming	DDBDBDD	2097
13.982	14.202	745.6	282.7	289.0	710.5	29.8	402.4	71.2	Priming	DDDDBDB	2177
14.222	14.542	711.0	149.3	448.0	794.8	66.0	423.5	31.8	Priming	DBDDBDB	1934
14.551	15.101	705.0	124.6	506.0	837.6	122.0	436.9	77.2	Priming	DBDDBDB	1934
15.231	15.391	749.0	340.7	173.0	674.8	0.0	401.3	180.2	Priming	DDDDADD	2169
15.411	15.491	786.5	481.2	5.8	654.3	5.1	433.5	351.0	Priming	DDADADD	2007
15.531	16.001	782.9	410.6	3.6	685.3	49.7	390.4	392.2	Priming	DDADBDD	2016
16.23	16.56	0.0	446.2	846.2	422.0	496.5	1600.0	466.7	Priming	ADDDDDD	729
16.57	18.449	0.0	463.8	876.2	337.3	496.9	1279.8	460.7	Priming	ADDDDDD	729
18.469	18.889	0.0	459.6	932.3	416.8	555.8	1318.0	511.5	Priming	ADDDDDD	729
18.909	19.279	0.0	528.0	952.6	347.1	568.6	1351.8	526.8	Priming	ADDDDDD	729
19.299	20.318	0.0	446.3	913.6	412.3	535.2	1292.1	498.5	Priming	ADDDDDD	729
20.458	20.798	0.0	453.3	908.8	391.0	529.7	1300.4	486.8	Priming	ADDDDDD	729
20.818	21.088	0.0	505.0	919.2	338.2	535.7	1334.0	493.6	Priming	ADDDDDD	729
21.098	22.857	0.0	468.5	923.5	402.7	545.9	1311.7	502.1	Priming	ADDDDDD	729
22.876	23.106	33.0	466.8	964.5	490.9	594.1	1328.6	556.6	Priming	BDDDDDD	1458
23.126	24.965	0.0	452.0	906.1	414.7	534.6	1600.0	494.1	Priming	ADDDDDD	729
25.175	26.654	747.6	388.6	30.5	659.2	73.0	450.0	421.9	Setting Units	DDBDBDD	2097
26.674	28.353	739.0	374.0	53.1	657.5	64.2	472.4	417.1	Setting Units	DDBDBDD	2097
28.383	28.643	469.1	301.7	189.6	411.4	26.0	723.0	226.8	Injection	DDDDBDD	2178
28.823	28.943	234.8	688.3	717.1	0.0	307.7	1600.0	269.4	Injection	DDDADDD	2133
29.023	29.563	206.8	649.2	326.5	0.0	81.1	1600.0	73.1	Injection	DDDABDB	2123
29.583	31.062	1600.0	662.0	420.1	8.5	23.3	1600.0	0.0	Injection	DDDAADA	2113
31.082	31.752	268.3	668.0	355.8	17.0	0.0	1600.0	20.5	Injection	DDDAADA	2113
31.801	32.98	235.3	649.2	215.3	16.0	0.0	1600.0	34.7	Injection	DDDAADB	2114
33.17	33.24	0.0	506.9	341.0	450.7	351.9	1600.0	1600.0	Injection	ADDDDDD	729
33.26	33.61	0.0	486.5	326.8	413.9	329.7	1600.0	1600.0	Injection	ADDDDDD	729
33.63	34.979	0.0	503.7	358.3	468.9	341.1	1600.0	1600.0	Injection	ADDDDDD	729
