start_time	end_time	App	Cap	Gauge	Pad	Pen	Safety	Tip	Action	sequence	Dict_value
2.179	2.609	395.3	39.8	1600.0	1600.0	37.9	373.6	652.2	Cap Off	DBDDBDD	1935
2.738	3.108	0.0	827.5	1600.0	1600.0	364.9	903.8	575.1	Cap Off	ADDDDDD	729
3.178	4.137	361.1	22.8	1600.0	1600.0	38.1	420.9	576.8	Cap Off	DADDBDD	1692
4.148	4.368	408.7	100.1	1600.0	1600.0	37.4	1600.0	689.0	Cap Off	DBDDBDD	1935
4.447	5.197	0.0	363.3	1600.0	1600.0	357.0	886.3	539.0	Cap Off	ADDDDDD	729
5.377	11.074	675.7	228.8	1600.0	906.7	50.1	3.0	1600.0	Cap Off	DDDDBAD	2172
11.114	12.143	661.2	203.6	1600.0	917.4	51.9	22.0	1600.0	Apply Tip	DDDDBAD	2172
12.203	12.683	910.2	450.9	681.7	1600.0	366.5	37.9	350.2	Apply Tip	DDDDDBD	2184
13.122	15.271	426.7	268.1	30.4	531.9	81.5	407.1	426.4	Apply Tip	DDBDBDD	2097
15.321	15.531	316.0	5.8	317.0	640.6	1.0	501.3	47.7	Setting Units	DADDADB	1682
15.551	17.12	342.2	122.4	450.0	736.8	87.0	550.2	48.8	Priming	DBDDBDB	1934
17.2	17.5	345.9	124.8	460.0	739.6	92.5	552.1	54.8	Priming	DBDDBDB	1934
17.63	17.82	0.0	403.0	569.6	353.4	424.8	939.2	444.5	Priming	ADDDDDD	729
17.83	18.759	0.0	341.7	1600.0	338.7	400.9	929.3	422.1	Priming	ADDDDDD	729
18.779	20.008	0.0	452.1	1600.0	341.8	391.5	933.9	414.0	Priming	ADDDDDD	729
20.158	21.827	0.0	349.6	1600.0	357.5	371.6	902.2	393.0	Priming	ADDDDDD	729
22.076	23.785	0.0	348.3	1600.0	354.2	364.6	895.1	384.0	Priming	ADDDDDD	729
23.946	26.105	0.0	351.1	1600.0	346.3	394.7	934.6	411.1	Priming	ADDDDDD	729
26.345	27.914	449.7	257.0	40.8	557.8	80.6	368.3	422.9	Priming	DDBDBDD	2097
27.954	28.154	517.2	152.5	6.0	725.0	70.0	319.1	463.1	Setting Units	DDADBDD	2016
28.164	28.614	507.2	155.1	0.0	708.9	57.0	331.3	445.0	Setting Units	DDADBDD	2016
28.654	29.853	505.6	127.8	8.1	718.5	66.0	329.2	451.8	Setting Units	DBADBDD	1773
29.893	29.973	497.4	127.8	5.0	700.2	55.0	310.5	413.5	Setting Units	DBADBDD	1773
29.983	30.093	417.1	136.0	44.0	609.4	0.0	384.5	300.0	Setting Units	DBBDADD	1845
30.313	30.383	215.1	659.0	576.2	0.0	323.5	1047.3	312.6	Setting Units	DDDADDD	2133
30.433	30.543	1600.0	582.5	451.3	2.8	166.4	1600.0	930.1	Injection	DDDADDD	2133
30.592	31.831	371.2	540.1	1600.0	0.0	10.4	1600.0	0.0	Injection	DDDAADA	2113
31.892	33.341	112.0	517.8	1600.0	245.5	49.0	1600.0	275.9	Injection	BDDDBDD	1449
33.461	33.891	164.1	547.4	220.2	0.0	8.5	1600.0	5.1	Injection	DDDAADA	2113
33.941	35.3	0.0	280.2	1600.0	427.8	322.1	868.6	1600.0	Injection	ADDDDDD	729
35.39	36.319	0.0	313.6	1600.0	402.4	284.9	892.0	1600.0	Injection	ADDDDDD	729
36.359	36.759	163.0	589.0	187.2	235.1	45.5	1163.1	261.3	Injection	DDDDBDD	2178
36.799	38.128	0.0	333.6	1600.0	337.7	237.2	1600.0	370.6	Injection	ADDDDDD	729
38.258	40.677	0.0	314.7	1600.0	375.2	270.2	941.3	397.3	Injection	ADDDDDD	729
40.817	41.027	0.0	327.2	261.5	363.8	253.7	952.7	382.8	Injection	ADDDDDD	729
42.256	43.815	0.0	325.4	1600.0	370.0	261.1	954.2	391.8	Injection	ADDDDDD	729
43.895	45.364	279.4	572.7	1600.0	0.0	9.9	1600.0	938.1	Injection	DDDAADD	2115
45.404	45.504	206.1	1600.0	144.6	505.4	0.0	605.5	232.8	Injection	DDBDADD	2088
45.544	45.784	300.4	31.8	171.4	525.9	0.0	445.4	207.4	Injection	DBDDADD	1926
45.954	46.344	864.0	442.4	628.5	1600.0	332.4	79.0	309.8	Injection	DDDDDBD	2184
46.383	47.322	695.7	264.5	423.3	940.2	62.0	156.4	27.9	Remove Tip	DDDDBDB	2177
47.403	47.623	768.1	320.3	470.3	984.6	76.0	0.0	35.0	Remove Tip	DDDDBAB	2171
49.002	50.091	748.2	304.2	454.0	945.3	61.5	3.2	1600.0	Remove Tip	DDDDBAD	2172
50.111	52.44	751.5	296.9	451.5	949.7	59.9	2.0	1600.0	Remove Tip	DDDDBAD	2172
52.48	53.16	918.2	433.9	1600.0	1600.0	301.1	0.0	1600.0	Remove Tip	DDDDDAD	2181
53.229	54.178	300.5	59.0	320.2	1600.0	2.8	546.6	12.8	Remove Tip	DBDDADA	1924
54.189	54.609	406.2	92.1	1600.0	1600.0	41.0	444.8	16.3	Cap On	DBDDBDA	1933
54.629	54.849	445.0	0.0	1600.0	1600.0	34.4	382.2	614.4	Cap On	DADDBDD	1692
54.858	55.098	398.9	18.4	1600.0	1600.0	0.0	398.8	652.7	Cap On	DADDADD	1683
55.168	56.157	0.0	475.3	367.2	313.3	359.4	909.8	639.1	Cap On	ADDDDDD	729
56.228	57.697	363.8	23.3	146.0	1600.0	0.0	1600.0	586.9	Cap On	DABDADD	1602
57.887	58.477	372.8	38.3	153.2	1600.0	12.1	417.6	634.2	Cap On	DBDDADD	1926
58.666	58.886	391.0	8.0	184.9	1600.0	24.7	434.1	566.6	Cap On	DADDADD	1683
