Thumb_R	Index_R	Thumb_L	Index_L	Action	sequence	Dict_value
0.0	0.0	1053.1012726380286	1056.7279742665403	Cap Off	DDAA	1177
0.0	0.0	1053.1012726380286	1056.7279742665403	Cap Off	DDAA	1177
0.0	0.0	1053.1012726380286	1056.7279742665403	Cap Off	DDAA	1177
0.0	0.0	1053.1012726380286	1056.7279742665403	Cap Off	DDAA	1177
0.0	0.0	697.5985681134571	697.5985681134571	Cap Off	CCAA	785
0.0	0.0	1151.2300062489826	1151.2300062489826	Cap Off	EEAA	1569
0.0	0.0	1213.4277235751313	1213.4277235751313	Cap Off	EEAA	1569
0.0	0.0	1252.178358503471	1252.178358503471	Cap Off	EEAA	1569
1070.4576226624254	1070.4576226624254	1070.4576226624254	1138.0006879277098	Cap Off	DEDD	1250
1063.4936147689675	1063.4936147689675	1063.4936147689675	1200.223776373555	Cap Off	DEDD	1250
1037.5822979538275	1037.5822979538275	1037.5822979538275	1100.5372954542888	Cap Off	DEDD	1250
817.0144446228466	817.0144446228466	1015.137703705056	1076.0045116056494	Cap Off	DDDD	1201
822.6635592153938	822.6635592153938	822.6635592153938	813.1463229091024	Cap Off	DDDD	1201
143.56677585604797	143.56677585604797	701.6357385215961	695.7074811704242	Cap Off	CCAA	785
0.0	0.0	1100.6893322864728	1100.6893322864728	Cap Off	EEAA	1569
649.7238682337876	649.7238682337876	649.7238682337876	639.5596711466497	Setting Units	CCCC	801
768.4715669951964	768.4715669951964	768.4715669951964	792.9800159034653	Setting Units	CCCC	801
878.6784962498152	878.6784962498152	878.6784962498152	889.5845315810304	Setting Units	DDDD	1201
998.5642847765364	998.5642847765364	998.5642847765364	1001.4560164452732	Setting Units	DDDD	1201
920.6053778911772	920.6053778911772	920.6053778911772	938.2873038541952	Setting Units	DDDD	1201
910.670590570181	910.670590570181	910.670590570181	933.2916890493298	Setting Units	DDDD	1201
903.9349186976024	903.9349186976024	903.9349186976024	928.0751050830596	Setting Units	DDDD	1201
911.2904725616364	911.2904725616364	911.2904725616364	926.7475807071264	Setting Units	DDDD	1201
920.55411842692	920.55411842692	920.55411842692	930.4413956693536	Setting Units	DDDD	1201
1068.59263492664	1068.59263492664	1068.59263492664	1062.9556869302255	Priming	DDDD	1201
1163.7824782757975	1163.7824782757975	1163.7824782757975	1156.126504519815	Priming	EEEE	1601
1172.2668789624008	1172.2668789624008	1172.2668789624008	1160.6934529682774	Priming	EEEE	1601
1171.1625237251287	1171.1625237251287	1171.1625237251287	1166.4554436346473	Priming	EEEE	1601
1167.3887848967977	1167.3887848967977	1167.3887848967977	1174.859822056624	Priming	EEEE	1601
1098.137194276657	1098.137194276657	1098.137194276657	1110.7041773843714	Priming	DEDD	1250
891.3573609953378	891.3573609953378	891.3573609953378	888.3882746543695	Apply Tip	DDDD	1201
839.871208280595	839.871208280595	839.871208280595	822.3739140167137	Apply Tip	DDDD	1201
818.6617649936242	818.6617649936242	818.6617649936242	800.0799395751393	Apply Tip	DDDD	1201
829.7793054150756	829.7793054150756	829.7793054150756	809.4752958051907	Apply Tip	DDDD	1201
