Thumb_R	Index_R	Thumb_L	Index_L	Action	sequence	Dict_value
0.0	0.0	1261.0855208607582	1261.0855208607582	Cap Off	CCAA	161
0.0	0.0	0.0	0.0	Cap Off	AAAA	1
465.8745536778794	465.8745536778794	0.0	0.0	Cap Off	AABB	6
766.5223341416968	766.5223341416968	0.0	0.0	Cap Off	AACC	11
862.5773896709846	862.5773896709846	0.0	0.0	Cap Off	AACC	11
909.2489169261409	909.2489169261409	0.0	0.0	Cap Off	AACC	11
1239.2111938329963	1239.2111938329963	0.0	0.0	Cap Off	AACC	11
1250.5964110837897	1250.5964110837897	0.0	0.0	Cap Off	AACC	11
1210.4987310527615	1174.0866707589694	425.3030125268937	425.3030125268937	Cap Off	BBCC	91
1159.0947859119772	1074.785850440051	1321.8036463274163	1321.8036463274163	Cap Off	CCCC	171
1165.3477827544768	1070.9291127698573	1327.679954806045	1327.679954806045	Cap Off	CCCC	171
1143.5671079457345	1050.6257291924271	1321.5163362505057	1321.5163362505057	Cap Off	CCCC	171
1095.3668668291416	1027.1055295188212	1317.5644806931846	1317.5644806931846	Cap Off	CCCC	171
1066.8937873133032	1019.8179397125576	1288.8477411721665	1288.8477411721665	Cap Off	CCCC	171
1049.6636291744785	1003.0342594032168	1262.681277564264	1262.681277564264	Cap Off	CCCC	171
1052.3140617024349	1003.5780653477946	1260.8728979923435	1260.8728979923435	Cap Off	CCCC	171
1068.586029308592	1011.8840244672564	1265.083744138844	1265.083744138844	Cap Off	CCCC	171
1088.698436768152	1019.7749385403108	1263.978189527118	1263.978189527118	Cap Off	CCCC	171
1051.6252510788563	925.8432677462594	1266.2385841667783	1266.2385841667783	Apply Tip	CCCC	171
1018.1917089607604	985.7006566886648	1237.3242778226006	1237.3242778226006	Apply Tip	CCCC	171
995.5553895272108	967.4579129707056	1222.5694206983032	1222.5694206983032	Apply Tip	CCCC	171
1002.4809418261274	950.837585396977	1206.6167449279617	1206.6167449279617	Apply Tip	CCCC	171
1022.0704125919558	993.5674385303414	1200.5541329033772	1200.5541329033772	Apply Tip	CCCC	171
1031.794572281341	1012.921043110994	1239.4076397641643	1239.4076397641643	Apply Tip	CCCC	171
1028.71738112702	1005.450806129368	1221.5229970550367	1221.5229970550367	Apply Tip	CCCC	171
1037.6591252782007	1007.0947078502766	1232.2396457739826	1232.2396457739826	Apply Tip	CCCC	171
1039.949191736872	1022.152505234478	1229.143185783547	1229.143185783547	Apply Tip	CCCC	171
1040.264724061127	1001.9053942474088	1223.2707432585255	1223.2707432585255	Apply Tip	CCCC	171
1048.6713896719968	1013.9279022589852	1230.7391085556092	1230.7391085556092	Apply Tip	CCCC	171
1054.5653985179065	1034.0438052002494	1238.125897986913	1238.125897986913	Apply Tip	CCCC	171
1038.4608703466715	1019.8292059774265	1222.434795793167	1222.434795793167	Apply Tip	CCCC	171
1015.0668308489512	1004.5536666796846	1207.8977910546475	1207.8977910546475	Apply Tip	CCCC	171
1020.4982098609348	1000.149295177669	1197.9474283070554	1197.9474283070554	Apply Tip	CCCC	171
1002.90527595436	985.0202932155778	1195.0429830121311	1195.0429830121311	Apply Tip	CCCC	171
