Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]	Event
680.0	870.0	190.0	925.0	562.0	Cap Off
1029.0	1109.0	80.0	999.0	519.0	Cap Off
1125.0	1345.0	220.0	991.0	479.0	Cap Off
1368.0	1628.0	260.0	985.0	464.0	Cap Off
1646.0	1736.0	90.0	984.0	490.0	Cap Off
1775.0	1875.0	100.0	904.0	536.0	Cap Off
1897.0	2027.0	130.0	891.0	572.0	Cap Off
2045.0	2275.0	230.0	845.0	590.0	Cap Off
2316.0	2556.0	240.0	902.0	596.0	Cap Off
2579.0	2999.0	420.0	924.0	581.0	Cap Off
3016.0	3266.0	250.0	881.0	559.0	Cap Off
3318.0	3398.0	80.0	804.0	526.0	Cap Off
3868.0	3958.0	90.0	1210.0	528.0	Cap Off
3995.0	4085.0	90.0	1195.0	546.0	Cap Off
4126.0	4216.0	90.0	1215.0	527.0	Cap Off
4367.0	4447.0	80.0	736.0	367.0	Apply Tip
4474.0	4704.0	230.0	752.0	529.0	Apply Tip
4817.0	4897.0	80.0	1273.0	494.0	Apply Tip
4935.0	5175.0	240.0	1183.0	468.0	Apply Tip
5342.0	5462.0	120.0	1079.0	430.0	Apply Tip
5706.0	6016.0	310.0	1076.0	432.0	Apply Tip
6296.0	6376.0	80.0	925.0	538.0	Apply Tip
6414.0	6484.0	70.0	953.0	534.0	Apply Tip
6541.0	6671.0	130.0	955.0	494.0	Apply Tip
6813.0	6923.0	110.0	953.0	445.0	Apply Tip
6944.0	8003.0	1059.0	950.0	441.0	Apply Tip
8212.0	8722.0	510.0	924.0	465.0	Apply Tip
8781.0	9291.0	510.0	932.0	477.0	Apply Tip
9335.0	9425.0	90.0	940.0	499.0	Apply Tip
9460.0	9980.0	520.0	941.0	490.0	Apply Tip
10030.0	10390.0	360.0	927.0	480.0	Apply Tip
10411.0	10511.0	100.0	914.0	474.0	Apply Tip
10554.0	10684.0	130.0	993.0	517.0	Apply Tip
10701.0	10811.0	110.0	974.0	496.0	Apply Tip
10833.0	11193.0	360.0	970.0	487.0	Apply Tip
11252.0	11342.0	90.0	978.0	469.0	Apply Tip
11401.0	11491.0	90.0	993.0	476.0	Apply Tip
11653.0	11893.0	240.0	921.0	695.0	Setting Units
12102.0	12212.0	110.0	895.0	619.0	Setting Units
12350.0	12570.0	220.0	910.0	608.0	Setting Units
12633.0	12743.0	110.0	938.0	600.0	Setting Units
12758.0	12838.0	80.0	946.0	584.0	Setting Units
12970.0	13180.0	210.0	937.0	564.0	Setting Units
13200.0	13290.0	90.0	946.0	548.0	Setting Units
13332.0	14261.0	929.0	925.0	541.0	Setting Units
14318.0	14668.0	350.0	919.0	540.0	Setting Units
14692.0	14782.0	90.0	955.0	552.0	Setting Units
14840.0	14920.0	80.0	640.0	440.0	Priming
14971.0	15081.0	110.0	767.0	437.0	Priming
15090.0	15330.0	240.0	819.0	390.0	Priming
15350.0	15420.0	70.0	856.0	385.0	Priming
15427.0	15667.0	240.0	903.0	394.0	Priming
15771.0	15941.0	170.0	905.0	386.0	Priming
16571.0	18340.0	1769.0	901.0	337.0	Priming
18409.0	18759.0	350.0	598.0	580.0	Priming
18777.0	19197.0	420.0	660.0	534.0	Priming
19216.0	19616.0	400.0	696.0	522.0	Priming
19637.0	20147.0	510.0	702.0	512.0	Priming
20185.0	20275.0	90.0	732.0	516.0	Priming
20445.0	20685.0	240.0	738.0	494.0	Priming
20898.0	20968.0	70.0	736.0	519.0	Priming
20985.0	21105.0	120.0	754.0	500.0	Priming
21185.0	21815.0	630.0	733.0	494.0	Priming
21837.0	21947.0	110.0	769.0	503.0	Priming
22157.0	22407.0	250.0	815.0	543.0	Priming
22457.0	22627.0	170.0	796.0	538.0	Priming
22677.0	22747.0	70.0	825.0	550.0	Priming
22763.0	22853.0	90.0	752.0	508.0	Priming
22897.0	23527.0	630.0	739.0	513.0	Priming
23584.0	25103.0	1519.0	790.0	519.0	Priming
25146.0	25326.0	180.0	740.0	515.0	Priming
25404.0	26683.0	1279.0	781.0	520.0	Priming
26934.0	27114.0	180.0	1113.0	513.0	Priming
27154.0	27424.0	270.0	1083.0	499.0	Priming
27491.0	27711.0	220.0	1000.0	743.0	Setting Units
27732.0	27972.0	240.0	973.0	686.0	Setting Units
28133.0	28293.0	160.0	970.0	634.0	Setting Units
28311.0	28581.0	270.0	965.0	612.0	Setting Units
28601.0	29191.0	590.0	954.0	599.0	Setting Units
29213.0	30063.0	850.0	948.0	574.0	Setting Units
30098.0	30688.0	590.0	951.0	562.0	Setting Units
30711.0	32660.0	1949.0	948.0	554.0	Setting Units
32981.0	33101.0	120.0	630.0	646.0	Injection
33300.0	33780.0	480.0	874.0	561.0	Injection
33817.0	33917.0	100.0	946.0	583.0	Injection
33931.0	34071.0	140.0	967.0	561.0	Injection
34079.0	34179.0	100.0	977.0	522.0	Injection
34257.0	34327.0	70.0	941.0	494.0	Injection
34349.0	35149.0	800.0	958.0	404.0	Injection
35197.0	35637.0	440.0	954.0	374.0	Injection
35766.0	36086.0	320.0	939.0	393.0	Injection
36269.0	36369.0	100.0	1011.0	36.0	Injection
36385.0	36505.0	120.0	1010.0	82.0	Injection
36519.0	36789.0	270.0	1024.0	148.0	Injection
36944.0	37374.0	430.0	969.0	245.0	Injection
37634.0	38144.0	510.0	1165.0	445.0	Injection
38195.0	38265.0	70.0	1096.0	425.0	Injection
38316.0	38396.0	80.0	1086.0	448.0	Injection
38417.0	38557.0	140.0	1058.0	469.0	Injection
38616.0	39076.0	460.0	1071.0	420.0	Injection
39117.0	39367.0	250.0	1050.0	433.0	Injection
39387.0	39477.0	90.0	1059.0	415.0	Injection
39537.0	39967.0	430.0	1050.0	417.0	Injection
40126.0	42195.0	2069.0	1032.0	419.0	Injection
42263.0	42663.0	400.0	703.0	623.0	Injection
42755.0	43694.0	939.0	740.0	563.0	Injection
43751.0	43931.0	180.0	1070.0	421.0	Injection
44015.0	44265.0	250.0	1069.0	407.0	Injection
44281.0	44581.0	300.0	1076.0	396.0	Injection
44600.0	45230.0	630.0	1066.0	410.0	Injection
46003.0	46902.0	899.0	1056.0	404.0	Injection
47250.0	47850.0	600.0	1034.0	411.0	Injection
47912.0	48082.0	170.0	666.0	633.0	Injection
48102.0	48312.0	210.0	736.0	569.0	Injection
48332.0	48862.0	530.0	779.0	571.0	Injection
48902.0	49062.0	160.0	816.0	556.0	Injection
49148.0	49328.0	180.0	828.0	551.0	Injection
49349.0	49429.0	80.0	790.0	547.0	Injection
49452.0	49522.0	70.0	803.0	552.0	Injection
49538.0	49678.0	140.0	899.0	536.0	Injection
49720.0	50110.0	390.0	889.0	498.0	Injection
50128.0	50218.0	90.0	870.0	510.0	Injection
50448.0	50528.0	80.0	1171.0	524.0	Remove Tip
50547.0	50657.0	110.0	1107.0	474.0	Remove Tip
50826.0	51076.0	250.0	1069.0	416.0	Remove Tip
51121.0	51231.0	110.0	1083.0	413.0	Remove Tip
51249.0	51499.0	250.0	1108.0	427.0	Remove Tip
51707.0	51887.0	180.0	759.0	477.0	Remove Tip
51930.0	52180.0	250.0	953.0	552.0	Remove Tip
52199.0	52309.0	110.0	1017.0	512.0	Remove Tip
52330.0	52410.0	80.0	1011.0	467.0	Remove Tip
52445.0	52745.0	300.0	980.0	410.0	Remove Tip
52768.0	53158.0	390.0	968.0	377.0	Remove Tip
53295.0	53555.0	260.0	980.0	365.0	Remove Tip
53596.0	53736.0	140.0	1027.0	429.0	Remove Tip
53757.0	54027.0	270.0	968.0	379.0	Remove Tip
54046.0	54496.0	450.0	967.0	390.0	Remove Tip
54555.0	55125.0	570.0	965.0	389.0	Remove Tip
55148.0	55298.0	150.0	981.0	397.0	Remove Tip
55314.0	55414.0	100.0	965.0	415.0	Remove Tip
55593.0	55813.0	220.0	949.0	402.0	Remove Tip
55834.0	56024.0	190.0	966.0	401.0	Remove Tip
56046.0	56246.0	200.0	953.0	388.0	Remove Tip
56267.0	57326.0	1059.0	936.0	385.0	Remove Tip
57417.0	57897.0	480.0	944.0	377.0	Remove Tip
58244.0	58514.0	270.0	1043.0	425.0	Remove Tip
58536.0	58926.0	390.0	1026.0	434.0	Remove Tip
59226.0	59316.0	90.0	1169.0	536.0	Cap On
59486.0	60016.0	530.0	984.0	513.0	Cap On
60095.0	60315.0	220.0	1077.0	526.0	Cap On
60351.0	60441.0	90.0	1035.0	473.0	Cap On
