Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]	Event
480.0	650.0	170	961.0	748.0	Cap Off
670.0	3109.0	2439	943.0	746.0	Cap Off
3168.0	3298.0	130	1292.0	822.0	Apply Tip
3348.0	3858.0	510	1073.0	692.0	Apply Tip
3928.0	4078.0	150	637.0	563.0	Apply Tip
4218.0	6407.0	2189	909.0	597.0	Apply Tip
6466.0	9384.0	2918	892.0	573.0	Apply Tip
9415.0	9665.0	250	745.0	591.0	Apply Tip
9674.0	10024.0	350	763.0	628.0	Apply Tip
10044.0	11113.0	1069	893.0	650.0	Setting Units
11134.0	12523.0	1389	867.0	640.0	Setting Units
12563.0	12843.0	280	703.0	587.0	Priming
12863.0	13143.0	280	775.0	570.0	Priming
13162.0	14071.0	909	846.0	497.0	Priming
14632.0	14792.0	160	590.0	600.0	Priming
14871.0	16080.0	1209	601.0	590.0	Priming
16471.0	16621.0	150	615.0	577.0	Priming
16630.0	17430.0	800	603.0	606.0	Priming
17440.0	18529.0	1089	589.0	626.0	Priming
18649.0	18799.0	150	628.0	569.0	Priming
18809.0	19039.0	230	633.0	564.0	Priming
19169.0	19279.0	110	629.0	572.0	Priming
19289.0	19399.0	110	624.0	580.0	Priming
19429.0	19789.0	360	634.0	583.0	Priming
19799.0	20718.0	919	617.0	594.0	Priming
20728.0	20878.0	150	636.0	586.0	Priming
20888.0	20998.0	110	634.0	580.0	Priming
21008.0	21158.0	150	635.0	575.0	Priming
21168.0	21398.0	230	632.0	576.0	Priming
21408.0	21598.0	190	602.0	593.0	Priming
21608.0	21918.0	310	625.0	573.0	Priming
21927.0	21997.0	70	635.0	569.0	Priming
22207.0	22357.0	150	620.0	579.0	Priming
22367.0	24316.0	1949	642.0	565.0	Priming
24576.0	24696.0	120	1170.0	727.0	Priming
24716.0	26225.0	1509	982.0	670.0	Setting Units
26265.0	26365.0	100	935.0	613.0	Setting Units
26405.0	27484.0	1079	958.0	622.0	Setting Units
27504.0	30033.0	2529	964.0	629.0	Setting Units
30123.0	30203.0	80	1186.0	638.0	Setting Units
30472.0	30612.0	140	812.0	769.0	Injection
30622.0	30962.0	340	941.0	725.0	Injection
31042.0	31402.0	360	1043.0	686.0	Injection
31422.0	31962.0	540	1037.0	660.0	Injection
31982.0	32642.0	660	1033.0	648.0	Injection
33401.0	33561.0	160	1116.0	305.0	Injection
33681.0	34441.0	760	1093.0	338.0	Injection
34620.0	34770.0	150	1105.0	335.0	Injection
34780.0	35999.0	1219	1072.0	394.0	Injection
36139.0	36369.0	230	1094.0	352.0	Injection
36499.0	37339.0	840	1057.0	391.0	Injection
37518.0	38148.0	630	1064.0	396.0	Injection
38158.0	38228.0	70	1072.0	405.0	Injection
38238.0	38358.0	120	1069.0	395.0	Injection
38618.0	38688.0	70	1068.0	544.0	Injection
38708.0	39598.0	890	1064.0	397.0	Injection
39917.0	41406.0	1489	1060.0	404.0	Injection
41676.0	42575.0	899	1052.0	398.0	Injection
42615.0	43095.0	480	1062.0	372.0	Injection
43115.0	43455.0	340	1054.0	389.0	Injection
43595.0	44165.0	570	1057.0	398.0	Injection
44175.0	44435.0	260	1006.0	473.0	Injection
44484.0	44744.0	260	993.0	742.0	Injection
44764.0	44864.0	100	989.0	759.0	Injection
45694.0	46094.0	400	1139.0	613.0	Remove Tip
46363.0	47043.0	680	923.0	618.0	Remove Tip
47103.0	47363.0	260	961.0	610.0	Remove Tip
47503.0	48582.0	1079	978.0	629.0	Remove Tip
48802.0	48882.0	80	974.0	639.0	Remove Tip
48902.0	49941.0	1039	984.0	663.0	Remove Tip
50121.0	50711.0	590	991.0	685.0	Remove Tip
50761.0	51161.0	400	1106.0	517.0	Cap On
51200.0	51410.0	210	935.0	637.0	Cap On
51470.0	52210.0	740	943.0	654.0	Cap On
52230.0	52730.0	500	936.0	657.0	Cap On
52750.0	53040.0	290	862.0	674.0	Cap On
53119.0	53259.0	140	696.0	691.0	Cap On
53449.0	53619.0	170	782.0	687.0	Cap On
53649.0	54009.0	360	900.0	648.0	Cap On
54039.0	54499.0	460	758.0	650.0	Cap On
54698.0	54948.0	250	747.0	675.0	Cap On
54978.0	55248.0	270	879.0	683.0	Cap On
