Wrist_L	Thumb_L	Index_L	Middle_L	Ring_L	Pinky_L	Time
0.0	0.0	0.0	0.0	0.0	0.0	0.04
0.0	0.0	0.0	0.0	0.0	0.0	0.08
0.0	0.0	0.0	0.0	0.0	0.0	0.12
0.0	0.0	0.0	0.0	0.0	0.0	0.16
2134.2589092527123	2134.2589092527123	2134.2589092527123	2134.2589092527123	2134.2589092527123	2134.2589092527123	0.2
2152.472160495199	2152.472160495199	2152.472160495199	2152.472160495199	2152.472160495199	2152.472160495199	0.24
2157.99246366871	2157.99246366871	2157.99246366871	2157.99246366871	2157.99246366871	2157.99246366871	0.28
2152.154365836253	2152.154365836253	2152.154365836253	2152.154365836253	2152.154365836253	2152.154365836253	0.32
2147.9745061337276	2147.9745061337276	2147.9745061337276	2147.9745061337276	2147.9745061337276	2147.9745061337276	0.36
2141.0199213713786	2141.0199213713786	2141.0199213713786	2141.0199213713786	2141.0199213713786	2141.0199213713786	0.4
2127.0671377083963	2127.0671377083963	2127.0671377083963	2127.0671377083963	2127.0671377083963	2127.0671377083963	0.44
2107.1991435566197	2107.1991435566197	2107.1991435566197	2107.1991435566197	2107.1991435566197	2107.1991435566197	0.48
2071.902998193942	2071.902998193942	2071.902998193942	2071.902998193942	2071.902998193942	2071.902998193942	0.52
2021.6358064689152	2021.6358064689152	2021.6358064689152	2021.6358064689152	2021.6358064689152	2021.6358064689152	0.56
1957.0281223040442	1957.0281223040442	1957.0281223040442	1957.0281223040442	1957.0281223040442	1957.0281223040442	0.6
1879.1542569788257	1879.1542569788257	1879.1542569788257	1879.1542569788257	1879.1542569788257	1879.1542569788257	0.64
1798.8269721955335	1798.8269721955335	1798.8269721955335	1798.8269721955335	1798.8269721955335	1798.8269721955335	0.68
1733.7821059516561	1733.7821059516561	1733.7821059516561	1733.7821059516561	1733.7821059516561	1733.7821059516561	0.72
1680.4655096227914	1680.4655096227914	1680.4655096227914	1680.4655096227914	1680.4655096227914	1680.4655096227914	0.76
1650.1188885008655	1650.1188885008655	1650.1188885008655	1650.1188885008655	1650.1188885008655	1650.1188885008655	0.8
1634.519965740758	1634.519965740758	1634.519965740758	1634.519965740758	1634.519965740758	1634.519965740758	0.84
1637.9685391248654	1637.9685391248654	1637.9685391248654	1637.9685391248654	1637.9685391248654	1637.9685391248654	0.88
1655.6987498174228	1655.6987498174228	1655.6987498174228	1655.6987498174228	1655.6987498174228	1655.6987498174228	0.92
1673.2311111141564	1673.2311111141564	1673.2311111141564	1673.2311111141564	1673.2311111141564	1673.2311111141564	0.96
1671.6394579015168	1671.6394579015168	1671.6394579015168	1671.6394579015168	1671.6394579015168	1671.6394579015168	1.0
1663.0094092310085	1663.0094092310085	1663.0094092310085	1663.0094092310085	1663.0094092310085	1663.0094092310085	1.04
1655.208283782075	1655.208283782075	1655.208283782075	1655.208283782075	1655.208283782075	1655.208283782075	1.08
1647.2607033434467	1647.2607033434467	1647.2607033434467	1647.2607033434467	1647.2607033434467	1647.2607033434467	1.12
1638.9109444966143	1638.9109444966143	1638.9109444966143	1638.9109444966143	1638.9109444966143	1638.9109444966143	1.16
1630.596251818021	1630.596251818021	1630.596251818021	1630.596251818021	1630.596251818021	1630.596251818021	1.2
1624.7471001811	1624.7471001811	1624.7471001811	1624.7471001811	1624.7471001811	1624.7471001811	1.24
1625.6044338079973	1625.6044338079973	1625.6044338079973	1625.6044338079973	1625.6044338079973	1625.6044338079973	1.28
1629.3148128259866	1629.3148128259866	1629.3148128259866	1629.3148128259866	1629.3148128259866	1629.3148128259866	1.32
1637.2939238383576	1637.2939238383576	1637.2939238383576	1637.2939238383576	1637.2939238383576	1637.2939238383576	1.36
1640.850440388749	1640.850440388749	1640.850440388749	1640.850440388749	1640.850440388749	1640.850440388749	1.4
1640.4412472098543	1640.4412472098543	1640.4412472098543	1640.4412472098543	1640.4412472098543	1640.4412472098543	1.44
1632.7642039208658	1632.7642039208658	1632.7642039208658	1632.7642039208658	1632.7642039208658	1632.7642039208658	1.48
1638.9260597566986	1638.9260597566986	1638.9260597566986	1638.9260597566986	1638.9260597566986	1638.9260597566986	1.52
1651.561767613036	1651.561767613036	1651.561767613036	1651.561767613036	1651.561767613036	1651.561767613036	1.56
1662.4236821774725	1662.4236821774725	1662.4236821774725	1662.4236821774725	1662.4236821774725	1662.4236821774725	1.6
1672.8787422308324	1672.8787422308324	1672.8787422308324	1672.8787422308324	1672.8787422308324	1672.8787422308324	1.64
1694.583480571092	1694.583480571092	1694.583480571092	1694.583480571092	1694.583480571092	1694.583480571092	1.68
1721.0357799976152	1721.0357799976152	1721.0357799976152	1721.0357799976152	1721.0357799976152	1721.0357799976152	1.72
1744.5190623162885	1744.5190623162885	1744.5190623162885	1744.5190623162885	1744.5190623162885	1744.5190623162885	1.76
1765.8896448999933	1765.8896448999933	1765.8896448999933	1765.8896448999933	1765.8896448999933	1765.8896448999933	1.8
1788.0705930807808	1788.0705930807808	1788.0705930807808	1788.0705930807808	1788.0705930807808	1788.0705930807808	1.84
1827.6066126161288	1827.6066126161288	1827.6066126161288	1827.6066126161288	1827.6066126161288	1827.6066126161288	1.88
1882.7077630179442	1882.7077630179442	1882.7077630179442	1882.7077630179442	1882.7077630179442	1882.7077630179442	1.92
1939.81536086304	1939.81536086304	1939.81536086304	1939.81536086304	1939.81536086304	1939.81536086304	1.96
1981.5615136166386	1981.5615136166386	1981.5615136166386	1981.5615136166386	1981.5615136166386	1981.5615136166386	2.0
2014.845341601958	2014.845341601958	2014.845341601958	2014.845341601958	2014.845341601958	2014.845341601958	2.04
2049.302161816128	2049.302161816128	2049.302161816128	2049.302161816128	2049.302161816128	2049.302161816128	2.08
2063.473988165382	2063.473988165382	2063.473988165382	2063.473988165382	2063.473988165382	2063.473988165382	2.12
2068.8777453306375	2068.8777453306375	2068.8777453306375	2068.8777453306375	2068.8777453306375	2068.8777453306375	2.16
2060.803426107726	2060.803426107726	2060.803426107726	2060.803426107726	2060.803426107726	2060.803426107726	2.2
2030.5308573716206	2030.5308573716206	2030.5308573716206	2030.5308573716206	2030.5308573716206	2030.5308573716206	2.24
2008.7220319062415	2008.7220319062415	2008.7220319062415	2008.7220319062415	2008.7220319062415	2008.7220319062415	2.28
1974.6476576317075	1974.6476576317075	1974.6476576317075	1974.6476576317075	1974.6476576317075	1974.6476576317075	2.32
1933.6507727025348	1933.6507727025348	1933.6507727025348	1933.6507727025348	1933.6507727025348	1933.6507727025348	2.36
1893.7929873765663	1893.7929873765663	1893.7929873765663	1893.7929873765663	1893.7929873765663	1893.7929873765663	2.4
1854.0969042307397	1854.0969042307397	1854.0969042307397	1854.0969042307397	1854.0969042307397	1854.0969042307397	2.44
1821.9736824145502	1821.9736824145502	1821.9736824145502	1821.9736824145502	1821.9736824145502	1821.9736824145502	2.48
1798.9615429623113	1798.9615429623113	1798.9615429623113	1798.9615429623113	1798.9615429623113	1798.9615429623113	2.52
1782.2369921790742	1782.2369921790742	1782.2369921790742	1782.2369921790742	1782.2369921790742	1782.2369921790742	2.56
1760.4667569025949	1760.4667569025949	1760.4667569025949	1760.4667569025949	1760.4667569025949	1760.4667569025949	2.6
1759.8774328912143	1759.8774328912143	1759.8774328912143	1759.8774328912143	1759.8774328912143	1759.8774328912143	2.64
1758.6669450860618	1758.6669450860618	1758.6669450860618	1758.6669450860618	1758.6669450860618	1758.6669450860618	2.68
1754.1109015994916	1754.1109015994916	1754.1109015994916	1754.1109015994916	1754.1109015994916	1754.1109015994916	2.72
1743.7250339711534	1743.7250339711534	1743.7250339711534	1743.7250339711534	1743.7250339711534	1743.7250339711534	2.76
1738.036770663985	1738.036770663985	1738.036770663985	1738.036770663985	1738.036770663985	1738.036770663985	2.8
1721.7522797336997	1721.7522797336997	1721.7522797336997	1721.7522797336997	1721.7522797336997	1721.7522797336997	2.84
1710.9672013036773	1710.9672013036773	1710.9672013036773	1710.9672013036773	1710.9672013036773	1710.9672013036773	2.88
1724.7901645411846	1724.7901645411846	1724.7901645411846	1724.7901645411846	1724.7901645411846	1724.7901645411846	2.92
1728.7707341342966	1728.7707341342966	1728.7707341342966	1728.7707341342966	1728.7707341342966	1728.7707341342966	2.96
1739.9370276882928	1739.9370276882928	1739.9370276882928	1739.9370276882928	1739.9370276882928	1739.9370276882928	3.0
1738.8418347223917	1738.8418347223917	1738.8418347223917	1738.8418347223917	1738.8418347223917	1738.8418347223917	3.04
1756.7504978504512	1756.7504978504512	1756.7504978504512	1756.7504978504512	1756.7504978504512	1756.7504978504512	3.08
1771.8273753956819	1771.8273753956819	1771.8273753956819	1771.8273753956819	1771.8273753956819	1771.8273753956819	3.12
1795.5902928659543	1795.5902928659543	1795.5902928659543	1795.5902928659543	1795.5902928659543	1795.5902928659543	3.16
1819.4116114439262	1819.4116114439262	1819.4116114439262	1819.4116114439262	1819.4116114439262	1819.4116114439262	3.2
1851.950180100227	1851.950180100227	1851.950180100227	1851.950180100227	1851.950180100227	1851.950180100227	3.24
1898.0307885340856	1898.0307885340856	1898.0307885340856	1898.0307885340856	1898.0307885340856	1898.0307885340856	3.28
1941.653953784732	1941.653953784732	1941.653953784732	1941.653953784732	1941.653953784732	1941.653953784732	3.32
1992.502044946837	1992.502044946837	1992.502044946837	1992.502044946837	1992.502044946837	1992.502044946837	3.36
2020.9982443909794	2020.9982443909794	2020.9982443909794	2020.9982443909794	2020.9982443909794	2020.9982443909794	3.4
2048.133848266155	2048.133848266155	2048.133848266155	2048.133848266155	2048.133848266155	2048.133848266155	3.44
2061.7630099105195	2061.7630099105195	2061.7630099105195	2061.7630099105195	2061.7630099105195	2061.7630099105195	3.48
2084.595582083433	2084.595582083433	2084.595582083433	2084.595582083433	2084.595582083433	2084.595582083433	3.52
2091.32992928107	2091.32992928107	2091.32992928107	2091.32992928107	2091.32992928107	2091.32992928107	3.56
2064.8760553490765	2064.8760553490765	2064.8760553490765	2064.8760553490765	2064.8760553490765	2064.8760553490765	3.6
2040.8125978157034	2040.8125978157034	2040.8125978157034	2040.8125978157034	2040.8125978157034	2040.8125978157034	3.64
2022.7477646656328	2022.7477646656328	2022.7477646656328	2022.7477646656328	2022.7477646656328	2022.7477646656328	3.68
1989.7949471769946	1989.7949471769946	1989.7949471769946	1989.7949471769946	1989.7949471769946	1989.7949471769946	3.72
