Thumb_L	Index_L	Time
0.0	0.0	0.04
0.0	0.0	0.08
0.0	0.0	0.12
0.0	0.0	0.16
1139.0691777451898	1058.0063296721992	0.2
1132.6152174826682	1060.029973069184	0.24
1134.5692437692094	1060.0379386032873	0.28
1131.4617010254829	1058.394539569848	0.32
1128.1871674537022	1054.6071265202204	0.36
1123.1196423180438	1047.8714169813472	0.4
1116.813878817727	1041.0046091033182	0.44
1107.7901684320589	1027.7830471309114	0.48
1093.601406636397	1013.8742492893936	0.52
1081.546922277441	1000.1408211921384	0.56
1067.637758011734	990.0098680155505	0.6
1051.6996670180642	973.0195868070984	0.64
1039.9001489206	963.3763680972253	0.68
1029.8191292278843	960.0429322846983	0.72
1027.312377854044	956.7764450211384	0.76
1029.6246747616392	956.3887514366031	0.8
1031.6593637062615	958.5611079729181	0.84
1036.3625883145767	961.7874156961525	0.88
1039.9571595482955	965.0848463184766	0.92
1040.1919767231634	970.9180112645614	0.96
1030.901692687912	962.449230670108	1.0
1023.1304890284777	950.5835277976983	1.04
1012.2979210729537	939.5123231696766	1.08
1003.7608835031617	934.5146426742701	1.12
999.8131610753226	929.854411005953	1.16
997.6303270293139	925.7011376138013	1.2
996.9043188754852	923.1570570852743	1.24
995.0124440557123	921.774559391427	1.28
995.4982084122151	921.0390759716643	1.32
999.1194544925557	923.6356381346303	1.36
1002.2671761357241	925.7744226482678	1.4
1006.1669153637863	929.2592684805372	1.44
1011.0392818291575	933.7104841890259	1.48
1019.449617370922	940.7106862211332	1.52
1030.268006752771	949.4004050803478	1.56
1040.1602015755718	963.2569440568798	1.6
1041.9717231064706	976.4490851870961	1.64
1055.4889176113627	985.8754139958024	1.68
1071.1201236870136	988.3728232266933	1.72
1074.4570539409524	988.5097277291214	1.76
1080.5769468329383	999.3181219792285	1.8
1069.8756906622366	1003.65748559503	1.84
1054.41857609613	1009.907312032094	1.88
1034.4409142402437	1025.987843971388	1.92
1041.8160978535993	1042.0155317794297	1.96
1035.1742323066408	1041.8733709798921	2.0
1048.740867358727	1052.0853465339828	2.04
1051.1883051902887	1067.4051826579114	2.08
