Thumb_L	Index_L	Action
0.0	0.0	Cap Off
1311.8458091861564	1311.8458091861564	Cap Off
1140.815278656792	1140.815278656792	Cap Off
1130.7760240969499	1130.7760240969499	Cap Off
1114.1942087867483	1114.1942087867483	Cap Off
1132.7115759688309	1132.7115759688309	Cap Off
1164.8295587584646	1164.8295587584646	Cap Off
1222.6903818172798	1222.6903818172798	Cap Off
1214.4415529783853	1214.4415529783853	Cap Off
1179.596127033708	1179.596127033708	Cap Off
920.6779481859924	923.2636067472206	Cap Off
1011.0285099655125	955.6798571208298	Cap Off
1044.644638401948	937.7619479593322	Cap Off
1023.4758917143789	947.6301100599175	Cap Off
1009.06155661745	968.4137400822328	Cap Off
981.7365551362822	951.570942551827	Cap Off
871.3777753131513	823.3773738862262	Cap Off
845.6362522883645	796.3266895272906	Cap Off
856.2287856039526	813.726495033246	Cap Off
868.9060865071177	828.0278549665736	Cap Off
883.748364235448	844.6904989755576	Cap Off
869.3409089633569	835.775321029674	Apply Tip
851.5076497138098	816.0394390973312	Apply Tip
856.0452456981383	814.3111730550326	Apply Tip
856.8651898605731	827.5592336655366	Apply Tip
854.1138975010862	823.9257332297947	Apply Tip
843.7914043302824	814.3011552036548	Apply Tip
844.2992794855056	820.4955535627803	Apply Tip
855.4503186931297	826.4454128903881	Apply Tip
854.9456816814914	825.466842164164	Apply Tip
877.3742124213256	848.8422558211181	Apply Tip
855.9390192878178	846.6566405031324	Apply Tip
847.8103359773222	830.2637679282494	Apply Tip
839.5856351728211	818.9430828563796	Apply Tip
848.7465125495464	824.2245592254686	Apply Tip
853.4937005851762	831.9471420610748	Apply Tip
838.8536440296483	800.5288286117614	Apply Tip
824.0863005744678	789.4556274496255	Apply Tip
814.8173340276367	766.0484822083633	Apply Tip
742.2731938331469	730.3826738923029	Apply Tip
785.6039661099319	760.4392952389052	Apply Tip
966.7731488936307	891.049969401094	Apply Tip
990.421316207265	937.722314816329	Apply Tip
1002.068156417723	986.6483013576844	Apply Tip
987.3957922912809	970.4116351712694	Apply Tip
916.4287127015323	923.8577827294603	Setting Units
903.7538490786253	922.3723373310665	Setting Units
904.6602319256708	913.05938947914	Setting Units
907.0278639577785	919.1625867236083	Setting Units
905.94724588459	926.9522111376051	Setting Units
970.0300795591517	1012.3963960298535	Setting Units
1018.4831322864147	1071.1721570475888	Setting Units
944.355151735164	1004.5973675918267	Priming
937.0103927536601	1004.9160371747495	Priming
937.0838411958217	1005.1904647914893	Priming
938.1822089592257	1002.8229804643676	Priming
940.859001207436	1006.9662716074816	Priming
942.7848138835428	1007.3333570787696	Priming
943.4126097679806	1009.7783912971697	Priming
945.0145939334667	1008.8316649333615	Priming
944.5166872597879	1008.3391583507805	Priming
1201.3987198626114	1261.3455016541307	Priming
173.11417117868098	178.20264378315034	Priming
0.0	0.0	Priming
0.0	0.0	Priming
0.0	0.0	Priming
0.0	0.0	Priming
0.0	0.0	Priming
0.0	0.0	Priming
0.0	0.0	Priming
0.0	0.0	Priming
0.0	0.0	Priming
0.0	0.0	Priming
0.0	0.0	Priming
0.0	0.0	Priming
0.0	0.0	Priming
0.0	0.0	Priming
0.0	0.0	Priming
0.0	0.0	Priming
0.0	0.0	Priming
0.0	0.0	Priming
0.0	0.0	Priming
0.0	0.0	Priming
343.85869313830705	343.85869313830705	Priming
