Thumb_L	Index_L	Time
0.0	0.0	0.04
0.0	0.0	0.08
0.0	0.0	0.12
0.0	0.0	0.16
0.0	0.0	0.2
0.0	0.0	0.24
0.0	0.0	0.28
0.0	0.0	0.32
0.0	0.0	0.36
0.0	0.0	0.4
0.0	0.0	0.44
0.0	0.0	0.48
0.0	0.0	0.52
0.0	0.0	0.56
0.0	0.0	0.6
0.0	0.0	0.64
0.0	0.0	0.68
0.0	0.0	0.72
0.0	0.0	0.76
0.0	0.0	0.8
0.0	0.0	0.84
0.0	0.0	0.88
0.0	0.0	0.92
0.0	0.0	0.96
0.0	0.0	1.0
0.0	0.0	1.04
0.0	0.0	1.08
0.0	0.0	1.12
0.0	0.0	1.16
0.0	0.0	1.2
0.0	0.0	1.24
0.0	0.0	1.28
0.0	0.0	1.32
0.0	0.0	1.36
0.0	0.0	1.4
0.0	0.0	1.44
0.0	0.0	1.48
0.0	0.0	1.52
0.0	0.0	1.56
0.0	0.0	1.6
0.0	0.0	1.64
0.0	0.0	1.68
0.0	0.0	1.72
0.0	0.0	1.76
1641.4502567433965	1641.4502567433965	1.8
1548.4356460649758	1548.4356460649758	1.84
1465.1085323144537	1465.1085323144537	1.88
1393.9452453394974	1393.9452453394974	1.92
1331.4952190330503	1331.4952190330503	1.96
1281.5949856830402	1281.5949856830402	2.0
1241.150151975498	1241.150151975498	2.04
1203.9710569435513	1203.9710569435513	2.08
1173.769846514518	1173.769846514518	2.12
1149.8336990525804	1149.8336990525804	2.16
1138.4428536843336	1138.4428536843336	2.2
1127.0374268197274	1127.0374268197274	2.24
1127.3428684970013	1127.3428684970013	2.28
1130.397963109506	1130.397963109506	2.32
1123.20236088875	1123.20236088875	2.36
1116.4592605143487	1116.4592605143487	2.4
1106.7352821531658	1106.7352821531658	2.44
1102.8746442031802	1102.8746442031802	2.48
1102.9548970532765	1102.9548970532765	2.52
1106.0999192970496	1106.0999192970496	2.56
1110.4081347767237	1110.4081347767237	2.6
1119.4043403967703	1119.4043403967703	2.64
1126.61241078983	1126.61241078983	2.68
1124.4299123623305	1124.4299123623305	2.72
