Thumb_L	Index_L	Action
1234.254040573699	1228.6930756495724	Cap Off
1188.475082221935	1188.475082221935	Cap Off
1278.4376407888842	1278.4376407888842	Cap Off
1272.6838797543828	1272.6838797543828	Cap Off
1309.7879975464778	1127.65416034443	Cap Off
1294.5660352000782	1100.7854805927168	Cap Off
1228.5484937315161	1172.1076224194367	Cap Off
1226.2209992666765	1157.7956732841833	Cap Off
1243.4602254362107	1158.5987754961468	Cap Off
1243.6494076448591	1156.237601382857	Cap Off
1225.3712965629304	1154.0752589745246	Cap Off
1149.2514537893521	1086.924204054976	Cap Off
1166.1027472218889	1105.9816042507725	Cap Off
1235.9272948694586	1216.9845728213593	Cap Off
1800.6349116686717	1800.6349116686717	Cap Off
1233.8658427617472	1233.8658427617472	Cap Off
1234.254040573699	1228.6930756495724	Cap Off
1234.254040573699	1228.6930756495724	Cap Off
1487.9265041181793	1487.9265041181793	Apply Tip
1632.6870917178323	1632.6870917178323	Apply Tip
1418.857458774819	1418.857458774819	Apply Tip
1367.3107409417667	1367.3107409417667	Apply Tip
1303.5987409870113	1303.5987409870113	Apply Tip
1292.2037680743608	1292.2037680743608	Apply Tip
1285.1869990857822	1285.1869990857822	Apply Tip
1286.3214780815051	1286.3214780815051	Apply Tip
1255.4485213090886	1255.4485213090886	Apply Tip
1230.0360948754317	1230.0360948754317	Apply Tip
1242.6974210747528	1242.6974210747528	Apply Tip
1253.6293815144725	1253.6293815144725	Apply Tip
1261.5297252195085	1261.5297252195085	Apply Tip
1224.1844835001853	1224.1844835001853	Apply Tip
1323.537322919605	1323.537322919605	Apply Tip
1220.7312888566967	1220.7312888566967	Apply Tip
1234.6422383856507	1234.6422383856507	Apply Tip
1241.332171931848	1241.332171931848	Apply Tip
1206.1453513880433	1206.1453513880433	Apply Tip
1230.4935146445107	1230.4935146445107	Apply Tip
1222.7631346143064	1222.7631346143064	Apply Tip
1236.1779988823175	1236.1779988823175	Setting Units
1225.7617832331734	1225.7617832331734	Setting Units
1210.9450745057238	1210.9450745057238	Setting Units
1214.9625218613655	1214.9625218613655	Setting Units
1472.3702704027412	1472.3702704027412	Priming
1234.254040573699	1228.6930756495724	Priming
1234.254040573699	1228.6930756495724	Priming
1234.254040573699	1228.6930756495724	Priming
1234.254040573699	1228.6930756495724	Priming
1234.254040573699	1228.6930756495724	Priming
1234.254040573699	1228.6930756495724	Priming
756.1927852974064	756.1927852974064	Priming
1303.0666206147982	1303.0666206147982	Priming
1263.9812262499834	1263.9812262499834	Priming
1532.0119625851112	1532.0119625851112	Priming
1599.836886226608	1599.836886226608	Priming
1584.9590444705295	1584.9590444705295	Priming
1611.6127504921758	1611.6127504921758	Priming
