Wrist_R	Thumb_R	Index_R	Middle_R	Ring_R	Pinky_R	Wrist_L	Thumb_L	Index_L	Middle_L	Ring_L	Pinky_L	Time
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2
0.0	0.0	0.0	0.0	0.0	0.0	2309.8959302150574	2309.8959302150574	2309.8959302150574	2309.8959302150574	2309.8959302150574	2309.8959302150574	0.24
0.0	0.0	0.0	0.0	0.0	0.0	2325.7261153034106	2325.7261153034106	2325.7261153034106	2325.7261153034106	2325.7261153034106	2325.7261153034106	0.28
0.0	0.0	0.0	0.0	0.0	0.0	2326.4046759505077	2326.4046759505077	2326.4046759505077	2326.4046759505077	2326.4046759505077	2326.4046759505077	0.32
0.0	0.0	0.0	0.0	0.0	0.0	2328.290747155664	2328.290747155664	2328.290747155664	2328.290747155664	2328.290747155664	2328.290747155664	0.36
0.0	0.0	0.0	0.0	0.0	0.0	2325.682330856819	2325.682330856819	2325.682330856819	2325.682330856819	2325.682330856819	2325.682330856819	0.4
0.0	0.0	0.0	0.0	0.0	0.0	2325.4589647243993	2325.4589647243993	2325.4589647243993	2325.4589647243993	2325.4589647243993	2325.4589647243993	0.44
0.0	0.0	0.0	0.0	0.0	0.0	2327.7780732529454	2327.7780732529454	2327.7780732529454	2327.7780732529454	2327.7780732529454	2327.7780732529454	0.48
0.0	0.0	0.0	0.0	0.0	0.0	2328.7097767203413	2328.7097767203413	2328.7097767203413	2328.7097767203413	2328.7097767203413	2328.7097767203413	0.52
0.0	0.0	0.0	0.0	0.0	0.0	2327.9791532968457	2327.9791532968457	2327.9791532968457	2327.9791532968457	2327.9791532968457	2327.9791532968457	0.56
0.0	0.0	0.0	0.0	0.0	0.0	2331.130569367993	2331.130569367993	2331.130569367993	2331.130569367993	2331.130569367993	2331.130569367993	0.6
0.0	0.0	0.0	0.0	0.0	0.0	2332.402254730885	2332.402254730885	2332.402254730885	2332.402254730885	2332.402254730885	2332.402254730885	0.64
0.0	0.0	0.0	0.0	0.0	0.0	2331.936592589951	2331.936592589951	2331.936592589951	2331.936592589951	2331.936592589951	2331.936592589951	0.68
0.0	0.0	0.0	0.0	0.0	0.0	2312.432668141662	2312.432668141662	2312.432668141662	2312.432668141662	2312.432668141662	2312.432668141662	0.72
0.0	0.0	0.0	0.0	0.0	0.0	2292.5436937232525	2292.5436937232525	2292.5436937232525	2292.5436937232525	2292.5436937232525	2292.5436937232525	0.76
0.0	0.0	0.0	0.0	0.0	0.0	2244.5603966925296	2244.5603966925296	2244.5603966925296	2244.5603966925296	2244.5603966925296	2244.5603966925296	0.8
0.0	0.0	0.0	0.0	0.0	0.0	2168.4194163306256	2168.4194163306256	2168.4194163306256	2168.4194163306256	2168.4194163306256	2168.4194163306256	0.84
0.0	0.0	0.0	0.0	0.0	0.0	2092.8676162141837	2092.8676162141837	2092.8676162141837	2092.8676162141837	2092.8676162141837	2092.8676162141837	0.88
0.0	0.0	0.0	0.0	0.0	0.0	2010.299566647777	2010.299566647777	2010.299566647777	2010.299566647777	2010.299566647777	2010.299566647777	0.92
0.0	0.0	0.0	0.0	0.0	0.0	1927.4388695476327	1927.4388695476327	1927.4388695476327	1927.4388695476327	1927.4388695476327	1927.4388695476327	0.96
