Thumb_R	Index_R	Thumb_L	Index_L	Time
0.0	0.0	0.0	0.0	0.04
0.0	0.0	0.0	0.0	0.08
0.0	0.0	0.0	0.0	0.12
0.0	0.0	0.0	0.0	0.16
791.3811721737034	791.3811721737034	0.0	0.0	0.2
799.8831820039269	799.8831820039269	0.0	0.0	0.24
798.0998367093075	798.0998367093075	0.0	0.0	0.28
806.2419523506192	806.2419523506192	0.0	0.0	0.32
812.1123092074957	812.1123092074957	0.0	0.0	0.36
821.5700401569142	821.5700401569142	0.0	0.0	0.4
830.9504995594864	830.9504995594864	0.0	0.0	0.44
837.037157999257	837.037157999257	0.0	0.0	0.48
834.0396820367864	834.0396820367864	0.0	0.0	0.52
827.3443545995777	827.3443545995777	0.0	0.0	0.56
796.127018474941	796.127018474941	0.0	0.0	0.6
747.9771912659721	747.9771912659721	0.0	0.0	0.64
652.9170642600003	652.9170642600003	0.0	0.0	0.68
526.4288726532756	526.4288726532756	0.0	0.0	0.72
421.226684978259	421.226684978259	0.0	0.0	0.76
351.3727027661596	351.3727027661596	0.0	0.0	0.8
302.39002438844267	302.39002438844267	0.0	0.0	0.84
0.0	0.0	0.0	0.0	0.88
0.0	0.0	0.0	0.0	0.92
0.0	0.0	0.0	0.0	0.96
0.0	0.0	0.0	0.0	1.0
0.0	0.0	0.0	0.0	1.04
0.0	0.0	0.0	0.0	1.08
0.0	0.0	0.0	0.0	1.12
0.0	0.0	0.0	0.0	1.16
0.0	0.0	0.0	0.0	1.2
0.0	0.0	0.0	0.0	1.24
0.0	0.0	0.0	0.0	1.28
0.0	0.0	0.0	0.0	1.32
0.0	0.0	0.0	0.0	1.36
0.0	0.0	0.0	0.0	1.4
0.0	0.0	0.0	0.0	1.44
0.0	0.0	0.0	0.0	1.48
0.0	0.0	0.0	0.0	1.52
0.0	0.0	0.0	0.0	1.56
0.0	0.0	0.0	0.0	1.6
0.0	0.0	0.0	0.0	1.64
0.0	0.0	0.0	0.0	1.68
846.6077867799195	846.6077867799195	0.0	0.0	1.72
896.095852925838	896.095852925838	0.0	0.0	1.76
922.0178702825848	798.6563852414912	1641.4502567433965	1641.4502567433965	1.8
951.1572153752392	810.7259260779659	1548.4356460649758	1548.4356460649758	1.84
974.1637225211704	826.7703526702611	1465.1085323144537	1465.1085323144537	1.88
988.2699232960551	860.1194290016947	1393.9452453394974	1393.9452453394974	1.92
1021.286098081468	895.5974356900264	1331.4952190330503	1331.4952190330503	1.96
1040.024489807699	921.1561413803411	1281.5949856830402	1281.5949856830402	2.0
1065.924938915071	946.4216631822767	1241.150151975498	1241.150151975498	2.04
1080.603963433112	967.8930342397279	1203.9710569435513	1203.9710569435513	2.08
1091.889225005897	977.1447913092353	1173.769846514518	1173.769846514518	2.12
1091.4893633721415	986.7589893058855	1149.8336990525804	1149.8336990525804	2.16
1074.1209404821702	994.4555752353693	1138.4428536843336	1138.4428536843336	2.2
1062.9948181892753	1008.3427653696932	1127.0374268197274	1127.0374268197274	2.24
1050.3033219347035	1000.1672220214297	1127.3428684970013	1127.3428684970013	2.28
1042.1825993355735	989.34344231909	1130.397963109506	1130.397963109506	2.32
1039.6267340101942	987.1863870669275	1123.20236088875	1123.20236088875	2.36
1026.5379592771826	978.6284032787506	1116.4592605143487	1116.4592605143487	2.4
1020.3851695604584	985.5964024661102	1106.7352821531658	1106.7352821531658	2.44
1028.6770507906729	967.7790867706733	1102.8746442031802	1102.8746442031802	2.48
1043.7102973496085	965.2656915618592	1102.9548970532765	1102.9548970532765	2.52
1043.9348657379005	971.5831398840003	1106.0999192970496	1106.0999192970496	2.56
1026.8411048746257	975.9069525266942	1110.4081347767237	1110.4081347767237	2.6
1015.7962602200948	981.7022313130443	1119.4043403967703	1119.4043403967703	2.64
1013.381170364684	1000.6248176354328	1126.61241078983	1126.61241078983	2.68
1016.6998354057447	981.4169715846548	1124.4299123623305	1124.4299123623305	2.72
1019.1975426293795	996.564384521964	1124.1477534647975	1124.1477534647975	2.76
1018.1695151004184	982.2814860215485	1120.828209112261	1120.828209112261	2.8
1015.9346073546347	994.8762138731217	1122.8182354428425	1122.8182354428425	2.84
1014.5418387241367	983.4409372825547	1122.6521882990237	1122.6521882990237	2.88
1008.242684410785	1002.7446528693624	1122.469680507007	1122.469680507007	2.92
1009.2960387509055	980.9661769984853	1120.36398480383	1120.36398480383	2.96
1002.3481312445805	993.3874892684544	1118.5591144783107	1118.5591144783107	3.0
1002.9088957679872	990.6508246384053	1116.3356630221126	1116.3356630221126	3.04
1003.0567462119203	984.8760135498394	1117.0687100914688	1117.0687100914688	3.08
1004.374949336915	987.923513324381	1118.4123134853044	1118.4123134853044	3.12
1002.9546591599664	993.248318121393	1117.6430070828164	1117.6430070828164	3.16
1002.6279021056627	993.1584245680183	1119.7203801633232	1119.7203801633232	3.2
995.8795143536576	989.4837332549193	1123.4568596237468	1123.4568596237468	3.24
964.579857561854	970.7888665462582	1150.0797605488256	1150.0797605488256	3.28
915.3454470449626	922.0933219568626	1196.216574728885	1196.216574728885	3.32
893.6031330086072	883.3846030231745	1236.0011075352027	1236.0011075352027	3.36
894.7292687846759	882.2743152777291	1267.1300874470644	1267.1300874470644	3.4
912.6255073137341	899.253521530339	1276.6490867845216	1276.6490867845216	3.44
916.7209887334566	900.5736993693572	1272.3113273978051	1272.3113273978051	3.48
917.3421155230697	905.6477467779298	1269.8938366983327	1269.8938366983327	3.52
915.9468661281073	900.2821319063803	1273.3578484912466	1273.3578484912466	3.56
915.1173191881763	890.5685651066012	1287.5261900352955	1287.5261900352955	3.6
918.8314825624757	904.2453448586712	1298.624495072035	1298.624495072035	3.64
920.5718886436914	908.1445679870278	1307.3318606212972	1307.3318606212972	3.68
920.4061179385129	913.9711067008807	1313.72134668998	1313.72134668998	3.72
924.3286807925979	911.4647713720143	1340.7427808375496	1340.7427808375496	3.76
928.0560255561702	910.2212917793541	1367.598134424679	1367.598134424679	3.8
932.7712047222917	915.3477533579701	1395.4382736889638	1395.4382736889638	3.84
937.8627368428487	923.6395999858904	1423.97601988323	1423.97601988323	3.88
941.2036020438042	934.6830600488885	1448.1235953703683	1448.1235953703683	3.92
947.4391474136763	932.881180506237	1463.5022135886607	1463.5022135886607	3.96
951.0089123460069	930.8579238592876	1480.7881063901375	1480.7881063901375	4.0
954.8774017438909	939.1013203226946	1491.3748685815126	1491.3748685815126	4.04
961.5135419587575	948.8265154319994	1511.299309022284	1511.299309022284	4.08
969.6434985525011	960.8514503521345	1526.9753805973323	1526.9753805973323	4.12
975.00481237578	966.0674667403966	1538.4246582726964	1538.4246582726964	4.16
978.0574462569848	965.6850554653174	1550.3887430019752	1550.3887430019752	4.2
981.6556321111623	967.4401179994599	1557.80391873884	1557.80391873884	4.24
985.6764792066778	976.2607360090724	1567.2580525062262	1567.2580525062262	4.28
989.4255370753248	983.4893105402724	1571.0152680354186	1571.0152680354186	4.32
993.40559901449	978.8741843318282	1569.3914618325186	1569.3914618325186	4.36
995.1022166664361	977.4032420651123	1566.53334045017	1566.53334045017	4.4
996.5992659594885	978.4859824768293	1563.0648345270006	1563.0648345270006	4.44
992.3446050706058	964.9224905118332	1557.577464985395	1557.577464985395	4.48
987.7426535501785	966.2458065706544	1548.0277103681603	1548.0277103681603	4.52
987.7603037476803	963.3408720952505	1543.429731205699	1543.429731205699	4.56
986.5962690894016	970.5778262682344	1551.4437613729315	1551.4437613729315	4.6
984.0626388439018	962.004399948789	1556.8380841723729	1556.8380841723729	4.64
983.6912129756752	970.8051487293086	1563.1636087013112	1563.1636087013112	4.68
981.4574814104286	962.2964186291556	1560.0821270735744	1560.0821270735744	4.72
977.8206614964147	956.4109014901939	1545.0363986805442	1545.0363986805442	4.76
976.7345263143552	960.7577544805682	1521.0054573608732	1521.0054573608732	4.8
973.299447554229	962.3688696566129	1496.0794398988403	1496.0794398988403	4.84
970.0059332855284	955.996211084787	1466.7740183141743	1466.7740183141743	4.88
967.7563448441589	959.0567344360935	1439.536320230499	1439.536320230499	4.92
963.3080987497482	954.1279060199132	1406.4947922505899	1406.4947922505899	4.96
958.4046389322956	941.2149768521472	1367.2494093212517	1367.2494093212517	5.0
948.6939495878335	930.6123936762322	1323.2597087634517	1323.2597087634517	5.04
