start_time	end_time	App	Cap	Gauge	Pad	Pen	Safety	Tip	Action	Thumb_R	Thumb_L	Index_R	Index_L
0.28	0.53	459.0	76.7	110.5	854.5	0.0	412.5	1600.0	Cap Off	1332.1891757554556	1332.1891757554556	1332.1891757554556	442.1296492553826
0.57	0.81	475.8	93.2	95.1	871.0	0.0	400.9	1600.0	Cap Off	1368.958728377156	1368.958728377156	1368.958728377156	469.69132405090875
0.828	1.108	477.2	93.4	95.3	867.2	0.0	403.1	1600.0	Cap Off	1384.51507756326	1384.51507756326	1384.51507756326	481.72234588402364
1.244	1.374	411.9	26.0	161.0	806.8	0.0	438.2	1600.0	Cap Off	1322.2896808188439	1322.2896808188439	1322.2896808188439	434.941954728171
1.398	1.498	401.5	25.0	157.3	785.6	0.0	436.0	1600.0	Cap Off	1336.431816442575	642.3854967817578	1336.431816442575	656.6678866256343
1.559	1.629	378.1	17.3	1600.0	749.2	0.0	431.9	1600.0	Cap Off	1343.5028842544402	366.3456660610327	1343.5028842544402	409.1828104052242
1.645	1.755	361.6	4.0	1600.0	740.7	1.0	425.6	1600.0	Cap Off	1384.51507756326	297.27661111329127	1384.51507756326	360.50033470398256
1.798	1.898	338.5	24.0	1600.0	748.1	30.3	465.1	1600.0	Cap Off	1356.2308063157982	239.08947392044738	1356.2308063157982	274.2919782477376
2.066	2.176	437.6	12.0	218.1	1600.0	0.0	351.4	1600.0	Cap Off	286.2436759319602	308.8508508945728	291.79550301758485	266.0049591691361
2.219	2.329	430.1	0.0	255.3	1600.0	24.1	372.2	1600.0	Cap Off	266.61042423886886	272.4976360296901	287.2868817357957	144.41938514827248
2.365	2.625	485.7	0.0	282.1	1600.0	38.6	342.8	1600.0	Cap Off	446.02121750043585	307.6432923655373	317.7326172652686	284.9492449469245
2.644	2.824	545.1	73.8	348.0	1600.0	0.0	318.9	1600.0	Cap Off	631.493227445684	302.00792140521236	589.4761263916516	245.1611886068972
2.894	2.974	1141.1	290.2	674.2	1600.0	639.0	378.3	1600.0	Cap Off	988.9331168311797	853.9161475752741	910.8748673682306	866.1777104069272
3.187	3.267	1600.0	127.8	832.0	1600.0	831.0	562.9	1600.0	Cap Off	939.6599862543036	797.0184015232868	951.2571511350534	807.5700727695196
3.346	3.446	1600.0	93.3	883.2	1600.0	886.9	613.2	1600.0	Cap Off	1480.6815998046304	559.0694776689318	1480.6815998046304	591.0904685985419
3.808	3.898	435.2	745.3	0.0	1600.0	21.9	466.1	1600.0	Setting Units	289.42457774067014	344.7105256173992	341.2880788601414	404.344057670058
3.914	4.024	403.8	773.9	7.6	1600.0	38.6	444.1	1600.0	Setting Units	232.88709312564717	415.0839265211833	333.07285044901255	445.5154526071679
4.043	4.133	404.5	796.7	0.0	911.6	20.5	423.1	1600.0	Setting Units	328.80143159794187	439.8285197257716	389.94155243557356	473.1660741310966
4.213	4.293	451.5	789.7	0.0	957.2	21.9	432.8	1600.0	Setting Units	342.65931032291496	412.9845777427935	396.2480066214175	457.2157827784808
4.493	4.563	475.0	806.4	0.0	999.1	32.0	454.6	1600.0	Setting Units	402.49603848319373	452.94357268815565	463.72031523689213	493.6632798047596
4.587	4.697	466.3	815.1	0.0	1600.0	27.5	462.9	376.3	Setting Units	395.06068832703676	444.3861515325929	453.63629847773234	484.1779827318755
4.715	4.845	455.7	826.0	0.0	980.2	18.4	474.5	1600.0	Setting Units	390.56694614366666	434.0554745331151	445.3475182147461	474.6261482360255
4.866	4.976	452.5	827.0	0.0	978.9	15.5	460.9	1600.0	Setting Units	397.5762333089202	441.025361522688	444.61519148961713	484.9762482542299
5.014	5.464	461.5	819.0	0.0	984.1	23.1	455.8	1600.0	Setting Units	400.3466661766743	457.52741305347513	461.2406711684245	507.7270584240551
5.692	5.932	385.7	950.1	373.1	1033.2	16.0	432.6	1600.0	Priming	66.2338765480513	261.5048624901407	393.4425931108078	314.13653559005934
5.996	6.106	410.7	920.8	379.0	1055.9	31.0	390.0	1600.0	Priming	67.23776476218586	201.8540354875074	352.5333774414081	273.7233901344507
6.382	6.492	433.5	864.0	332.0	1063.8	5.1	353.1	1600.0	Priming	121.68156571963235	216.7768350627814	360.0100393260757	297.49007902609634
6.515	6.735	423.8	895.7	367.0	1068.2	25.0	369.7	1600.0	Priming	111.50816987296663	205.39530033637624	348.09024990263833	273.93687785914574
6.804	6.944	449.6	857.9	345.5	1081.4	23.1	338.5	1600.0	Priming	145.33110463329209	247.01973556609835	380.19342794228845	308.024936692311
7.083	7.293	462.6	751.8	0.0	1600.0	23.0	500.5	1600.0	Priming	62.912934975128344	234.46582578982543	373.49540043941323	262.8450945349647
7.515	7.585	822.2	481.2	478.7	1600.0	431.0	26.0	1600.0	Apply Tip	475.54701912143094	684.2955312668713	726.8617067006097	693.9205776424197
7.605	7.715	851.0	477.3	510.9	1600.0	472.9	0.0	541.5	Apply Tip	453.9860363255493	671.1131042219445	667.794020342697	689.2599470650545
7.753	7.993	860.1	497.0	515.6	1600.0	473.6	0.0	537.2	Apply Tip	542.3128349387605	664.8314722565291	607.5606675820089	680.6969677033776
8.054	8.164	867.5	501.2	521.9	1600.0	464.6	0.0	515.2	Apply Tip	695.0236436378881	641.8891601348791	692.3503543380457	657.6851623497131
8.315	8.655	837.9	1600.0	493.9	1600.0	420.9	49.7	274.8	Apply Tip	614.181146474026	591.9068936222269	641.9300622071953	595.8589380907425
8.701	8.841	737.8	1600.0	550.7	1600.0	311.1	1600.0	1600.0	Apply Tip	669.9729303007364	447.0646279007792	718.7965187100998	477.6663019792605
9.131	9.261	438.8	850.2	377.0	1600.0	25.1	21.0	1600.0	Apply Tip	482.84640604132557	132.46611649350538	501.53970328328455	121.80628514303392
9.3	9.41	425.8	871.8	376.3	1054.5	14.0	9.5	1600.0	Apply Tip	508.20394450624013	164.94073077739333	513.5069347025919	184.2322390558747
9.434	9.524	433.3	870.9	378.0	1059.9	19.1	4.0	1600.0	Apply Tip	521.5546980448596	181.6090383975077	530.3902268319983	186.06977002907638
9.582	9.832	441.8	873.4	381.2	1065.3	28.3	0.0	1600.0	Apply Tip	541.4840733326797	207.85653233249664	556.2364158714275	202.41202143080633
9.851	10.681	439.2	863.6	358.0	1036.3	16.0	0.0	1600.0	Apply Tip	568.0029324342645	253.39263492396526	581.0198423386071	243.19991602747112
10.704	11.883	456.7	1600.0	368.9	1064.6	14.0	0.0	1600.0	Apply Tip	566.8072086763177	252.19012968618014	582.2038660522603	238.11339439186258
11.902	12.082	457.3	835.1	367.4	1064.1	18.2	0.0	1600.0	Apply Tip	561.3584542183182	251.14794234153862	570.9088812679175	238.77422281176518
12.163	12.393	454.9	1600.0	372.3	1067.5	20.0	0.0	1600.0	Apply Tip	568.6163868253702	249.74191946063473	521.7188516454603	247.76535587849486
12.449	12.609	452.7	841.7	371.3	1067.6	13.9	0.0	313.4	Apply Tip	575.6239755442687	248.12179161407937	546.4521931235623	223.72009325963575
12.717	12.877	470.1	829.6	368.5	1091.3	16.6	15.2	316.6	Apply Tip	621.0948834016432	292.78354327611925	587.1536100331862	308.0305805825157
12.9	12.98	466.0	850.6	377.0	1093.5	13.3	1.4	1600.0	Apply Tip	630.7476206174429	304.81600208368434	610.7577435895391	342.49524620792107
13.002	13.112	474.0	1600.0	416.4	1093.8	49.0	87.1	1.4	Apply Tip	681.8436634712095	309.60434692875765	659.0886558892443	304.26611919950784
13.132	13.342	484.6	1600.0	401.9	1081.4	41.0	324.1	0.0	Apply Tip	888.4415065755722	295.7125757741453	868.4506729451156	269.56269135079896
13.382	13.832	462.1	1600.0	419.7	1081.1	60.0	1600.0	12.2	Apply Tip	661.3457834130118	256.43167861784156	696.4497523098559	271.93088335694824
14.277	14.407	396.3	815.8	0.0	863.3	22.4	480.7	371.2	Setting Units	395.84434317292363	363.56220292742535	420.7347973768081	380.76431265690275
14.431	14.551	416.9	792.8	0.0	904.8	35.4	454.5	384.8	Setting Units	212.77301927431176	386.01008910176915	297.46310861377367	426.33572495171654
14.571	14.661	437.2	771.1	0.0	950.1	24.0	424.6	366.5	Setting Units	213.9610158872813	377.11072366846975	301.1749383475299	393.1215686551492
14.701	14.981	458.6	762.4	8.1	981.0	22.2	422.1	369.8	Setting Units	267.49918060024055	365.50576538695276	328.0404210464515	383.49921597152843
15.017	15.107	468.7	762.1	5.0	994.7	23.1	417.4	369.0	Setting Units	295.11254885909	375.88290462350216	355.753233707841	409.7048328329642
15.127	15.757	492.2	742.2	0.0	1014.5	41.1	400.8	391.6	Setting Units	330.78851966667366	408.9685179752754	385.9477458676436	445.9234603647037
15.819	15.949	490.6	742.0	0.0	1600.0	46.5	400.9	395.5	Setting Units	314.054997470603	404.9901808495302	371.0920565126845	428.0445118127607
15.998	16.078	427.6	799.1	5.8	973.2	0.0	436.8	347.7	Setting Units	206.26749608143493	358.88157662095796	389.36355354686356	379.7276108257823
16.119	16.229	281.4	982.3	265.6	914.6	0.0	527.0	92.6	Priming	165.2033795538759	195.12352133524962	361.1646841408335	258.7144359270148
16.32	16.5	343.5	979.4	379.9	985.3	39.1	475.9	11.2	Priming	31.4495840359639	167.5632749795392	304.66462500881056	262.1858333864492
16.638	16.748	268.5	1036.0	358.9	894.3	85.1	529.0	84.0	Priming	132.1747071584225	91.38504665367049	204.8343134912242	193.56798030278316
16.859	16.959	0.0	1361.8	492.8	494.3	413.0	865.6	444.1	Priming	513.6891171694817	449.0253732002092	418.42561275712933	474.2741708877683
16.976	17.066	0.0	1600.0	514.8	455.7	439.5	904.0	471.3	Priming	460.87533344298436	429.9446040757019	443.50769384721883	488.53436394116505
17.266	17.376	322.5	1600.0	354.0	878.0	70.0	507.4	69.6	Priming	205.18726237737016	365.54903366074564	503.26978347258216	432.11693845263625
17.417	17.617	411.2	1600.0	374.5	980.0	45.0	427.8	3.2	Priming	270.91119209586435	408.76111053436455	538.3511806298889	464.77725445256965
17.68	17.79	426.3	977.2	390.6	1017.4	56.1	421.4	24.1	Priming	249.93223882906454	382.7878151066152	510.22912870035873	436.23371973661506
17.999	18.089	419.0	979.1	396.1	1031.9	62.0	436.8	27.3	Priming	221.41909741596822	344.6542484153125	471.93397044348444	411.03752165362954
18.149	18.229	417.4	983.9	402.0	1034.9	65.2	440.7	29.7	Priming	215.70901656454356	341.50366029478937	466.7848298106131	406.22171266527386
18.246	18.336	402.6	982.3	387.0	1021.3	49.0	446.9	11.0	Priming	212.68811503686493	333.90555004108705	459.66141732580473	384.53023361009747
18.395	18.625	415.2	984.8	403.0	1036.5	64.0	442.7	29.4	Priming	216.97862388775897	341.97082918430766	463.8246888223911	386.918389741127
18.926	18.996	0.0	1600.0	502.7	453.4	456.8	924.9	508.3	Priming	442.74588586417747	442.1896435323037	457.86791248418933	501.7136783238331
19.135	19.365	0.0	1600.0	506.7	447.8	457.1	936.1	505.3	Priming	416.47073271825514	444.31056068287194	493.8092510606292	495.960947835196
19.386	19.476	0.0	1600.0	508.7	450.4	457.8	940.6	509.6	Priming	413.8967042072541	459.24431497460836	527.6681424123468	512.2239200891056
19.578	19.668	0.0	1600.0	491.1	414.2	461.8	958.0	538.0	Priming	409.4952694764414	474.95753789494285	554.6719370115637	519.0946424462062
19.684	19.944	0.0	1600.0	520.4	427.6	478.3	974.2	540.7	Priming	416.3330956248307	487.6809768574838	572.7715503766144	539.6375987992759
19.965	20.355	0.0	1600.0	524.0	434.6	476.8	961.3	532.1	Priming	411.1122927068972	477.64331061395677	557.0369927863541	522.2981061105269
20.395	20.515	0.0	1600.0	517.6	441.9	467.3	952.4	520.4	Priming	409.204093682929	467.40593139775865	548.9148715358539	509.95773120502406
20.535	21.574	0.0	1600.0	532.0	426.9	485.6	972.2	538.9	Priming	422.25764399278876	485.87331452392567	565.8832635766947	525.210413004024
21.633	23.112	0.0	1600.0	518.3	431.2	473.9	963.3	531.2	Priming	410.80746242850137	481.77413225914546	566.0627867830918	525.1931613368504
24.061	24.231	376.0	1600.0	327.6	921.5	14.4	470.1	14.9	Priming	351.51480043345845	476.5907853732749	602.9875029249097	521.428925691352
24.386	24.536	0.0	1600.0	457.9	464.7	417.8	900.3	477.3	Priming	395.8016238317059	424.91797500891596	483.0911574228161	468.42587014146096
24.615	25.534	0.0	1600.0	503.1	456.0	454.3	931.1	500.7	Priming	424.87008029210494	454.23230755112286	506.12723263833857	496.5872493550984
25.613	27.012	0.0	1600.0	507.2	453.6	456.2	934.4	502.1	Priming	423.3061086216384	458.0065457465292	510.9076184317152	501.93293140973174
27.112	27.362	0.0	1600.0	503.2	465.2	448.5	923.9	492.7	Priming	412.1118238097739	450.22782323710214	508.16513592847775	495.9228665532106
27.511	27.761	0.0	1600.0	504.0	461.2	450.1	926.9	495.3	Priming	410.7398392082678	452.1492644872393	511.0993884922693	497.75120167372165
27.782	28.032	0.0	1600.0	508.6	446.9	459.3	937.5	508.0	Priming	421.8676685974954	461.9852785795138	517.5915368107899	509.7835860676303
28.963	29.033	387.4	1600.0	6.1	809.0	20.0	525.4	337.3	Setting Units	292.6335389858163	475.14798851021214	609.5334340611086	508.4793274145705
29.13	29.23	399.5	890.9	1.4	876.1	22.0	467.8	333.0	Setting Units	332.03523560056635	460.9873524674871	477.00054650750894	491.25991920757383
29.42	29.65	409.8	855.9	0.0	941.8	11.7	444.2	328.1	Setting Units	359.7285997729495	375.47461429497935	423.64505219612425	414.1148457144759
29.702	31.231	427.2	837.6	0.0	965.6	31.1	428.7	352.2	Setting Units	379.4188021302524	385.9610693259366	437.19080607941754	434.3830408556947
31.549	31.619	310.0	1600.0	992.3	0.0	680.2	1388.1	659.7	Injection	847.7354456890745	754.5763399688212	894.9438386542298	835.2706562122693
31.676	31.776	320.7	1600.0	1053.5	0.0	685.4	1600.0	660.2	Injection	931.4247316044181	826.5749977569374	991.0350798769563	836.1748559352379
31.799	31.929	325.4	1600.0	1132.2	0.0	676.5	1600.0	627.5	Injection	1041.8171769740368	838.6060744547559	957.5940800627707	853.541006765806
31.971	32.081	332.0	1600.0	1600.0	0.0	603.7	1600.0	570.8	Injection	1138.0836573954718	672.3378305380468	1146.0782690246008	713.712763640752
32.098	32.228	368.0	421.7	1600.0	0.0	413.7	1600.0	377.6	Injection	1078.4815218578417	216.97432751382667	1087.9650139072244	221.7344399096474
