start_time	end_time	App	Cap	Gauge	Pad	Pen	Safety	Tip	Action	Thumb_R	Thumb_L	Index_R	Index_L
1.409	1.479	377.8	106.3	90.0	596.8	0.0	254.6	664.3	Cap Off	107.8758686786287	921.629782203334	98.3466175392867	915.8907016234276
1.519	1.759	400.7	119.1	79.3	638.0	0.0	242.1	654.4	Cap Off	424.4367870527174	430.14457592551565	475.7765173738424	514.122228476876
1.779	2.059	386.5	83.2	117.0	587.0	0.0	282.9	284.8	Cap Off	356.3305146931914	315.0270626285023	449.083222831341	443.24858281198874
2.079	2.209	353.4	54.0	157.5	556.2	0.0	322.6	322.7	Cap Off	353.93345231968084	325.68888723440244	407.58398722387625	408.45585997590257
2.229	2.329	326.8	21.8	197.3	534.2	0.0	325.2	325.4	Cap Off	347.0963821308329	325.4054427012815	392.12207650920016	400.8593444437342
2.349	2.559	308.3	1.0	237.8	511.6	16.0	328.9	329.2	Cap Off	287.7645943431636	276.04253712076576	330.0408088603626	342.2647290888993
2.598	2.698	337.1	16.0	225.0	544.3	0.0	310.6	1600.0	Cap Off	272.9547470681793	262.1446581088131	309.7035008513091	328.80327701818175
2.748	2.848	347.7	16.5	227.0	555.8	0.0	1600.0	740.2	Cap Off	257.54434238962955	255.96898683112707	292.6918355331182	312.70915420640006
2.868	3.388	351.6	22.5	241.0	569.9	0.0	1600.0	1600.0	Cap Off	302.77919571285133	311.0752372285818	326.3214750142097	359.85918782344334
3.468	3.678	374.0	23.9	255.0	592.5	0.0	281.9	280.1	Cap Off	359.5942744824871	277.14477934037984	365.5186609235076	302.4339464713027
3.788	3.888	525.1	912.0	314.3	1600.0	2.0	1600.0	1600.0	Cap Off	459.5964715682806	601.2664920031802	425.7531016710233	631.9301508248615
4.018	4.108	458.1	195.9	353.1	801.3	0.0	1600.0	174.9	Cap Off	395.4549038136132	337.5016181645278	379.36142493187265	445.43906624141596
4.128	4.228	454.8	192.2	346.0	787.2	0.0	185.9	1600.0	Cap Off	424.9994885793855	321.86406478251826	407.1139123170187	486.79284930374376
4.268	4.508	434.3	238.6	337.2	757.1	0.0	197.6	435.1	Cap Off	434.14758665937677	370.2884224747613	398.94930011713836	497.9061679036117
4.527	4.657	401.2	391.0	326.7	642.2	0.0	237.5	423.3	Cap Off	367.32575032543554	347.37130170277885	328.05047565360496	456.9298285813455
4.677	4.907	383.0	523.4	277.3	619.3	19.2	261.3	689.3	Cap Off	272.8272466851067	335.78103210183417	325.31051769604005	445.3956296809653
