start_time	end_time	App	Cap	Gauge	Pad	Pen	Safety	Tip	Action	Thumb_R	Thumb_L	Index_R	Index_L
0.1	0.2	566.2	78.8	1600.0	1600.0	45.0	478.1	1600.0	Cap Off	340.85176433761796	1255.8216433873083	401.00049336595265	1255.8216433873083
0.28	0.51	575.1	59.4	1600.0	1600.0	21.0	474.3	1600.0	Cap Off	319.22523079993294	1233.1942263893388	380.21516133243244	1233.1942263893388
0.58	0.84	598.0	122.8	1600.0	1600.0	44.0	398.2	1600.0	Cap Off	453.22423674727486	1371.7871555019021	509.9924096393718	1371.7871555019021
0.859	1.089	455.2	57.1	1600.0	1600.0	74.0	537.3	1600.0	Cap Off	311.1519829632646	1224.7089450151004	372.4760178418054	1224.7089450151004
1.109	1.399	459.2	53.9	1600.0	1600.0	79.5	538.9	1600.0	Cap Off	324.6190726027502	1238.8510806388313	385.3920414334215	1238.8510806388313
1.629	1.759	702.7	90.8	1600.0	1600.0	120.2	334.3	1600.0	Cap Off	412.07131982066215	1342.0886706920671	487.2973599746929	1342.0886706920671
1.779	2.059	657.2	0.0	1600.0	660.8	75.5	409.2	1600.0	Cap Off	276.8819017047127	797.0754422138278	387.66600412650956	795.9354477473155
2.099	2.249	724.6	256.5	1600.0	874.0	252.1	285.2	1600.0	Cap Off	409.02561469418305	375.93624022566803	457.0893479404533	419.198963911377
2.289	3.788	1099.5	478.2	1600.0	1600.0	324.9	8.5	1600.0	Apply Tip	693.4658780811667	634.5597910923053	736.2492763758114	703.9492315339812
3.808	7.276	1600.0	457.1	1600.0	858.4	75.8	61.0	1600.0	Apply Tip	475.54499350749313	428.82169998409535	512.5317630323136	466.1602645463998
7.326	7.606	1600.0	479.6	1600.0	821.4	61.7	51.6	1600.0	Apply Tip	416.52461404626825	539.8114311883503	480.1805375887638	547.6344556947947
7.735	10.004	1600.0	482.3	1600.0	828.3	60.8	49.0	1600.0	Apply Tip	437.5889332536435	431.6798706910539	487.91797871213635	446.4303941093102
10.064	10.674	1600.0	497.3	1600.0	837.0	84.8	52.1	59.5	Apply Tip	402.1708810047965	413.9926014406895	451.3085435850363	385.55452046743306
10.724	10.814	689.3	152.8	1600.0	756.5	242.7	524.3	249.3	Apply Tip	206.04725504482047	376.156682095567	279.6894075498784	237.49748678837963
10.844	11.084	613.4	261.7	1600.0	595.5	66.0	582.1	163.7	Apply Tip	215.04183244569882	277.20429773439764	285.5585701956224	303.3516723228731
11.113	11.533	530.5	267.6	1600.0	496.1	54.4	635.5	266.2	Apply Tip	183.25561076967173	313.79339866269447	256.80548603949717	258.09676447830947
11.553	12.832	729.6	379.5	11.2	635.9	17.1	424.1	1600.0	Setting Units	461.01257651966046	473.11919513127555	520.3230682708523	469.3403631011652
12.872	13.092	802.9	411.4	60.2	699.8	65.9	401.7	410.9	Setting Units	492.9999186803979	523.4692939713169	546.0070042621915	520.2086234221387
13.172	13.252	822.6	432.0	79.1	712.8	67.2	392.9	388.8	Setting Units	500.07813349303075	528.3685483013273	553.1877923886199	541.3442989672645
13.272	13.412	731.7	348.3	199.0	655.2	130.6	449.9	225.4	Priming	361.86702343771856	484.15682303652113	420.2224317897492	504.94344576789865
13.442	13.592	633.8	241.1	336.7	618.2	1600.0	514.3	89.0	Priming	274.3148901772502	467.69934030954636	317.2589945820292	488.17377351161895
13.632	13.952	867.9	534.0	38.6	719.9	27.5	408.4	322.1	Priming	522.0389690963418	551.0645783191176	575.0614262856778	561.9751041525661
13.982	14.202	745.6	282.7	289.0	710.5	29.8	402.4	71.2	Priming	355.8730145646434	522.9022277681877	414.3289001700336	621.8812511651795
14.222	14.542	711.0	149.3	448.0	794.8	66.0	423.5	31.8	Priming	255.86212963476476	290.95848292014574	321.06470552179707	337.93728551715935
14.551	15.101	705.0	124.6	506.0	837.6	122.0	436.9	77.2	Priming	246.01475792424083	130.53980017426736	311.76967367277314	149.38281534345788
15.231	15.391	749.0	340.7	173.0	674.8	0.0	401.3	180.2	Priming	678.0927319225135	197.23741999976843	755.9527842649733	269.4548826953337
15.411	15.491	786.5	481.2	5.8	654.3	5.1	433.5	351.0	Priming	231.59945855781518	248.22405889582407	321.7924307199271	325.1749337730056
15.531	16.001	782.9	410.6	3.6	685.3	49.7	390.4	392.2	Priming	357.28910717135005	262.2807515157317	335.378529227144	359.7301410619618
16.23	16.56	0.0	446.2	846.2	422.0	496.5	1600.0	466.7	Priming	80.61262444513802	343.3074398436236	122.20100783674106	335.7283444809329
16.57	18.449	0.0	463.8	876.2	337.3	496.9	1279.8	460.7	Priming	72.43622712293187	311.1914429369844	75.96822902337153	308.1861041111989
18.469	18.889	0.0	459.6	932.3	416.8	555.8	1318.0	511.5	Priming	158.131520610188	265.41729277681077	149.85506368216895	291.2473005816522
18.909	19.279	0.0	528.0	952.6	347.1	568.6	1351.8	526.8	Priming	275.07719616925544	410.07376632828203	278.4002344813399	283.6350606024377
19.299	20.318	0.0	446.3	913.6	412.3	535.2	1292.1	498.5	Priming	209.93627333748998	250.71928278360502	209.29004645385095	226.479356943031
