Thumb_R	Index_R	Time
0.0	0.0	0.04
0.0	0.0	0.08
0.0	0.0	0.12
0.0	0.0	0.16
1394.7381094106017	1365.2951316100973	0.2
1395.2426313446056	1366.857962522922	0.24
1391.1418966488106	1363.3677968445581	0.28
1389.3396025486563	1359.2437969288492	0.32
1385.707221749856	1356.2882614064863	0.36
1382.4704092874829	1354.0843200965053	0.4
1376.8768978341634	1350.1679539632612	0.44
1367.2746998966477	1334.2895069444735	0.48
1344.2500342063072	1307.3163715413484	0.52
1312.7723637837055	1278.0328978561429	0.56
1278.94675905499	1235.047882812305	0.6
1240.5798907621013	1190.0261987310078	0.64
1201.3259164016251	1142.5579504539307	0.68
1165.7228241883245	1097.8824532899914	0.72
1140.3852498821334	1072.2965944584935	0.76
1123.2295882293581	1048.0749613914857	0.8
1119.02480514033	1039.162192446027	0.84
1125.7932217950158	1040.0980740819382	0.88
1140.178068899487	1047.6523385057217	0.92
1148.1403186339187	1061.0308146302582	0.96
1148.4907676293976	1068.9428708885498	1.0
1145.222033612258	1066.4407134748953	1.04
1137.7794601398627	1060.9478197919532	1.08
1127.820323650053	1060.2215528105849	1.12
1120.314381271581	1055.2927123452323	1.16
1114.2441500815655	1050.4480091867379	1.2
1107.8084909965412	1043.2534738327536	1.24
1102.0797871242817	1038.8845537387022	1.28
1100.8726840019926	1040.9788462546255	1.32
1096.5455226412441	1044.97730353206	1.36
1101.2865644978701	1048.3905813736787	1.4
1102.233530110804	1044.0603208598864	1.44
1099.3726350965526	1044.3199975983694	1.48
1101.6220195669991	1041.5512788487285	1.52
1100.4048156940287	1050.7364210003907	1.56
1101.2258791526476	1050.4980949885576	1.6
1103.548346436453	1053.0620991006965	1.64
1109.8350701157335	1055.6703661628678	1.68
1121.3962300576159	1060.41789463238	1.72
1125.1708016534146	1065.2311865276902	1.76
1133.1301113139752	1070.6033739646773	1.8
1138.8414922886623	1077.517654409199	1.84
1145.5222398762432	1091.3728872893641	1.88
1161.4254478363578	1111.7261308829793	1.92
1161.661446061286	1124.0704201858014	1.96
1163.4429958655267	1136.808195087703	2.0
