Thumb_R	Index_R	Time
0.0	0.0	0.04
0.0	0.0	0.08
0.0	0.0	0.12
0.0	0.0	0.16
0.0	0.0	0.2
0.0	0.0	0.24
0.0	0.0	0.28
0.0	0.0	0.32
0.0	0.0	0.36
0.0	0.0	0.4
0.0	0.0	0.44
0.0	0.0	0.48
0.0	0.0	0.52
0.0	0.0	0.56
0.0	0.0	0.6
0.0	0.0	0.64
0.0	0.0	0.68
0.0	0.0	0.72
0.0	0.0	0.76
0.0	0.0	0.8
0.0	0.0	0.84
0.0	0.0	0.88
0.0	0.0	0.92
0.0	0.0	0.96
0.0	0.0	1.0
0.0	0.0	1.04
0.0	0.0	1.08
0.0	0.0	1.12
0.0	0.0	1.16
0.0	0.0	1.2
0.0	0.0	1.24
0.0	0.0	1.28
0.0	0.0	1.32
0.0	0.0	1.36
0.0	0.0	1.4
0.0	0.0	1.44
0.0	0.0	1.48
0.0	0.0	1.52
0.0	0.0	1.56
0.0	0.0	1.6
0.0	0.0	1.64
0.0	0.0	1.68
0.0	0.0	1.72
0.0	0.0	1.76
0.0	0.0	1.8
0.0	0.0	1.84
1148.4309255238027	1148.4309255238027	1.88
1113.7083048409118	1113.7083048409118	1.92
1097.3213070045704	1097.3213070045704	1.96
1087.5282038398882	1087.5282038398882	2.0
1070.7655950150947	1070.7655950150947	2.04
1064.7213773934634	1064.7213773934634	2.08
1076.1938679313876	1076.1938679313876	2.12
1071.107278028843	1071.107278028843	2.16
1065.4807174605814	1065.4807174605814	2.2
1066.540445297974	1066.540445297974	2.24
1058.459681548347	1058.459681548347	2.28
1040.9969953175462	1040.9969953175462	2.32
1027.5193622391666	1027.5193622391666	2.36
1031.259951151245	1031.259951151245	2.4
1034.716996780631	1034.716996780631	2.44
1039.0815806885641	1039.0815806885641	2.48
1047.7818467281793	1047.7818467281793	2.52
1045.0186850216942	1045.0186850216942	2.56
1037.6976630673125	1037.6976630673125	2.6
1022.4823983467079	1022.4823983467079	2.64
1017.0156876007826	1017.0156876007826	2.68
1020.6262940508798	1020.6262940508798	2.72
1024.947843115862	1024.947843115862	2.76
0.0	0.0	2.8
