Thumb_R	Index_R	Time
0.0	0.0	0.04
0.0	0.0	0.08
0.0	0.0	0.12
0.0	0.0	0.16
0.0	0.0	0.2
0.0	0.0	0.24
0.0	0.0	0.28
0.0	0.0	0.32
0.0	0.0	0.36
0.0	0.0	0.4
0.0	0.0	0.44
0.0	0.0	0.48
0.0	0.0	0.52
0.0	0.0	0.56
0.0	0.0	0.6
0.0	0.0	0.64
0.0	0.0	0.68
0.0	0.0	0.72
0.0	0.0	0.76
600.6418447984736	600.6418447984736	0.8
650.5229330940389	650.5229330940389	0.84
709.1824243126138	709.1824243126138	0.88
792.3976181823355	792.3976181823355	0.92
876.4897258854883	876.4897258854883	0.96
942.7894371329594	942.7894371329594	1.0
992.2727134803608	992.2727134803608	1.04
1039.898222479183	1039.898222479183	1.08
1071.3841602351824	1071.3841602351824	1.12
1082.590017976651	1082.590017976651	1.16
1078.6201153325517	1078.6201153325517	1.2
1080.7877323741277	1080.7877323741277	1.24
1087.8946469851712	1087.8946469851712	1.28
1093.2562332859136	1093.2562332859136	1.32
1096.58584228678	1096.58584228678	1.36
1097.7528563461512	1097.7528563461512	1.4
1089.2360610515705	1089.2360610515705	1.44
1077.465389382776	1077.465389382776	1.48
1060.9741110055654	1060.9741110055654	1.52
1051.7886055985018	1004.7132242511852	1.56
1044.464563890403	985.542289709084	1.6
1043.290430577728	981.968096470928	1.64
1045.685187916829	984.5901840458575	1.68
1053.254713449294	976.4533974123092	1.72
1066.1710129037917	981.0877036981612	1.76
1090.2996260514653	995.9917448495291	1.8
1109.015548185177	1019.7107092961832	1.84
1125.030716542214	1031.9065228395127	1.88
1143.689239979986	1047.8887227270272	1.92
1150.0303960229178	1054.663005293582	1.96
1156.7941277684452	1063.8014159755041	2.0
1163.0027590701998	1070.6280214048668	2.04
1177.8799185661069	1087.9720292121733	2.08
1190.1335871241924	1096.0474315115005	2.12
1199.6463981772547	1096.6410521380712	2.16
1201.117164043366	1126.3617416661427	2.2
1206.9692203562875	1164.4405408666228	2.24
1201.6283647274036	1166.763681342451	2.28
1196.568335684277	1159.9002775718795	2.32
