Thumb_R	Index_R	Time
0.0	0.0	0.04
0.0	0.0	0.08
0.0	0.0	0.12
0.0	0.0	0.16
0.0	0.0	0.2
0.0	0.0	0.24
0.0	0.0	0.28
0.0	0.0	0.32
0.0	0.0	0.36
0.0	0.0	0.4
0.0	0.0	0.44
0.0	0.0	0.48
0.0	0.0	0.52
0.0	0.0	0.56
0.0	0.0	0.6
0.0	0.0	0.64
0.0	0.0	0.68
0.0	0.0	0.72
0.0	0.0	0.76
0.0	0.0	0.8
0.0	0.0	0.84
0.0	0.0	0.88
0.0	0.0	0.92
0.0	0.0	0.96
0.0	0.0	1.0
0.0	0.0	1.04
0.0	0.0	1.08
0.0	0.0	1.12
0.0	0.0	1.16
0.0	0.0	1.2
0.0	0.0	1.24
0.0	0.0	1.28
0.0	0.0	1.32
0.0	0.0	1.36
0.0	0.0	1.4
0.0	0.0	1.44
0.0	0.0	1.48
0.0	0.0	1.52
1382.859928506822	1334.994021625765	1.56
1313.9758572463902	1245.4887043796346	1.6
1264.9557447433488	1178.2443094991938	1.64
1228.1882113650315	1136.579388311588	1.68
1201.0953266076892	1103.6564510917224	1.72
1185.8617971692518	1092.0956184566583	1.76
1183.847288739724	1086.6383323127684	1.8
1167.2136873238283	1075.1879043166919	1.84
1154.0460396924555	1071.8881009817526	1.88
1141.2646980221498	1068.4430064058804	1.92
1119.494900850288	1063.8645532547512	1.96
1127.9994847621797	1068.056765164536	2.0
1129.418738976467	1069.7375980134802	2.04
1145.5377417285117	1073.1524030824296	2.08
1145.7181924938138	1072.2310729395965	2.12
1146.0912116010893	1073.9385396507598	2.16
1134.6101990910686	1069.4928229988125	2.2
1126.1484334716517	1075.8455291472358	2.24
1112.6988826850688	1074.1655414325585	2.28
1111.80914298646	1081.1036122830694	2.32
1106.5631366517239	1079.5758996981883	2.36
1104.4115761402222	1081.194022158904	2.4
1113.0061769180656	1080.9943442499407	2.44
1112.804979973375	1076.4478500454688	2.48
1112.9160116705732	1075.314743561482	2.52
1113.9723368998814	1072.0730917160245	2.56
1111.9817281547107	1068.3999678881405	2.6
