Wrist_R	Thumb_R	Index_R	Middle_R	Ring_R	Pinky_R	Time
0.0	0.0	0.0	0.0	0.0	0.0	0.04
0.0	0.0	0.0	0.0	0.0	0.0	0.08
0.0	0.0	0.0	0.0	0.0	0.0	0.12
0.0	0.0	0.0	0.0	0.0	0.0	0.16
0.0	0.0	0.0	0.0	0.0	0.0	0.2
0.0	0.0	0.0	0.0	0.0	0.0	0.24
0.0	0.0	0.0	0.0	0.0	0.0	0.28
0.0	0.0	0.0	0.0	0.0	0.0	0.32
0.0	0.0	0.0	0.0	0.0	0.0	0.36
0.0	0.0	0.0	0.0	0.0	0.0	0.4
0.0	0.0	0.0	0.0	0.0	0.0	0.44
0.0	0.0	0.0	0.0	0.0	0.0	0.48
0.0	0.0	0.0	0.0	0.0	0.0	0.52
0.0	0.0	0.0	0.0	0.0	0.0	0.56
2096.7130451759735	2096.7130451759735	2096.7130451759735	2096.7130451759735	2096.7130451759735	2096.7130451759735	0.6
2025.840766866415	2025.840766866415	2025.840766866415	2025.840766866415	2025.840766866415	2025.840766866415	0.64
1958.4998921748888	1958.4998921748888	1958.4998921748888	1958.4998921748888	1958.4998921748888	1958.4998921748888	0.68
1921.6427275960477	1921.6427275960477	1921.6427275960477	1921.6427275960477	1921.6427275960477	1921.6427275960477	0.72
1891.5063748160674	1891.5063748160674	1891.5063748160674	1891.5063748160674	1891.5063748160674	1891.5063748160674	0.76
1877.662397646815	1877.662397646815	1877.662397646815	1877.662397646815	1877.662397646815	1877.662397646815	0.8
1870.0132801309367	1870.0132801309367	1870.0132801309367	1870.0132801309367	1870.0132801309367	1870.0132801309367	0.84
1864.5159547917622	1864.5159547917622	1864.5159547917622	1864.5159547917622	1864.5159547917622	1864.5159547917622	0.88
1851.8316869481987	1851.8316869481987	1851.8316869481987	1851.8316869481987	1851.8316869481987	1851.8316869481987	0.92
1835.9939000968275	1835.9939000968275	1835.9939000968275	1835.9939000968275	1835.9939000968275	1835.9939000968275	0.96
1818.47323152264	1818.47323152264	1818.47323152264	1818.47323152264	1818.47323152264	1818.47323152264	1.0
1800.1398322891296	1800.1398322891296	1800.1398322891296	1800.1398322891296	1800.1398322891296	1800.1398322891296	1.04
1790.3423023816772	1790.3423023816772	1790.3423023816772	1790.3423023816772	1790.3423023816772	1790.3423023816772	1.08
1786.9151480919325	1786.9151480919325	1786.9151480919325	1786.9151480919325	1786.9151480919325	1786.9151480919325	1.12
1784.533133931144	1784.533133931144	1784.533133931144	1784.533133931144	1784.533133931144	1784.533133931144	1.16
1776.867275174955	1776.867275174955	1776.867275174955	1776.867275174955	1776.867275174955	1776.867275174955	1.2
1773.8926452817532	1773.8926452817532	1773.8926452817532	1773.8926452817532	1773.8926452817532	1773.8926452817532	1.24
1760.8664812570082	1760.8664812570082	1760.8664812570082	1760.8664812570082	1760.8664812570082	1760.8664812570082	1.28
1757.9098379467898	1757.9098379467898	1757.9098379467898	1757.9098379467898	1757.9098379467898	1757.9098379467898	1.32
1778.9223231128558	1778.9223231128558	1778.9223231128558	1778.9223231128558	1778.9223231128558	1778.9223231128558	1.36
1822.0465498813671	1822.0465498813671	1822.0465498813671	1822.0465498813671	1822.0465498813671	1822.0465498813671	1.4
1860.2618348330982	1860.2618348330982	1860.2618348330982	1860.2618348330982	1860.2618348330982	1860.2618348330982	1.44
1889.0614113440154	1889.0614113440154	1889.0614113440154	1889.0614113440154	1889.0614113440154	1889.0614113440154	1.48
1932.1009783803613	1932.1009783803613	1932.1009783803613	1932.1009783803613	1932.1009783803613	1932.1009783803613	1.52
1951.836612088303	1951.836612088303	1951.836612088303	1951.836612088303	1951.836612088303	1951.836612088303	1.56
1963.7575380113083	1963.7575380113083	1963.7575380113083	1963.7575380113083	1963.7575380113083	1963.7575380113083	1.6
1972.7328098967805	1972.7328098967805	1972.7328098967805	1972.7328098967805	1972.7328098967805	1972.7328098967805	1.64
1979.6457965711295	1979.6457965711295	1979.6457965711295	1979.6457965711295	1979.6457965711295	1979.6457965711295	1.68
1971.2827843772145	1971.2827843772145	1971.2827843772145	1971.2827843772145	1971.2827843772145	1971.2827843772145	1.72
1975.7008782441783	1975.7008782441783	1975.7008782441783	1975.7008782441783	1975.7008782441783	1975.7008782441783	1.76
1977.4400244285603	1977.4400244285603	1977.4400244285603	1977.4400244285603	1977.4400244285603	1977.4400244285603	1.8
1967.249047974622	1967.249047974622	1967.249047974622	1967.249047974622	1967.249047974622	1967.249047974622	1.84
1968.6121991457005	1968.6121991457005	1968.6121991457005	1968.6121991457005	1968.6121991457005	1968.6121991457005	1.88
1974.2153224171407	1974.2153224171407	1974.2153224171407	1974.2153224171407	1974.2153224171407	1974.2153224171407	1.92
1984.7141264197505	1984.7141264197505	1984.7141264197505	1984.7141264197505	1984.7141264197505	1984.7141264197505	1.96
1995.327886212966	1995.327886212966	1995.327886212966	1995.327886212966	1995.327886212966	1995.327886212966	2.0
1995.2631939931582	1995.2631939931582	1995.2631939931582	1995.2631939931582	1995.2631939931582	1995.2631939931582	2.04
1994.591183513442	1994.591183513442	1994.591183513442	1994.591183513442	1994.591183513442	1994.591183513442	2.08
1999.9289288028103	1999.9289288028103	1999.9289288028103	1999.9289288028103	1999.9289288028103	1999.9289288028103	2.12
1997.2772701161289	1997.2772701161289	1997.2772701161289	1997.2772701161289	1997.2772701161289	1997.2772701161289	2.16
2001.330109314813	2001.330109314813	2001.330109314813	2001.330109314813	2001.330109314813	2001.330109314813	2.2
2003.659211402261	2003.659211402261	2003.659211402261	2003.659211402261	2003.659211402261	2003.659211402261	2.24
2009.6549679195757	2009.6549679195757	2009.6549679195757	2009.6549679195757	2009.6549679195757	2009.6549679195757	2.28
2025.7496573840197	2025.7496573840197	2025.7496573840197	2025.7496573840197	2025.7496573840197	2025.7496573840197	2.32
2021.665819235427	2021.665819235427	2021.665819235427	2021.665819235427	2021.665819235427	2021.665819235427	2.36
2120.9903572341027	2120.9903572341027	2120.9903572341027	2120.9903572341027	2120.9903572341027	2120.9903572341027	2.4
2124.7912550364663	2124.7912550364663	2124.7912550364663	2124.7912550364663	2124.7912550364663	2124.7912550364663	2.44
2116.035935903888	2116.035935903888	2116.035935903888	2116.035935903888	2116.035935903888	2116.035935903888	2.48
2116.3404244918634	2116.3404244918634	2116.3404244918634	2116.3404244918634	2116.3404244918634	2116.3404244918634	2.52
2109.7247053744313	2109.7247053744313	2109.7247053744313	2109.7247053744313	2109.7247053744313	2109.7247053744313	2.56
2095.01037203344	2095.01037203344	2095.01037203344	2095.01037203344	2095.01037203344	2095.01037203344	2.6
2084.906567022719	2084.906567022719	2084.906567022719	2084.906567022719	2084.906567022719	2084.906567022719	2.64
2071.9022980130676	2071.9022980130676	2071.9022980130676	2071.9022980130676	2071.9022980130676	2071.9022980130676	2.68
2000.7182805291804	2000.7182805291804	2000.7182805291804	2000.7182805291804	2000.7182805291804	2000.7182805291804	2.72
1997.9659907547473	1997.9659907547473	1997.9659907547473	1997.9659907547473	1997.9659907547473	1997.9659907547473	2.76
1993.338220712353	1993.338220712353	1993.338220712353	1993.338220712353	1993.338220712353	1993.338220712353	2.8
1975.5160251056968	1975.5160251056968	1975.5160251056968	1975.5160251056968	1975.5160251056968	1975.5160251056968	2.84
1958.831080551406	1958.831080551406	1958.831080551406	1958.831080551406	1958.831080551406	1958.831080551406	2.88
1958.3821892662481	1958.3821892662481	1958.3821892662481	1958.3821892662481	1958.3821892662481	1958.3821892662481	2.92
1954.2888284977846	1954.2888284977846	1954.2888284977846	1954.2888284977846	1954.2888284977846	1954.2888284977846	2.96
1946.398689363074	1946.398689363074	1946.398689363074	1946.398689363074	1946.398689363074	1946.398689363074	3.0
1939.1381620183245	1939.1381620183245	1939.1381620183245	1939.1381620183245	1939.1381620183245	1939.1381620183245	3.04
1921.5928647468982	1921.5928647468982	1921.5928647468982	1921.5928647468982	1921.5928647468982	1921.5928647468982	3.08
1901.8182845161734	1901.8182845161734	1901.8182845161734	1901.8182845161734	1901.8182845161734	1901.8182845161734	3.12
1901.414159906811	1901.414159906811	1901.414159906811	1901.414159906811	1901.414159906811	1901.414159906811	3.16
1901.277117964663	1901.277117964663	1901.277117964663	1901.277117964663	1901.277117964663	1901.277117964663	3.2
1884.163224792219	1884.163224792219	1884.163224792219	1884.163224792219	1884.163224792219	1884.163224792219	3.24
1855.6391475147454	1855.6391475147454	1855.6391475147454	1855.6391475147454	1855.6391475147454	1855.6391475147454	3.28
1826.211686042461	1826.211686042461	1826.211686042461	1826.211686042461	1826.211686042461	1826.211686042461	3.32
1817.3179481042698	1817.3179481042698	1817.3179481042698	1817.3179481042698	1817.3179481042698	1817.3179481042698	3.36
1795.8885558187635	1795.8885558187635	1795.8885558187635	1795.8885558187635	1795.8885558187635	1795.8885558187635	3.4
1781.6046297688304	1781.6046297688304	1781.6046297688304	1781.6046297688304	1781.6046297688304	1781.6046297688304	3.44
1780.8553985314823	1780.8553985314823	1780.8553985314823	1780.8553985314823	1780.8553985314823	1780.8553985314823	3.48
1777.1635440341836	1777.1635440341836	1777.1635440341836	1777.1635440341836	1777.1635440341836	1777.1635440341836	3.52
1773.3641489991937	1773.3641489991937	1773.3641489991937	1773.3641489991937	1773.3641489991937	1773.3641489991937	3.56
1774.0295814932904	1774.0295814932904	1774.0295814932904	1774.0295814932904	1774.0295814932904	1774.0295814932904	3.6
1778.7084667700353	1778.7084667700353	1778.7084667700353	1778.7084667700353	1778.7084667700353	1778.7084667700353	3.64
1766.4300092214712	1766.4300092214712	1766.4300092214712	1766.4300092214712	1766.4300092214712	1766.4300092214712	3.68
1774.665004514213	1774.665004514213	1774.665004514213	1774.665004514213	1774.665004514213	1774.665004514213	3.72
1781.2514508091658	1781.2514508091658	1781.2514508091658	1781.2514508091658	1781.2514508091658	1781.2514508091658	3.76
1767.1589470109955	1767.1589470109955	1767.1589470109955	1767.1589470109955	1767.1589470109955	1767.1589470109955	3.8
1767.9429816203376	1767.9429816203376	1767.9429816203376	1767.9429816203376	1767.9429816203376	1767.9429816203376	3.84
1772.418256608677	1772.418256608677	1772.418256608677	1772.418256608677	1772.418256608677	1772.418256608677	3.88
1773.5283376707696	1773.5283376707696	1773.5283376707696	1773.5283376707696	1773.5283376707696	1773.5283376707696	3.92
