Thumb_R	Index_R	Time
0.0	0.0	0.04
0.0	0.0	0.08
0.0	0.0	0.12
0.0	0.0	0.16
0.0	0.0	0.2
0.0	0.0	0.24
0.0	0.0	0.28
0.0	0.0	0.32
0.0	0.0	0.36
0.0	0.0	0.4
0.0	0.0	0.44
0.0	0.0	0.48
0.0	0.0	0.52
0.0	0.0	0.56
0.0	0.0	0.6
0.0	0.0	0.64
0.0	0.0	0.68
0.0	0.0	0.72
0.0	0.0	0.76
0.0	0.0	0.8
0.0	0.0	0.84
0.0	0.0	0.88
0.0	0.0	0.92
0.0	0.0	0.96
0.0	0.0	1.0
0.0	0.0	1.04
0.0	0.0	1.08
0.0	0.0	1.12
0.0	0.0	1.16
0.0	0.0	1.2
0.0	0.0	1.24
0.0	0.0	1.28
0.0	0.0	1.32
0.0	0.0	1.36
0.0	0.0	1.4
0.0	0.0	1.44
0.0	0.0	1.48
0.0	0.0	1.52
0.0	0.0	1.56
0.0	0.0	1.6
0.0	0.0	1.64
0.0	0.0	1.68
0.0	0.0	1.72
0.0	0.0	1.76
0.0	0.0	1.8
0.0	0.0	1.84
0.0	0.0	1.88
0.0	0.0	1.92
983.3369865339556	983.3369865339556	1.96
914.2738001039035	914.2738001039035	2.0
882.9617324070286	882.9617324070286	2.04
860.8060639630829	860.8060639630829	2.08
874.7918044869189	874.7918044869189	2.12
924.5558836355299	924.5558836355299	2.16
969.0061163557891	969.0061163557891	2.2
1013.5535368363992	1013.5535368363992	2.24
1046.614093959877	1046.614093959877	2.28
1063.9474611158025	1063.9474611158025	2.32
1067.5624450542412	1067.5624450542412	2.36
1064.219504188212	1064.219504188212	2.4
1059.4379150058185	1059.4379150058185	2.44
1041.9759036406058	1041.9759036406058	2.48
1027.1610266009138	1027.1610266009138	2.52
1016.6604524642158	1016.6604524642158	2.56
1005.4281944073831	1005.4281944073831	2.6
1005.6257850694856	1005.6257850694856	2.64
1004.8491371007868	1004.8491371007868	2.68
1006.7128061084611	1006.7128061084611	2.72
1001.6578830069334	1001.6578830069334	2.76
991.8758845031957	991.8758845031957	2.8
