Thumb_R	Index_R	Time
0.0	0.0	0.04
0.0	0.0	0.08
0.0	0.0	0.12
0.0	0.0	0.16
0.0	0.0	0.2
0.0	0.0	0.24
0.0	0.0	0.28
0.0	0.0	0.32
0.0	0.0	0.36
0.0	0.0	0.4
0.0	0.0	0.44
0.0	0.0	0.48
0.0	0.0	0.52
0.0	0.0	0.56
0.0	0.0	0.6
0.0	0.0	0.64
0.0	0.0	0.68
0.0	0.0	0.72
0.0	0.0	0.76
0.0	0.0	0.8
0.0	0.0	0.84
0.0	0.0	0.88
0.0	0.0	0.92
0.0	0.0	0.96
0.0	0.0	1.0
0.0	0.0	1.04
0.0	0.0	1.08
0.0	0.0	1.12
0.0	0.0	1.16
0.0	0.0	1.2
0.0	0.0	1.24
0.0	0.0	1.28
0.0	0.0	1.32
0.0	0.0	1.36
0.0	0.0	1.4
0.0	0.0	1.44
0.0	0.0	1.48
0.0	0.0	1.52
0.0	0.0	1.56
0.0	0.0	1.6
0.0	0.0	1.64
0.0	0.0	1.68
0.0	0.0	1.72
0.0	0.0	1.76
0.0	0.0	1.8
0.0	0.0	1.84
0.0	0.0	1.88
0.0	0.0	1.92
1368.1435780703282	1333.0259474400962	1.96
1270.4292248799734	1250.98534571185	2.0
1212.9574582559853	1175.2768307793992	2.04
1175.9169276830987	1121.6517073564855	2.08
1179.0250872024883	1097.2201602782084	2.12
1176.649764922124	1094.2777560118816	2.16
1185.8294656259857	1090.8312546528527	2.2
1185.411542140771	1112.0552338256336	2.24
1171.3384061594436	1118.7793997374056	2.28
1165.6799069977985	1119.9102445425663	2.32
1161.1686432751712	1097.3312213496604	2.36
1148.9411854682814	1086.1109348358718	2.4
1144.064432239325	1077.9370124234001	2.44
1138.9642842333553	1078.8717646620946	2.48
1137.3340893455393	1095.6251557102403	2.52
1131.0598617160936	1088.0539994237986	2.56
1123.1320722653413	1067.8020998278555	2.6
1117.2322900253414	1052.548928848602	2.64
1123.9426809832562	1034.2245730155437	2.68
1125.1990649741272	1034.7615665429882	2.72
1126.9175561125653	1032.5320001272914	2.76
1123.8107124926253	1029.4131341283655	2.8
