Thumb_R	Index_R	Time
0.0	0.0	0.04
0.0	0.0	0.08
0.0	0.0	0.12
0.0	0.0	0.16
0.0	0.0	0.2
0.0	0.0	0.24
0.0	0.0	0.28
0.0	0.0	0.32
0.0	0.0	0.36
0.0	0.0	0.4
0.0	0.0	0.44
0.0	0.0	0.48
0.0	0.0	0.52
0.0	0.0	0.56
0.0	0.0	0.6
0.0	0.0	0.64
0.0	0.0	0.68
0.0	0.0	0.72
0.0	0.0	0.76
0.0	0.0	0.8
0.0	0.0	0.84
0.0	0.0	0.88
0.0	0.0	0.92
0.0	0.0	0.96
0.0	0.0	1.0
0.0	0.0	1.04
0.0	0.0	1.08
0.0	0.0	1.12
0.0	0.0	1.16
0.0	0.0	1.2
0.0	0.0	1.24
0.0	0.0	1.28
0.0	0.0	1.32
0.0	0.0	1.36
0.0	0.0	1.4
0.0	0.0	1.44
0.0	0.0	1.48
0.0	0.0	1.52
0.0	0.0	1.56
0.0	0.0	1.6
0.0	0.0	1.64
0.0	0.0	1.68
0.0	0.0	1.72
0.0	0.0	1.76
0.0	0.0	1.8
0.0	0.0	1.84
0.0	0.0	1.88
0.0	0.0	1.92
0.0	0.0	1.96
0.0	0.0	2.0
0.0	0.0	2.04
0.0	0.0	2.08
0.0	0.0	2.12
0.0	0.0	2.16
0.0	0.0	2.2
0.0	0.0	2.24
0.0	0.0	2.28
0.0	0.0	2.32
0.0	0.0	2.36
0.0	0.0	2.4
1962.0394123090616	1783.8993663442668	2.44
0.0	0.0	2.48
0.0	0.0	2.52
0.0	0.0	2.56
0.0	0.0	2.6
0.0	0.0	2.64
0.0	0.0	2.68
0.0	0.0	2.72
0.0	0.0	2.76
0.0	0.0	2.8
1433.7454308956376	1413.8650009432133	2.84
1369.1969794737915	1350.344637558788	2.88
1303.7891682763116	1282.7573128287274	2.92
1259.0226014989062	1233.9114113879814	2.96
1223.0850278855655	1195.3225408605904	3.0
1208.9709881546416	1164.9931656118856	3.04
1199.1187986847456	1134.568277496646	3.08
1187.176976403321	1109.915914402757	3.12
1167.4434578143023	1089.4730850211845	3.16
