Wrist_R	Thumb_R	Index_R	Middle_R	Ring_R	Pinky_R	Time
0.0	0.0	0.0	0.0	0.0	0.0	0.04
0.0	0.0	0.0	0.0	0.0	0.0	0.08
0.0	0.0	0.0	0.0	0.0	0.0	0.12
0.0	0.0	0.0	0.0	0.0	0.0	0.16
0.0	0.0	0.0	0.0	0.0	0.0	0.2
0.0	0.0	0.0	0.0	0.0	0.0	0.24
0.0	0.0	0.0	0.0	0.0	0.0	0.28
0.0	0.0	0.0	0.0	0.0	0.0	0.32
0.0	0.0	0.0	0.0	0.0	0.0	0.36
0.0	0.0	0.0	0.0	0.0	0.0	0.4
0.0	0.0	0.0	0.0	0.0	0.0	0.44
0.0	0.0	0.0	0.0	0.0	0.0	0.48
0.0	0.0	0.0	0.0	0.0	0.0	0.52
0.0	0.0	0.0	0.0	0.0	0.0	0.56
0.0	0.0	0.0	0.0	0.0	0.0	0.6
0.0	0.0	0.0	0.0	0.0	0.0	0.64
0.0	0.0	0.0	0.0	0.0	0.0	0.68
0.0	0.0	0.0	0.0	0.0	0.0	0.72
0.0	0.0	0.0	0.0	0.0	0.0	0.76
0.0	0.0	0.0	0.0	0.0	0.0	0.8
0.0	0.0	0.0	0.0	0.0	0.0	0.84
0.0	0.0	0.0	0.0	0.0	0.0	0.88
0.0	0.0	0.0	0.0	0.0	0.0	0.92
0.0	0.0	0.0	0.0	0.0	0.0	0.96
0.0	0.0	0.0	0.0	0.0	0.0	1.0
0.0	0.0	0.0	0.0	0.0	0.0	1.04
0.0	0.0	0.0	0.0	0.0	0.0	1.08
0.0	0.0	0.0	0.0	0.0	0.0	1.12
0.0	0.0	0.0	0.0	0.0	0.0	1.16
0.0	0.0	0.0	0.0	0.0	0.0	1.2
0.0	0.0	0.0	0.0	0.0	0.0	1.24
0.0	0.0	0.0	0.0	0.0	0.0	1.28
0.0	0.0	0.0	0.0	0.0	0.0	1.32
0.0	0.0	0.0	0.0	0.0	0.0	1.36
0.0	0.0	0.0	0.0	0.0	0.0	1.4
0.0	0.0	0.0	0.0	0.0	0.0	1.44
0.0	0.0	0.0	0.0	0.0	0.0	1.48
0.0	0.0	0.0	0.0	0.0	0.0	1.52
0.0	0.0	0.0	0.0	0.0	0.0	1.56
1813.7089602719789	1813.7089602719789	1813.7089602719789	1813.7089602719789	1813.7089602719789	1813.7089602719789	1.6
1647.236341176099	1647.236341176099	1647.236341176099	1647.236341176099	1647.236341176099	1647.236341176099	1.64
1497.4295583336316	1497.4295583336316	1497.4295583336316	1497.4295583336316	1497.4295583336316	1497.4295583336316	1.68
1374.2484270345951	1374.2484270345951	1374.2484270345951	1374.2484270345951	1374.2484270345951	1374.2484270345951	1.72
1303.5573930550238	1303.5573930550238	1303.5573930550238	1303.5573930550238	1303.5573930550238	1303.5573930550238	1.76
1278.7173685630341	1278.7173685630341	1278.7173685630341	1278.7173685630341	1278.7173685630341	1278.7173685630341	1.8
1287.7406500303957	1333.4375565205085	1171.90116890671	1103.3359158849148	1062.0982632297757	1037.4948824838852	1.84
1308.5820392258452	1390.8442619326809	1201.72729594905	1137.0469580480305	1097.4038878687713	1050.7755225173808	1.88
1336.9599823091846	1430.7216654555934	1233.6995732581947	1178.6545710749854	1136.13428480139	1081.8147886217064	1.92
1347.3943186122287	1452.4003817914268	1254.5823330410342	1203.5540116197549	1153.7264358060118	1108.863957181242	1.96
1336.2875530356382	1443.3565054337182	1260.4298220515304	1211.0968238350372	1162.6172801491375	1118.0586098167194	2.0
1331.862492638244	1426.9462339775475	1273.4802179547219	1212.202823296585	1159.837548333819	1126.3706247592283	2.04
1340.2752279373894	1402.8309987295918	1294.3767554071526	1222.6145098293202	1167.3561322574503	1125.939278936281	2.08
1343.0561785696684	1383.9177128674191	1288.6935063013473	1226.538001701932	1175.9157871654659	1140.5457078819245	2.12
1349.047808529693	1385.4881080178895	1295.2472963004066	1232.8198848112515	1188.237240188965	1152.393052984808	2.16
1363.4462098369868	1395.0366679891583	1303.5997044476958	1239.6757216167587	1203.6178941210349	1182.0059510491424	2.2
1367.8468155271426	1399.1806283254414	1312.8803439519231	1250.6161976901974	1220.4488147803988	1204.587579639396	2.24
1371.5490120473694	1402.8120065103574	1327.438887442728	1267.2693629630996	1234.5674946641575	1218.1708050475725	2.28
1368.0811214330874	1398.6494832110482	1326.2804211333037	1276.7632083315523	1245.0398084178082	1230.7118765273672	2.32
1358.2591485230516	1384.2315556770204	1318.898252300015	1291.5636451262776	1253.7339311630703	1228.0887691875619	2.36
1351.8382577119146	1363.9925422254073	1276.9040986217851	1261.4733040451135	1232.4437400910458	1211.6025305853352	2.4
1340.5533555872012	1350.2435378160092	1260.5733941796761	1262.661164498487	1240.792691157948	1221.0110021115408	2.44
1327.7042829891957	1361.046617903037	1259.282968606918	1259.1394414059573	1230.678811385359	1206.6215529948417	2.48
1323.5521387795006	1375.596459479576	1258.5872285435864	1260.214601798456	1228.7714647533144	1198.892382031175	2.52
1317.1959412583308	1375.9736576365756	1257.983926020312	1258.1995947673292	1221.4313689197977	1187.8389629988617	2.56
1306.953697925583	1361.3279273259889	1257.6596987860867	1260.4160115988736	1226.668394227035	1195.5971506616645	2.6
1298.744767703256	1356.0257819589845	1258.7323519629267	1258.4666737386465	1228.2022790229503	1194.7074501126256	2.64
1282.3902479029107	1345.377510990302	1265.5597870408462	1259.225890225662	1233.109167479565	1205.79176712761	2.68
1268.5004600718844	1325.598830401987	1265.7599306553657	1258.1515387563595	1230.50554577249	1202.4536883695127	2.72
1254.254608682821	1308.0871398889276	1251.8390770948613	1246.906194126587	1222.1874644048908	1202.0372405238647	2.76
1245.6264733064236	1297.5353940479642	1246.9545204905544	1234.43707366615	1212.232659232227	1186.4044402214702	2.8
1236.679501978365	1285.2351108114706	1240.6316743657478	1231.1602810078434	1195.5592577134987	1173.718828363299	2.84
1234.5951223412449	1283.7236747127877	1223.0085470147728	1215.8906747133324	1195.8265173323837	1165.238120892042	2.88
1237.1245364630838	1285.580344256709	1223.6176341663145	1223.746837978378	1208.518231978131	1182.6025150691312	2.92
1241.264910491318	1292.8794682634873	1236.3177650090736	1234.0894813955447	1218.8818963864692	1188.4126082588548	2.96
1242.950038741535	1299.4578912005873	1242.7565919370174	1244.0276704044709	1228.3051596508942	1200.2522134636577	3.0
1240.1362142259486	1300.2565036560466	1242.4465173404735	1243.8805753066642	1224.5119928836286	1190.08220947365	3.04
1241.8350205055492	1304.5838098715992	1245.5329574837813	1249.1579206561642	1229.175690899768	1192.8071008502081	3.08
1247.3937765897365	1312.455479093494	1249.1025362944795	1253.055059035395	1232.1567566385893	1197.4079016942287	3.12
1250.5163202310753	1314.971171304978	1261.9760078454071	1268.50023708453	1247.2440176280613	1210.6212444831358	3.16
1250.9776518743683	1315.5574851701354	1257.2607399584406	1264.197256018172	1242.496095780738	1204.7580985258262	3.2
1247.9229006751705	1312.875722731472	1259.791310967349	1264.858663498836	1238.4051631646341	1201.7071642448436	3.24
1230.5577733306995	1274.1714535102674	1249.8122251084833	1261.252350058519	1237.681571408967	1209.8063848623274	3.28
1203.5681545821303	1230.1840916790134	1208.7843846868184	1208.6735140272708	1183.0940722636876	1154.2764461125587	3.32
1193.9772969262885	1193.6796217255721	1177.7645264901485	1185.4693078802438	1140.4033880385518	1118.928007898928	3.36
1183.6034544320578	1187.6722062119834	1194.0097694324993	1181.081507669901	1127.8765198173155	1096.6003248446025	3.4
1184.8574596734502	1194.7903157047701	1182.134556009874	1181.2283606835256	1142.8270196022672	1109.8344735471294	3.44
1192.7488608196336	1196.4301753902412	1174.382649636357	1196.998298131087	1169.7415975928905	1136.8041026175888	3.48
1190.6437311959817	1194.2375117686302	1175.580408139208	1197.546284666821	1165.1930437835513	1142.6337824144819	3.52
1188.0098318166963	1189.464982155041	1158.2607773873501	1198.3617383939782	1170.8061064332674	1145.4722099448993	3.56
1194.5188489678324	1187.0966071974499	1171.8307074719592	1185.7302006155257	1155.7362926876247	1135.209046278883	3.6
1193.9752243664632	1184.2914500411841	1185.0788068880804	1174.3509252016165	1152.3282023694494	1130.3916612106987	3.64
1207.1527987452337	1198.148358010862	1173.406415077561	1175.9481937391895	1151.4657853889785	1133.3325359789364	3.68
1206.234918043632	1191.0176961841628	1189.1023259529154	1174.0784054831804	1148.5712285939444	1131.6503616087505	3.72
1219.4592137009727	1199.947487448838	1180.8193217136793	1190.1460389144681	1182.7607897961466	1167.9796740798586	3.76
1220.1927070463462	1189.5325667066058	1165.4416213729326	1177.2906622634332	1158.7647893385429	1138.4187251612245	3.8
1230.5404228612665	1194.2716575528425	1173.939532591459	1184.7169249561878	1167.9040174173529	1150.0976308217498	3.84
1242.630255924876	1203.0684795552577	1188.200679617747	1186.9903541710983	1177.5887773996067	1166.898015845253	3.88
1245.0109492890708	1205.1981295117441	1189.5637612708701	1187.6258262163897	1177.0582798088783	1168.0869415667592	3.92
1240.896167487181	1201.9819309870797	1185.3729128296256	1189.779266561405	1181.3380594930734	1176.9055353546241	3.96
1232.76852560119	1195.0431596659482	1191.989239111463	1189.408707846137	1182.9576680604955	1175.898959265901	4.0
1221.342112941842	1188.854530185009	1174.7492088210865	1187.6242767342285	1180.0353775025105	1170.436253638502	4.04
1208.5599672347269	1186.558720087883	1178.6588784375879	1168.8494720460824	1147.5613232215028	1136.7841271420598	4.08
1204.4304754089117	1190.7749266492683	1163.5411862297003	1168.5374122704754	1147.9824887600275	1133.5781493350032	4.12
1198.2236862544867	1187.4833768730587	1159.933723495223	1157.101288260717	1134.0345028369486	1111.899170889894	4.16
1199.6021541098619	1189.897280256148	1153.4036161047263	1148.28692808256	1128.0838175486454	1101.7926734624925	4.2
1195.8361186512434	1188.2317142210904	1152.753518960222	1152.2792792580224	1139.923357595412	1118.3548731149097	4.24
1199.4908517314655	1191.1043408307924	1162.975739812154	1160.2750257506207	1140.4213948648396	1113.3109641083677	4.28
1213.4364042558177	1194.1312724030288	1179.454996558694	1168.0696814673815	1151.4692809364326	1135.56121695259	4.32
1221.2356656265233	1194.1293542471406	1175.7686912014822	1173.328774258021	1165.5471569903864	1156.7660915809115	4.36
1225.6318700986396	1191.937678203304	1178.9991861099152	1174.771864119652	1162.9578344570493	1151.5758253710114	4.4
