Thumb_R	Index_R	Time
0.0	0.0	0.04
0.0	0.0	0.08
0.0	0.0	0.12
0.0	0.0	0.16
0.0	0.0	0.2
0.0	0.0	0.24
0.0	0.0	0.28
0.0	0.0	0.32
0.0	0.0	0.36
0.0	0.0	0.4
0.0	0.0	0.44
0.0	0.0	0.48
0.0	0.0	0.52
0.0	0.0	0.56
0.0	0.0	0.6
0.0	0.0	0.64
0.0	0.0	0.68
0.0	0.0	0.72
0.0	0.0	0.76
0.0	0.0	0.8
0.0	0.0	0.84
0.0	0.0	0.88
0.0	0.0	0.92
0.0	0.0	0.96
0.0	0.0	1.0
0.0	0.0	1.04
0.0	0.0	1.08
0.0	0.0	1.12
0.0	0.0	1.16
0.0	0.0	1.2
0.0	0.0	1.24
0.0	0.0	1.28
0.0	0.0	1.32
0.0	0.0	1.36
839.269729646928	815.4279698361794	1.4
884.0478116518569	884.0478116518569	1.44
930.6578848852696	930.6578848852696	1.48
973.7250541402398	973.7250541402398	1.52
998.2766771260699	998.2766771260699	1.56
1010.3927803276225	1010.3927803276225	1.6
1010.9143797684856	1010.9143797684856	1.64
1004.0808228413161	1004.0808228413161	1.68
994.8874566431401	994.8874566431401	1.72
981.1236049424238	981.1236049424238	1.76
970.8165968933995	970.8165968933995	1.8
953.8515099621345	953.8515099621345	1.84
927.9275297481796	927.9275297481796	1.88
911.1918104594672	911.1918104594672	1.92
899.6574406951644	899.6574406951644	1.96
885.8045844236425	885.8045844236425	2.0
881.0519426596038	881.0519426596038	2.04
878.4102974400082	878.4102974400082	2.08
886.3374682363847	886.3374682363847	2.12
889.3955415453017	889.3955415453017	2.16
880.0588047165716	880.0588047165716	2.2
874.9151294599592	874.9151294599592	2.24
875.9685644610411	875.9685644610411	2.28
878.405244677267	878.405244677267	2.32
880.3492969929752	880.3492969929752	2.36
883.419346387997	883.419346387997	2.4
894.0422088937661	894.0422088937661	2.44
907.9604737289633	907.9604737289633	2.48
923.525748438487	923.525748438487	2.52
938.8370483394334	938.8370483394334	2.56
948.5168418398981	948.5168418398981	2.6
946.0756794623336	946.0756794623336	2.64
