start_time	end_time	App	Cap	Gauge	Pad	Pen	Safety	Tip	Action	sequence	Dict_value
1.418	1.488	361.5	4.0	197.0	818.5	20.0	578.3	1600.0	Cap Off	DADDADD	1683
1.506	1.596	365.3	0.0	186.6	820.1	12.0	560.8	1600.0	Cap Off	DADDADD	1683
1.659	1.779	366.9	6.7	1600.0	809.8	8.0	548.8	1600.0	Cap Off	DADDADD	1683
1.796	1.866	366.2	10.3	1600.0	799.3	3.6	525.2	1600.0	Cap Off	DADDADD	1683
1.908	2.158	264.4	0.0	1600.0	692.1	90.1	605.0	1600.0	Cap Off	DADDBDD	1692
2.326	2.486	310.6	0.0	234.6	761.7	15.5	529.6	1600.0	Cap Off	DADDADD	1683
2.509	2.589	311.0	0.0	248.7	774.7	27.0	539.1	1600.0	Cap Off	DADDBDD	1692
2.605	2.725	310.9	0.0	238.4	783.0	11.0	556.2	1600.0	Cap Off	DADDADD	1683
2.748	2.858	356.4	14.0	235.1	819.9	0.0	546.3	1600.0	Cap Off	DADDADD	1683
2.898	3.008	398.0	120.3	266.1	861.3	17.0	516.3	1600.0	Cap Off	DBDDADD	1926
3.024	3.274	386.0	112.2	291.0	854.6	41.0	518.4	1600.0	Cap Off	DBDDBDD	1935
3.428	3.498	412.4	303.9	315.1	889.1	14.0	1600.0	1600.0	Cap Off	DDDDADD	2169
3.863	3.973	1600.0	66.8	671.3	1600.0	647.7	259.8	1600.0	Cap Off	DBDDDDD	1944
3.993	4.093	1600.0	23.0	762.6	1600.0	749.3	299.6	1600.0	Cap Off	DADDDDD	1701
4.168	4.278	1600.0	0.0	795.3	1600.0	784.6	295.7	926.3	Cap Off	DADDDDD	1701
4.297	4.467	1600.0	1.0	771.1	1600.0	764.8	299.1	907.9	Cap Off	DADDDDD	1701
4.627	4.747	1600.0	277.7	691.1	1600.0	613.9	17.0	648.7	Apply Tip	DDDDDAD	2181
4.847	5.087	918.3	308.9	663.1	1600.0	566.4	0.0	590.1	Apply Tip	DDDDDAD	2181
5.127	5.207	946.4	313.1	694.6	1600.0	595.5	0.0	1600.0	Apply Tip	DDDDDAD	2181
5.574	5.804	924.1	337.9	673.6	1600.0	563.5	6.7	1600.0	Apply Tip	DDDDDAD	2181
5.843	5.973	818.2	463.4	640.6	1600.0	468.7	0.0	469.2	Apply Tip	DDDDDAD	2181
5.996	6.076	666.1	622.3	595.2	1600.0	336.7	0.0	1600.0	Apply Tip	DDDDDAD	2181
6.166	6.256	419.1	1600.0	502.9	967.9	151.6	0.0	1600.0	Apply Tip	DDDDDAD	2181
6.294	6.374	348.4	930.2	483.0	890.1	114.2	0.0	1600.0	Apply Tip	DDDDBAD	2172
6.416	6.506	331.5	936.6	443.2	866.4	65.7	3.0	1600.0	Apply Tip	DDDDBAD	2172
6.544	6.694	339.5	939.8	439.6	877.9	56.6	12.0	1600.0	Apply Tip	DDDDBAD	2172
6.823	6.903	327.0	939.0	416.3	868.3	16.8	6.0	1600.0	Apply Tip	DDDDAAD	2163
6.946	7.126	361.0	905.6	418.1	896.5	31.1	22.8	1600.0	Apply Tip	DDDDBAD	2172
7.132	7.282	319.0	943.8	418.9	856.1	27.0	0.0	1600.0	Apply Tip	DDDDBAD	2172
7.373	7.623	336.0	925.4	410.1	867.9	17.5	0.0	1600.0	Apply Tip	DDDDAAD	2163
7.645	7.785	325.0	925.7	410.3	855.3	17.7	0.0	1600.0	Apply Tip	DDDDAAD	2163
8.07	8.3	335.0	917.9	421.6	865.8	27.0	0.0	1600.0	Apply Tip	DDDDBAD	2172
8.341	9.56	350.3	951.7	417.8	878.3	34.0	0.0	1600.0	Apply Tip	DDDDBAD	2172
9.58	9.71	373.0	856.2	398.9	898.0	21.6	26.9	1600.0	Apply Tip	DDDDABD	2166
9.88	9.95	409.7	1600.0	412.0	919.5	30.0	269.0	0.0	Apply Tip	DDDDBDA	2176
10.034	10.234	417.0	1600.0	399.8	923.3	21.2	244.2	14.0	Apply Tip	DDDDADA	2167
10.289	10.499	360.4	1600.0	401.6	880.6	32.6	365.8	0.0	Apply Tip	DDDDBDA	2176
10.564	10.794	345.7	1600.0	390.9	869.5	27.9	1600.0	0.0	Apply Tip	DDDDBDA	2176
10.979	11.059	353.7	1600.0	13.6	727.7	0.0	1600.0	352.0	Setting Units	DDADADD	2007
11.29	11.36	341.5	773.8	22.2	736.4	24.6	534.6	390.5	Setting Units	DDADADD	2007
11.379	11.469	354.5	754.5	9.8	772.2	10.6	500.5	375.0	Setting Units	DDADADD	2007
11.511	11.901	399.1	718.5	0.0	847.6	34.0	442.0	1600.0	Setting Units	DDADBDD	2016
11.943	12.043	399.5	732.0	0.0	834.6	32.0	464.3	1600.0	Setting Units	DDADBDD	2016
12.058	12.368	401.6	735.2	0.0	836.4	30.0	465.7	1600.0	Setting Units	DDADBDD	2016
12.413	12.893	402.7	734.9	0.0	840.5	32.0	464.0	1600.0	Setting Units	DDADBDD	2016
12.909	13.119	421.0	720.7	0.0	850.7	46.0	453.8	1600.0	Setting Units	DDADBDD	2016
13.261	13.441	70.3	1081.8	336.8	603.2	34.7	754.3	1600.0	Setting Units	BDDDBDD	1449
13.538	13.698	185.6	1051.0	415.6	757.5	29.0	663.7	12.8	Priming	DDDDBDA	2176
13.741	13.851	262.6	1011.9	411.0	826.2	29.0	601.2	0.0	Priming	DDDDBDA	2176
13.891	14.031	294.5	1049.9	469.4	855.1	88.6	614.8	40.2	Priming	DDDDBDB	2177
14.039	14.139	301.5	1035.2	459.0	856.3	78.0	591.7	29.4	Priming	DDDDBDB	2177
14.157	14.387	326.8	1028.7	468.7	878.4	86.0	574.4	38.3	Priming	DDDDBDB	2177
14.461	15.65	334.6	1000.7	481.1	890.1	86.0	558.6	39.8	Priming	DDDDBDB	2177
16.029	16.109	0.0	1600.0	429.4	395.1	351.4	889.5	408.3	Priming	ADDDDDD	729
16.296	16.386	0.0	1600.0	481.7	397.0	396.3	934.0	434.8	Priming	ADDDDDD	729
16.41	16.53	0.0	1600.0	488.9	398.1	405.6	948.4	440.3	Priming	ADDDDDD	729
16.846	17.576	0.0	1600.0	505.0	402.4	416.3	965.9	448.1	Priming	ADDDDDD	729
17.658	18.478	0.0	1600.0	511.2	394.3	424.1	975.6	458.0	Priming	ADDDDDD	729
18.499	18.789	0.0	1600.0	510.6	412.1	416.6	962.7	444.1	Priming	ADDDDDD	729
18.999	19.179	0.0	1600.0	501.6	406.0	410.8	958.3	442.0	Priming	ADDDDDD	729
19.235	19.495	0.0	1600.0	509.1	411.4	412.8	960.2	442.0	Priming	ADDDDDD	729
19.894	20.154	0.0	1600.0	505.7	403.7	413.6	960.5	444.0	Priming	ADDDDDD	729
20.306	20.736	0.0	1600.0	504.3	401.5	413.9	959.1	442.0	Priming	ADDDDDD	729
20.825	22.474	0.0	1600.0	505.2	399.3	412.4	958.8	444.0	Priming	ADDDDDD	729
24.064	25.233	0.0	1600.0	512.0	407.3	412.0	955.9	440.1	Priming	ADDDDDD	729
25.275	25.355	0.0	1600.0	502.0	401.4	412.0	950.6	443.0	Priming	ADDDDDD	729
25.69	25.91	380.6	800.4	0.0	726.5	32.0	574.7	373.1	Setting Units	DDADBDD	2016
25.975	26.045	367.3	795.3	0.0	750.5	39.6	535.3	394.6	Setting Units	DDADBDD	2016
26.052	26.222	368.0	789.3	1.0	777.0	21.6	508.3	1600.0	Setting Units	DDADADD	2007
26.382	26.552	397.5	757.3	0.0	815.3	34.0	473.7	1600.0	Setting Units	DDADBDD	2016
26.594	28.043	395.1	759.0	0.0	827.5	38.0	471.3	1600.0	Setting Units	DDADBDD	2016
28.079	28.339	381.5	772.3	0.0	818.6	21.0	480.1	1600.0	Setting Units	DDADADD	2007
28.559	28.679	349.3	1600.0	920.7	0.0	574.7	1391.9	549.1	Injection	DDDADDD	2133
28.79	29.07	356.0	1600.0	897.3	0.0	490.0	1600.0	462.6	Injection	DDDADDD	2133
29.088	29.238	1600.0	1600.0	674.7	0.0	283.7	1600.0	252.9	Injection	DDDADDD	2133
29.278	29.358	358.2	1600.0	1600.0	0.0	245.5	1600.0	217.4	Injection	DDDADDD	2133
29.383	29.493	333.0	1600.0	1600.0	0.0	242.1	1600.0	206.7	Injection	DDDADDD	2133
29.508	29.618	1600.0	1600.0	1600.0	0.0	204.8	1600.0	170.0	Injection	DDDADDD	2133
29.692	29.762	500.4	1600.0	1600.0	0.0	120.8	1600.0	88.8	Injection	DDDABDB	2123
29.78	29.91	477.3	1600.0	478.0	0.0	90.5	1600.0	66.8	Injection	DDDABDB	2123
30.061	30.311	441.0	1600.0	442.2	0.0	72.8	1600.0	40.3	Injection	DDDABDB	2123
30.41	30.61	416.0	1600.0	423.2	0.0	47.2	1600.0	18.9	Injection	DDDABDA	2122
31.749	31.919	318.5	1600.0	75.6	372.4	105.1	1600.0	417.9	Injection	DDBDBDD	2097
31.94	32.01	361.7	1600.0	8.5	291.2	51.0	1600.0	342.1	Injection	DDADBDD	2016
32.031	32.161	355.1	1600.0	2.8	276.8	42.5	1600.0	324.0	Injection	DDADBDD	2016
32.606	32.676	0.0	1600.0	475.7	429.6	444.1	1600.0	483.2	Injection	ADDDDDD	729
32.75	32.86	0.0	1600.0	499.7	436.2	471.8	1600.0	491.5	Injection	ADDDDDD	729
