start_time	end_time	App	Cap	Gauge	Pad	Pen	Safety	Tip	Action	sequence	Dict_value
0.85	1.1	300.6	28.2	183.6	550.0	0.0	373.4	1600.0	Cap Off	DBDDADD	1926
1.119	1.249	279.7	65.8	151.1	533.0	0.0	431.7	1600.0	Cap Off	DBDDADD	1926
1.269	1.579	266.6	91.2	126.5	506.9	0.0	460.4	1600.0	Cap Off	DBBDADD	1845
1.599	1.709	268.8	92.0	123.0	507.7	0.0	457.9	1600.0	Cap Off	DBBDADD	1845
1.819	1.949	362.3	0.0	243.6	617.9	38.6	313.1	1600.0	Cap Off	DADDBDD	1692
1.969	2.069	375.7	0.0	248.7	619.1	45.0	348.9	1600.0	Cap Off	DADDBDD	1692
2.129	2.249	368.7	0.0	244.1	631.0	33.0	327.7	1600.0	Cap Off	DADDBDD	1692
2.399	2.559	332.1	0.0	241.6	637.5	5.0	348.9	637.6	Cap Off	DADDADD	1683
2.579	2.659	251.8	100.7	150.3	543.0	0.0	461.9	1600.0	Cap Off	DBDDADD	1926
2.678	2.798	243.4	125.0	130.4	526.0	0.0	483.3	1600.0	Cap Off	DBBDADD	1845
2.848	3.248	357.1	4.0	256.2	658.3	2.0	364.9	1600.0	Cap Off	DADDADD	1683
3.308	3.458	322.0	228.4	349.9	647.4	0.0	1600.0	1600.0	Cap Off	DDDDADD	2169
3.498	3.568	376.0	270.1	365.5	692.4	0.0	285.4	1600.0	Cap Off	DDDDADD	2169
3.648	3.728	366.3	340.8	368.8	677.7	12.5	281.1	1600.0	Cap Off	DDDDADD	2169
3.768	3.878	347.1	437.2	352.7	659.0	8.5	288.3	1600.0	Cap Off	DDDDADD	2169
3.918	4.168	340.1	404.8	335.7	653.0	6.7	280.5	1600.0	Cap Off	DDDDADD	2169
4.218	4.318	331.3	449.2	306.8	640.1	0.0	283.0	1600.0	Cap Off	DDDDADD	2169
4.337	4.597	326.5	437.0	285.4	624.9	0.0	295.4	1600.0	Cap Off	DDDDADD	2169
4.617	4.747	349.6	430.0	308.4	653.8	0.0	275.0	1600.0	Cap Off	DDDDADD	2169
4.787	4.997	636.5	226.5	591.7	950.5	266.8	24.0	243.2	Apply Tip	DDDDDAD	2181
5.047	5.147	677.5	243.3	654.1	1015.7	314.4	7.1	1600.0	Apply Tip	DDDDDAD	2181
5.167	5.277	696.6	255.5	687.3	1053.7	326.2	13.4	407.5	Apply Tip	DDDDDAD	2181
5.317	5.577	728.0	269.8	704.9	1114.2	320.4	43.1	433.3	Apply Tip	DDDDDBD	2184
5.597	5.847	698.6	340.9	700.1	1089.1	297.7	14.8	1600.0	Apply Tip	DDDDDAD	2181
5.907	6.147	493.0	458.2	86.5	876.8	91.3	47.8	1600.0	Apply Tip	DDBDBBD	2094
6.166	6.266	488.4	1600.0	494.4	874.6	52.8	34.5	1600.0	Apply Tip	DDDDBBD	2175
6.286	6.546	506.3	639.4	35.7	891.8	43.0	5.8	1600.0	Apply Tip	DDBDBAD	2091
6.686	7.216	514.1	634.6	492.1	897.4	30.1	1.0	1600.0	Apply Tip	DDDDBAD	2172
7.266	8.135	546.0	579.0	502.1	1600.0	40.8	0.0	1600.0	Apply Tip	DDDDBAD	2172
8.195	8.845	554.3	546.5	498.7	1600.0	24.2	8.0	1600.0	Apply Tip	DDDDAAD	2163
8.865	9.115	547.5	525.6	504.0	1600.0	35.8	0.0	1600.0	Apply Tip	DDDDBAD	2172
9.135	9.395	572.3	479.3	499.4	1600.0	47.9	24.8	662.4	Apply Tip	DDDDBAD	2172
9.415	9.985	546.7	500.4	491.1	1600.0	49.4	4.0	1600.0	Apply Tip	DDDDBAD	2172
10.004	11.413	532.9	525.3	480.1	1600.0	44.6	0.0	1600.0	Apply Tip	DDDDBAD	2172
11.433	11.663	520.3	1600.0	509.3	1600.0	50.4	68.0	10.6	Apply Tip	DDDDBBA	2173
11.703	11.943	443.0	503.0	487.3	829.0	44.1	323.3	7.8	Apply Tip	DDDDBDA	2176
11.983	12.393	434.0	496.8	474.6	813.6	40.8	449.4	1.0	Apply Tip	DDDDBDA	2176
12.413	12.523	389.7	506.2	422.7	752.1	21.2	428.1	1.0	Apply Tip	DDDDADA	2167
12.603	12.763	370.9	536.2	406.2	721.4	31.6	1600.0	0.0	Apply Tip	DDDDBDA	2176
12.783	12.893	368.5	619.8	408.9	718.6	30.4	437.9	0.0	Apply Tip	DDDDBDA	2176
13.232	13.302	346.6	484.4	76.0	644.4	0.0	500.9	280.9	Setting Units	DDBDADD	2088
13.342	13.612	388.1	462.3	80.3	702.2	29.0	467.8	294.3	Setting Units	DDBDBDD	2097
13.632	13.862	449.1	417.7	14.6	767.9	0.0	440.6	389.9	Setting Units	DDADADD	2007
13.902	14.062	461.0	417.2	0.0	775.5	25.0	446.0	585.9	Setting Units	DDADADD	2007
14.082	14.162	447.0	438.0	0.0	763.4	37.0	464.6	602.0	Setting Units	DDADBDD	2016
14.212	14.292	434.0	496.0	0.0	749.1	51.0	478.6	1600.0	Setting Units	DDADBDD	2016
14.312	14.432	413.5	619.0	0.0	733.5	49.0	492.1	1600.0	Setting Units	DDADBDD	2016
14.452	15.711	412.4	632.8	0.0	736.0	38.0	491.1	1600.0	Setting Units	DDADBDD	2016
15.981	16.081	64.3	951.2	490.3	461.0	145.1	809.8	132.5	Priming	BDDDBDB	1448
16.67	17.06	323.0	689.4	433.0	703.3	55.0	541.3	16.0	Priming	DDDDBDA	2176
17.15	17.31	350.0	687.4	425.0	738.1	55.0	534.9	12.8	Priming	DDDDBDA	2176
17.37	17.61	332.6	689.7	394.1	710.7	29.0	549.9	0.0	Priming	DDDDBDA	2176
17.65	17.74	340.1	690.7	393.1	716.0	27.0	549.2	0.0	Priming	DDDDBDA	2176
17.78	20.089	361.7	686.6	410.9	737.9	43.0	534.6	4.0	Priming	DDDDBDA	2176
20.128	20.258	334.9	615.0	304.0	690.1	0.0	504.0	68.0	Priming	DDDDADB	2168
20.438	20.508	374.3	507.8	14.0	656.0	0.0	518.0	358.6	Priming	DDADADD	2007
20.518	20.598	417.3	470.8	0.0	690.8	33.4	494.3	402.9	Priming	DDADBDD	2016
20.688	20.818	446.0	418.5	14.1	740.2	59.2	421.2	440.5	Priming	DDADBDD	2016
20.998	21.268	406.0	428.8	0.0	704.3	38.0	416.2	1600.0	Priming	DDADBDD	2016
21.288	21.548	401.3	441.6	1.0	706.6	14.9	420.3	1600.0	Priming	DDADADD	2007
21.697	21.867	0.0	962.1	485.8	309.7	156.1	889.6	141.3	Priming	ADDDDDB	728
21.967	22.077	0.0	1072.4	563.2	296.4	228.7	963.9	208.0	Priming	ADDDDDD	729
22.097	22.197	0.0	1089.9	562.8	296.1	217.2	962.6	200.5	Priming	ADDDDDD	729
22.237	22.627	0.0	1161.4	602.4	314.7	268.0	992.0	246.0	Priming	ADDDDDD	729
22.647	23.996	0.0	1155.9	599.8	312.6	259.9	983.2	240.2	Priming	ADDDDDD	729
24.216	24.806	0.0	1156.9	606.2	308.4	263.5	985.4	243.0	Priming	ADDDDDD	729
24.846	24.976	0.0	1152.7	601.9	313.3	262.8	980.4	242.3	Priming	ADDDDDD	729
24.996	25.126	0.0	1168.9	619.3	305.0	273.9	995.8	254.5	Priming	ADDDDDD	729
25.145	26.034	0.0	1161.9	610.3	314.8	271.8	986.3	250.0	Priming	ADDDDDD	729
26.834	29.043	0.0	1159.0	606.4	320.1	270.6	980.9	248.1	Priming	ADDDDDD	729
29.083	29.193	0.0	1166.3	611.9	312.7	271.7	988.4	248.0	Priming	ADDDDDD	729
29.213	29.433	0.0	1170.9	609.2	287.4	250.5	998.4	229.3	Priming	ADDDDDD	729
29.623	29.743	466.8	461.5	38.6	779.5	99.0	379.9	1600.0	Setting Units	DDBDBDD	2097
29.763	29.873	448.8	480.7	24.3	778.4	83.0	391.1	489.0	Setting Units	DDADBDD	2016
29.913	30.093	432.7	510.3	11.7	771.0	73.0	419.0	1600.0	Setting Units	DDADBDD	2016
30.113	30.183	415.4	535.8	0.0	751.0	52.0	446.6	1600.0	Setting Units	DDADBDD	2016
30.203	30.313	410.0	541.6	0.0	748.3	47.0	447.6	690.3	Setting Units	DDADBDD	2016
30.332	30.532	421.0	531.7	0.0	759.7	59.0	436.4	681.3	Setting Units	DDADBDD	2016
30.612	30.732	400.0	550.4	0.0	729.7	35.0	467.9	698.9	Setting Units	DDADBDD	2016
30.752	30.842	410.4	543.1	0.0	746.0	50.0	451.6	690.5	Setting Units	DDADBDD	2016
30.862	31.412	417.1	537.2	0.0	751.7	53.0	446.6	1600.0	Setting Units	DDADBDD	2016
31.432	32.411	431.1	533.6	4.1	767.4	55.2	431.6	1600.0	Setting Units	DDADBDD	2016
32.801	32.901	0.0	829.2	375.4	318.7	38.0	785.0	39.6	Injection	ADDDBDB	719
33.051	33.121	35.2	774.5	348.8	315.4	0.0	729.6	10.0	Injection	BDDDADA	1438
33.171	33.241	239.1	1600.0	781.1	0.0	436.5	1140.5	404.8	Injection	DDDADDD	2133
33.281	33.411	189.3	1600.0	762.8	0.0	413.0	1119.2	383.4	Injection	DDDADDD	2133
33.451	33.551	225.0	1600.0	755.4	0.0	375.2	1207.5	1600.0	Injection	DDDADDD	2133
33.601	33.681	247.0	1600.0	621.9	0.0	294.1	1600.0	1600.0	Injection	DDDADDD	2133
33.721	33.831	231.7	1600.0	489.1	0.0	151.2	1600.0	122.4	Injection	DDDADDB	2132
33.85	34.19	1600.0	1600.0	405.7	0.0	75.1	1600.0	57.8	Injection	DDDABDB	2123
34.23	34.35	347.2	1600.0	383.5	0.0	46.6	1600.0	25.5	Injection	DDDABDB	2123
34.4	34.91	325.2	1600.0	402.5	0.0	47.4	1600.0	26.0	Injection	DDDABDB	2123
34.93	36.049	314.8	1600.0	390.9	0.0	26.9	1600.0	8.0	Injection	DDDABDA	2122
36.069	36.249	298.0	1600.0	352.3	5.4	15.6	1600.0	0.0	Injection	DDDAADA	2113
36.269	36.579	296.9	1600.0	333.8	7.3	10.8	1600.0	0.0	Injection	DDDAADA	2113
36.649	36.899	287.2	1600.0	316.0	14.0	1.0	1600.0	2.0	Injection	DDDAADA	2113
36.969	37.409	251.0	1600.0	0.0	292.0	20.6	1600.0	339.1	Injection	DDADADD	2007
37.588	38.128	271.7	1600.0	0.0	308.8	52.5	1600.0	359.7	Injection	DDADBDD	2016
38.188	38.268	266.3	1600.0	8.0	321.6	61.2	1600.0	369.2	Injection	DDADBDD	2016
38.288	38.678	266.8	1600.0	40.5	357.4	94.9	1600.0	401.0	Injection	DDBDBDD	2097
38.698	38.778	256.6	1600.0	24.2	338.7	80.1	1600.0	382.7	Injection	DDADBDD	2016
38.868	39.118	254.3	1600.0	17.1	329.7	78.8	1600.0	375.1	Injection	DDADBDD	2016
39.137	39.957	250.8	1600.0	13.0	324.3	72.7	1600.0	369.6	Injection	DDADBDD	2016
40.117	40.347	293.2	1600.0	289.1	2.0	0.0	1600.0	12.0	Injection	DDDAADA	2113
40.367	40.967	282.0	1600.0	301.0	12.4	4.5	1600.0	0.0	Injection	DDDAADA	2113
41.436	41.596	0.0	1600.0	399.9	361.3	379.1	1600.0	394.5	Injection	ADDDDDD	729
41.716	41.866	0.0	1600.0	416.2	375.2	394.8	1600.0	396.7	Injection	ADDDDDD	729
41.886	41.966	0.0	1600.0	431.4	394.8	414.6	1600.0	413.4	Injection	ADDDDDD	729
41.986	42.546	0.0	1600.0	443.1	395.4	423.7	1600.0	416.1	Injection	ADDDDDD	729
42.685	42.815	0.0	1600.0	426.0	375.2	407.5	1600.0	395.0	Injection	ADDDDDD	729
42.865	42.965	0.0	1600.0	420.0	366.6	393.1	1600.0	387.8	Injection	ADDDDDD	729
42.985	44.584	0.0	1600.0	400.3	360.6	383.6	1600.0	379.3	Injection	ADDDDDD	729
44.684	50.301	0.0	1600.0	411.8	365.0	399.0	1600.0	384.4	Injection	ADDDDDD	729
50.371	50.541	0.0	1600.0	460.3	319.1	388.5	1600.0	371.9	Injection	ADDDDDD	729
50.651	50.931	248.3	1600.0	247.3	13.6	6.0	1600.0	24.2	Injection	DDDAADA	2113
50.981	51.191	282.2	1600.0	313.2	5.0	13.0	1600.0	0.0	Injection	DDDAADA	2113
51.23	51.48	291.0	1600.0	339.8	2.0	23.5	1600.0	0.0	Injection	DDDAADA	2113
51.67	52.06	291.8	1600.0	1600.0	0.0	25.3	1600.0	6.0	Injection	DDDABDA	2122
52.08	52.16	292.1	1600.0	1600.0	23.3	0.0	1600.0	7.6	Injection	DDDAADA	2113
52.35	52.5	1600.0	1600.0	226.6	301.6	0.0	1600.0	158.7	Injection	DDDDADD	2169
52.52	52.61	237.3	1600.0	232.4	358.2	0.0	1600.0	152.0	Injection	DDDDADD	2169
52.67	52.78	271.5	1600.0	32.6	550.5	0.0	905.1	337.2	Injection	DDBDADD	2088
52.8	53.06	264.7	1600.0	50.8	548.2	0.0	652.1	1600.0	Injection	DDBDADD	2088
53.099	53.259	275.0	573.6	1600.0	558.9	50.6	453.5	1600.0	Remove Tip	DDDDBDD	2178
53.379	53.589	318.6	467.6	1600.0	612.1	0.0	379.5	24.4	Remove Tip	DDDDADA	2167
53.629	53.799	400.0	411.4	1600.0	711.3	23.0	321.4	18.4	Remove Tip	DDDDADA	2167
53.819	53.889	463.0	380.2	1600.0	788.2	57.7	281.4	29.0	Remove Tip	DDDDBDB	2177
