start_time	end_time	App	Cap	Gauge	Pad	Pen	Safety	Tip	Action	sequence	Dict_value
2.898	3.418	421.1	24.0	467.0	559.3	200.8	1600.0	1600.0	Cap Off	DADDDDD	1701
3.458	3.888	793.0	319.1	777.0	853.9	450.9	13.0	424.3	Cap Off	DDDDDAD	2181
3.948	8.135	556.1	248.7	422.1	462.9	37.7	0.0	519.3	Apply Tip	DDDDBAD	2172
8.185	8.625	760.1	246.1	814.8	789.8	469.1	13.0	437.2	Apply Tip	DDDDDAD	2181
8.675	8.995	212.1	114.5	370.3	481.2	21.2	494.5	12.0	Apply Tip	DBDDADA	1924
9.045	9.205	205.2	216.1	119.5	229.9	5.0	567.8	302.0	Apply Tip	DDBDADD	2088
9.244	9.414	0.0	377.0	481.0	419.1	137.8	766.1	1600.0	Apply Tip	ADDDBDD	720
9.474	10.373	452.4	318.3	1.4	295.9	59.5	488.6	1600.0	Setting Units	DDADBDD	2016
10.414	11.034	242.8	172.5	338.4	353.0	0.0	493.4	58.5	Setting Units	DDDDADB	2168
11.053	11.153	312.4	54.1	438.4	501.8	185.3	390.2	13.4	Priming	DBDDDDA	1942
11.283	11.423	456.1	127.0	573.3	709.3	214.7	289.4	1600.0	Priming	DBDDDDD	1944
11.443	14.351	392.2	33.0	426.5	584.5	69.9	293.8	1600.0	Priming	DBDDBDD	1935
14.401	17.209	400.5	275.4	8.1	267.4	72.0	508.3	516.8	Priming	DDADBDD	2016
17.27	17.49	0.0	453.0	504.0	512.1	209.9	890.2	537.3	Priming	ADDDDDD	729
17.539	17.919	368.0	244.0	0.0	272.5	57.0	520.0	515.1	Priming	DDADBDD	2016
18.009	19.438	378.7	253.1	4.0	272.3	72.0	496.0	515.9	Setting Units	DDADBDD	2016
19.458	19.608	400.9	121.2	0.0	410.9	36.6	306.2	1600.0	Setting Units	DBADBDD	1773
19.748	20.188	0.0	354.4	484.6	387.0	449.2	742.9	1600.0	Setting Units	ADDDDDD	729
20.208	20.858	0.0	355.8	630.6	393.9	613.8	770.5	421.9	Injection	ADDDDDD	729
20.877	20.937	0.0	372.1	662.7	411.4	650.4	795.6	441.4	Injection	ADDDDDD	729
20.957	22.616	0.0	368.9	670.7	418.2	656.8	794.3	442.7	Injection	ADDDDDD	729
22.676	23.835	354.2	554.1	273.1	0.0	125.4	862.2	47.7	Injection	DDDABDB	2123
23.896	24.376	305.7	505.5	149.1	7.8	2.8	811.5	559.4	Injection	DDBAADD	2034
24.385	24.575	196.7	433.9	64.4	113.1	8.1	761.0	348.4	Injection	DDBBADD	2061
24.625	25.405	0.0	359.6	354.7	496.5	365.9	758.0	573.9	Injection	ADDDDDD	729
25.425	26.884	0.0	350.7	380.0	508.3	1600.0	742.7	565.2	Injection	ADDDDDD	729
26.974	27.604	0.0	352.5	375.3	504.2	1600.0	744.3	562.4	Injection	ADDDDDD	729
27.643	27.993	0.0	354.6	1600.0	494.0	1600.0	745.6	558.4	Injection	ADDDDDD	729
28.093	30.072	0.0	352.3	1600.0	515.4	1600.0	743.4	558.8	Injection	ADDDDDD	729
30.162	31.351	0.0	343.4	1600.0	1600.0	1600.0	734.9	558.4	Injection	ADDDDDD	729
31.571	34.119	0.0	359.2	1600.0	1600.0	1600.0	752.4	573.7	Injection	ADDDDDD	729
34.16	34.3	0.0	370.3	1600.0	1600.0	1600.0	759.6	575.8	Injection	ADDDDDD	729
34.319	35.838	0.0	356.8	1600.0	535.3	1600.0	745.9	572.0	Injection	ADDDDDD	729
35.938	36.538	0.0	344.1	1600.0	1600.0	1600.0	733.0	407.2	Injection	ADDDDDD	729
36.578	36.708	0.0	324.0	1600.0	488.5	361.9	702.7	546.5	Injection	ADDDDDD	729
36.768	36.968	263.8	233.9	235.3	172.8	97.7	483.5	110.6	Injection	DDDDBDB	2177
37.178	37.538	664.0	225.3	1600.0	1600.0	426.3	10.0	424.0	Injection	DDDDDAD	2181
37.557	37.717	685.0	227.5	1600.0	1600.0	414.5	8.5	411.7	Remove Tip	DDDDDAD	2181
37.757	38.017	581.6	198.6	463.3	529.0	94.0	1600.0	62.3	Remove Tip	DDDDBDB	2177
38.157	38.587	528.3	160.0	410.7	493.1	42.0	150.6	7.2	Remove Tip	DDDDBDA	2176
38.597	38.737	640.3	197.7	516.5	583.3	127.1	2.0	87.8	Remove Tip	DDDDBAB	2171
38.757	38.937	626.6	225.4	475.6	555.3	80.1	2.8	39.1	Remove Tip	DDDDBAB	2171
39.077	39.697	612.0	246.2	441.6	527.7	31.3	7.0	17.5	Remove Tip	DDDDBAA	2170
39.736	39.856	608.5	257.2	427.9	523.8	33.1	6.1	1600.0	Remove Tip	DDDDBAD	2172
39.976	40.536	607.4	253.6	418.8	542.9	48.3	1600.0	1600.0	Remove Tip	DDDDBDD	2178
40.636	41.056	585.8	240.5	423.6	509.7	35.1	0.0	1600.0	Remove Tip	DDDDBAD	2172
41.275	42.314	579.8	240.9	426.4	502.3	41.0	0.0	1600.0	Remove Tip	DDDDBAD	2172
42.614	42.694	561.9	213.6	455.5	494.5	65.8	45.0	30.1	Remove Tip	DDDDBBB	2174
42.734	42.904	813.3	293.4	738.2	773.2	351.1	23.1	1600.0	Remove Tip	DDDDDAD	2181
42.914	43.204	882.6	350.7	793.0	846.6	414.6	1.0	386.8	Remove Tip	DDDDDAD	2181
43.224	43.614	776.4	260.1	733.9	820.2	381.1	39.6	849.9	Remove Tip	DDDDDBD	2184
43.784	44.064	426.6	0.0	421.2	561.5	204.4	1600.0	207.0	Remove Tip	DADDDDD	1701
44.094	44.254	437.4	123.7	344.2	431.0	24.7	349.5	451.7	Cap On	DBDDADD	1926
44.413	44.773	460.0	0.0	402.2	470.1	57.1	345.6	1600.0	Cap On	DADDBDD	1692
44.843	45.553	398.9	0.0	285.4	368.9	27.0	456.9	392.7	Cap On	DADDBDD	1692
45.773	46.113	410.4	117.5	347.9	502.2	137.9	354.0	1600.0	Cap On	DBDDBDD	1935
46.172	46.302	399.9	39.6	278.3	502.8	43.9	322.4	1600.0	Cap On	DBDDBDD	1935
46.322	46.422	395.2	6.0	1600.0	510.5	1.0	1600.0	1600.0	Cap On	DADDADD	1683
46.442	46.882	375.0	30.0	1600.0	492.9	0.0	1600.0	529.7	Cap On	DBDDADD	1926
46.922	47.172	331.8	75.0	1600.0	453.3	0.0	1600.0	121.6	Cap On	DBDDADB	1925
