start_time	end_time	App	Cap	Gauge	Pad	Pen	Safety	Tip	Action	sequence	Dict_value
2.085	2.225	374.3	0.0	1600.0	822.9	6.0	465.4	1600.0	Cap Off	DADDADD	1683
2.329	2.399	386.6	21.6	1600.0	809.8	0.0	442.8	1600.0	Cap Off	DADDADD	1683
2.624	2.794	315.8	17.7	199.1	768.0	0.0	507.0	1600.0	Cap Off	DADDADD	1683
2.804	3.154	248.0	0.0	247.6	688.0	31.0	575.0	1600.0	Cap Off	DADDBDD	1692
3.297	3.507	372.7	96.9	258.9	799.2	24.0	467.0	1600.0	Cap Off	DBDDADD	1926
3.547	3.657	381.6	113.7	268.7	809.3	23.0	123.7	1600.0	Cap Off	DBDDABD	1923
3.717	3.787	425.7	201.3	331.4	847.3	8.9	433.8	22.8	Cap Off	DDDDADA	2167
3.827	4.037	373.5	314.2	336.6	805.9	0.0	1600.0	1600.0	Cap Off	DDDDADD	2169
4.074	4.204	359.1	532.5	329.0	820.6	0.0	440.7	13.3	Cap Off	DDDDADA	2167
4.377	4.607	807.7	355.1	567.0	1303.1	476.5	1.0	497.2	Apply Tip	DDDDDAD	2181
4.623	4.693	821.0	348.6	593.8	1600.0	498.3	0.0	513.2	Apply Tip	DDDDDAD	2181
4.775	4.925	833.3	353.2	608.3	1600.0	512.9	0.0	209.6	Apply Tip	DDDDDAD	2181
5.046	5.226	844.6	340.3	635.0	1600.0	530.3	0.0	541.5	Apply Tip	DDDDDAD	2181
5.247	5.457	852.5	335.4	645.0	1600.0	532.6	0.0	1600.0	Apply Tip	DDDDDAD	2181
5.473	5.553	843.6	349.0	634.6	1600.0	518.9	0.0	1600.0	Apply Tip	DDDDDAD	2181
5.596	5.726	844.4	351.6	631.6	1600.0	516.4	0.0	1600.0	Apply Tip	DDDDDAD	2181
5.747	5.857	810.5	381.5	613.7	1600.0	485.8	0.0	1600.0	Apply Tip	DDDDDAD	2181
5.894	6.004	727.6	1600.0	587.9	1600.0	406.4	4.0	1600.0	Apply Tip	DDDDDAD	2181
6.565	6.695	314.4	934.7	374.0	804.1	17.7	40.8	1600.0	Apply Tip	DDDDABD	2166
6.716	6.806	311.0	944.2	368.1	799.8	9.0	20.6	1600.0	Apply Tip	DDDDAAD	2163
6.864	7.094	316.2	945.4	379.4	807.1	21.2	8.0	1600.0	Apply Tip	DDDDAAD	2163
7.133	8.092	322.4	934.7	371.8	806.3	13.0	1.0	1600.0	Apply Tip	DDDDAAD	2163
8.135	9.014	329.7	915.5	383.7	818.5	22.0	0.0	1600.0	Apply Tip	DDDDAAD	2163
9.09	9.33	346.0	892.7	370.9	835.6	7.0	8.0	1600.0	Apply Tip	DDDDAAD	2163
9.463	9.663	338.7	1600.0	402.4	835.4	40.0	298.1	0.0	Apply Tip	DDDDBDA	2176
9.684	10.194	305.2	1600.0	375.0	797.0	21.0	1600.0	0.0	Apply Tip	DDDDADA	2167
10.359	10.489	345.0	828.9	0.0	706.1	19.1	1600.0	367.3	Setting Units	DDADADD	2007
10.533	10.643	324.4	831.7	0.0	711.4	24.0	562.5	1600.0	Setting Units	DDADADD	2007
10.814	10.974	338.6	834.7	0.0	744.1	28.0	554.9	1600.0	Setting Units	DDADBDD	2016
10.993	11.073	343.6	838.6	0.0	750.7	32.0	554.4	1600.0	Setting Units	DDADBDD	2016
11.113	11.343	347.4	838.2	0.0	755.2	33.0	554.2	1600.0	Setting Units	DDADBDD	2016
11.381	11.491	341.0	841.7	0.0	752.6	21.0	557.8	1600.0	Setting Units	DDADADD	2007
11.512	12.461	358.9	821.4	0.0	771.4	43.0	543.0	1600.0	Setting Units	DDADBDD	2016
12.482	12.592	311.1	877.1	31.3	720.4	0.0	591.7	1600.0	Setting Units	DDBDADD	2088
12.878	13.058	227.7	1025.6	415.4	784.8	42.0	648.9	3.0	Priming	DDDDBDA	2176
13.082	13.682	274.6	1002.4	448.6	827.9	78.0	610.0	37.0	Priming	DDDDBDB	2177
13.782	15.041	288.7	993.1	447.0	837.8	67.0	600.0	30.0	Priming	DDDDBDB	2177
15.25	15.43	0.0	1325.1	479.5	427.8	348.4	952.6	365.8	Priming	ADDDDDD	729
15.511	15.761	0.0	1600.0	492.1	418.3	363.2	965.8	379.1	Priming	ADDDDDD	729
15.829	15.929	0.0	1600.0	495.8	404.2	375.5	978.9	396.1	Priming	ADDDDDD	729
15.95	16.67	0.0	1600.0	500.6	401.9	380.4	975.1	402.3	Priming	ADDDDDD	729
16.959	17.029	0.0	1600.0	481.5	403.9	363.8	959.1	392.2	Priming	ADDDDDD	729
17.2	17.73	0.0	1600.0	495.7	401.9	375.7	972.4	398.6	Priming	ADDDDDD	729
20.078	20.288	0.0	1600.0	486.0	408.1	364.4	957.3	386.4	Priming	ADDDDDD	729
20.366	20.676	0.0	1600.0	495.9	406.9	370.9	962.8	391.2	Priming	ADDDDDD	729
21.175	21.285	0.0	1600.0	483.1	382.1	374.5	969.3	405.7	Priming	ADDDDDD	729
21.323	22.692	0.0	1600.0	500.8	406.1	376.3	966.5	396.0	Priming	ADDDDDD	729
22.773	22.853	0.0	1600.0	487.3	384.3	375.5	968.8	405.3	Priming	ADDDDDD	729
23.046	24.765	0.0	1600.0	486.1	413.1	360.2	949.5	384.2	Priming	ADDDDDD	729
24.841	24.991	0.0	1600.0	488.1	408.9	364.6	954.4	388.2	Priming	ADDDDDD	729
25.242	25.392	323.1	1600.0	20.0	648.5	17.2	649.1	369.0	Setting Units	DDADADD	2007
25.415	25.495	313.8	912.5	7.6	657.2	27.9	636.8	386.9	Setting Units	DDADBDD	2016
25.51	25.62	325.7	886.7	5.0	687.3	40.3	611.1	398.1	Setting Units	DDADBDD	2016
25.785	25.865	330.7	864.4	0.0	723.8	22.0	579.5	1600.0	Setting Units	DDADADD	2007
26.081	26.471	344.4	846.1	0.0	748.6	41.0	562.0	1600.0	Setting Units	DDADBDD	2016
28.44	28.55	333.3	1600.0	867.0	0.0	491.9	1600.0	1600.0	Injection	DDDADDD	2133
28.589	28.659	312.2	1600.0	826.5	0.0	469.8	1600.0	1600.0	Injection	DDDADDD	2133
28.859	28.989	345.6	1600.0	1600.0	0.0	669.6	1600.0	238.5	Injection	DDDADDD	2133
29.031	29.131	511.8	1600.0	573.2	0.0	168.4	1600.0	135.9	Injection	DDDADDB	2132
29.15	29.27	428.4	1600.0	1600.0	0.0	94.6	1600.0	76.1	Injection	DDDABDB	2123
29.309	29.539	392.1	1600.0	1600.0	0.0	48.4	1600.0	27.3	Injection	DDDABDB	2123
30.662	31.072	366.3	1600.0	1600.0	0.0	30.0	1600.0	10.6	Injection	DDDABDA	2122
31.228	31.408	451.1	1600.0	6.7	310.2	53.3	1600.0	362.4	Injection	DDADBDD	2016
31.431	31.631	424.1	1600.0	38.2	317.2	73.9	1600.0	366.7	Injection	DDBDBDD	2097
31.646	31.756	420.2	1600.0	27.8	299.9	65.0	1600.0	352.3	Injection	DDBDBDD	2097
31.83	31.94	418.1	1600.0	16.3	289.1	55.0	1600.0	339.2	Injection	DDADBDD	2016
31.959	32.069	419.1	1600.0	0.0	269.9	38.8	1600.0	322.1	Injection	DDADBDD	2016
32.479	32.609	0.0	1600.0	544.1	463.5	512.1	1600.0	513.3	Injection	ADDDDDD	729
33.027	33.187	0.0	1600.0	573.0	472.2	543.0	1600.0	1600.0	Injection	ADDDDDD	729
33.276	33.556	0.0	1600.0	582.2	518.4	565.6	1600.0	565.3	Injection	ADDDDDD	729
33.745	34.325	0.0	1600.0	596.3	487.2	558.2	1600.0	547.4	Injection	ADDDDDD	729
34.43	34.66	0.0	1600.0	590.2	483.1	556.9	1600.0	542.5	Injection	ADDDDDD	729
34.748	35.068	0.0	1600.0	595.6	482.4	566.6	1600.0	544.8	Injection	ADDDDDD	729
35.144	35.634	0.0	1600.0	587.6	475.4	558.9	1600.0	537.3	Injection	ADDDDDD	729
35.878	36.008	0.0	1600.0	601.1	488.9	573.2	1600.0	1600.0	Injection	ADDDDDD	729
36.468	36.708	0.0	1600.0	603.0	494.8	579.0	1600.0	1600.0	Injection	ADDDDDD	729
37.013	37.783	0.0	1600.0	604.8	492.7	578.9	1600.0	1600.0	Injection	ADDDDDD	729
38.245	38.425	0.0	1600.0	611.2	492.8	582.8	1600.0	1600.0	Injection	ADDDDDD	729
38.447	39.486	0.0	1600.0	600.9	487.4	576.9	1600.0	1600.0	Injection	ADDDDDD	729
39.545	39.775	0.0	1600.0	610.6	499.4	587.4	1600.0	1600.0	Injection	ADDDDDD	729
39.796	40.695	0.0	1600.0	604.2	494.0	581.6	1600.0	1600.0	Injection	ADDDDDD	729
40.814	42.493	0.0	1600.0	604.4	495.9	581.4	1600.0	1600.0	Injection	ADDDDDD	729
42.624	42.814	0.0	1600.0	588.9	446.5	546.9	1600.0	1600.0	Injection	ADDDDDD	729
42.835	43.015	0.0	1600.0	613.1	495.2	586.8	1600.0	1600.0	Injection	ADDDDDD	729
43.114	43.224	415.0	1600.0	291.8	0.0	44.6	1600.0	16.2	Injection	DDDABDA	2122
43.381	43.511	417.1	1600.0	312.2	0.0	46.9	1600.0	30.5	Injection	DDDABDB	2123
43.53	43.64	403.1	1600.0	299.1	0.0	32.2	1600.0	8.5	Injection	DDDABDA	2122
43.814	44.763	383.3	1600.0	309.9	0.0	22.0	1600.0	3.2	Injection	DDDAADA	2113
44.783	44.863	376.7	1600.0	1600.0	70.6	31.4	1600.0	26.1	Injection	DDDBBDB	2150
44.913	45.003	411.2	1600.0	1600.0	129.4	345.7	1600.0	52.8	Injection	DDDBDDB	2159
45.492	45.612	299.1	833.1	13.0	750.1	22.6	513.0	414.3	Setting Units	DDADADD	2007
45.631	45.741	349.8	768.1	0.0	811.7	48.3	468.7	431.6	Setting Units	DDADBDD	2016
45.763	45.883	348.0	787.4	0.0	785.3	34.0	507.9	1600.0	Setting Units	DDADBDD	2016
45.898	46.008	330.7	823.0	0.0	777.1	23.4	545.7	1600.0	Setting Units	DDADADD	2007
46.282	46.372	392.7	848.9	0.0	824.2	30.0	562.2	1600.0	Setting Units	DDADBDD	2016
46.409	48.608	408.1	842.3	0.0	850.1	38.0	547.3	1600.0	Setting Units	DDADBDD	2016
49.059	49.139	332.5	1600.0	1600.0	0.0	466.0	1600.0	1600.0	Injection	DDDADDD	2133
49.157	49.257	359.6	1600.0	1600.0	0.0	366.4	1600.0	1600.0	Injection	DDDADDD	2133
49.331	49.491	375.0	1600.0	1600.0	0.0	293.3	1600.0	276.9	Injection	DDDADDD	2133
49.76	49.92	509.3	1600.0	542.3	0.0	172.6	1600.0	135.2	Injection	DDDADDB	2132
50.03	50.14	438.9	1600.0	442.7	0.0	85.0	1600.0	61.8	Injection	DDDABDB	2123
50.177	50.287	422.3	1600.0	403.3	0.0	53.3	1600.0	31.0	Injection	DDDABDB	2123
50.407	50.577	415.0	1600.0	379.7	0.0	41.0	1600.0	18.0	Injection	DDDABDA	2122
50.596	51.126	422.0	1600.0	373.3	0.0	33.1	1600.0	13.0	Injection	DDDABDA	2122
51.178	51.258	424.0	1600.0	388.4	0.0	52.2	1600.0	29.1	Injection	DDDABDB	2123
51.3	52.259	406.1	1600.0	341.5	1.0	22.0	1600.0	0.0	Injection	DDDAADA	2113
52.319	52.559	386.5	1600.0	321.8	3.2	11.4	1600.0	0.0	Injection	DDDAADA	2113
53.298	54.038	0.0	1600.0	1600.0	467.9	577.0	1600.0	544.7	Injection	ADDDDDD	729
