start_time	end_time	App	Cap	Gauge	Pad	Pen	Safety	Tip	Action	sequence	Dict_value
0.908	0.998	413.2	81.1	1600.0	813.7	0.0	445.8	1600.0	Cap Off	DBDDADD	1926
1.159	1.399	391.5	53.8	1600.0	789.6	0.0	487.3	1600.0	Cap Off	DBDDADD	1926
1.417	1.687	358.2	21.9	1600.0	836.1	0.0	442.1	1600.0	Cap Off	DADDADD	1683
1.707	1.787	331.2	0.0	224.3	836.6	17.3	448.8	1600.0	Cap Off	DADDADD	1683
1.877	1.987	332.8	0.0	305.2	890.0	91.2	463.2	1600.0	Cap Off	DADDBDD	1692
2.004	2.264	406.5	0.0	338.6	992.6	107.0	397.6	1600.0	Cap Off	DADDBDD	1692
2.334	2.404	412.8	29.1	323.1	993.5	92.5	390.1	1600.0	Cap Off	DBDDBDD	1935
2.556	2.666	466.6	111.3	403.2	1600.0	86.6	1600.0	64.4	Cap Off	DBDDBDB	1934
2.728	2.808	710.6	0.0	565.7	1600.0	341.4	1600.0	331.5	Cap Off	DADDDDD	1701
2.977	3.087	1600.0	19.1	688.3	1600.0	653.7	229.5	723.3	Cap Off	DADDDDD	1701
3.126	3.256	1600.0	0.0	762.5	1600.0	751.7	350.0	886.6	Cap Off	DADDDDD	1701
3.385	3.665	1600.0	0.0	793.5	1600.0	785.8	386.5	1600.0	Cap Off	DADDDDD	1701
3.688	3.778	1600.0	0.0	778.9	1600.0	772.6	380.0	929.9	Cap Off	DADDDDD	1701
3.853	4.053	1600.0	324.1	644.3	1600.0	568.6	25.1	608.2	Apply Tip	DDDDDBD	2184
4.237	4.327	892.0	402.3	594.9	1600.0	487.1	0.0	500.1	Apply Tip	DDDDDAD	2181
4.383	4.503	899.9	402.2	597.3	1600.0	489.7	0.0	502.9	Apply Tip	DDDDDAD	2181
4.527	4.797	913.7	398.3	593.8	1600.0	484.0	5.8	499.3	Apply Tip	DDDDDAD	2181
4.932	5.042	706.4	1600.0	508.3	1600.0	309.4	0.0	306.6	Apply Tip	DDDDDAD	2181
5.087	5.157	520.1	1600.0	445.4	1111.0	156.1	3.0	141.5	Apply Tip	DDDDDAB	2180
5.226	5.336	342.2	896.7	350.0	886.7	25.2	82.0	18.0	Apply Tip	DDDDBBA	2173
5.373	5.463	380.5	881.5	365.3	924.5	28.0	35.8	0.0	Apply Tip	DDDDBBA	2173
5.616	5.756	401.1	903.5	374.8	959.5	24.7	2.0	1600.0	Apply Tip	DDDDAAD	2163
5.777	6.187	395.4	894.0	378.6	946.3	29.0	0.0	1600.0	Apply Tip	DDDDBAD	2172
6.223	7.202	384.1	917.5	375.6	929.3	29.0	0.0	1600.0	Apply Tip	DDDDBAD	2172
7.222	8.101	395.5	933.0	370.8	940.6	26.9	1.4	1600.0	Apply Tip	DDDDBAD	2172
8.193	8.873	418.3	870.7	390.6	978.3	44.1	0.0	1600.0	Apply Tip	DDDDBAD	2172
8.892	9.032	412.5	1600.0	399.1	967.8	54.0	333.3	17.8	Apply Tip	DDDDBDA	2176
9.05	9.28	407.4	1600.0	372.9	956.4	31.3	448.5	4.5	Apply Tip	DDDDBDA	2176
9.724	9.834	443.6	659.6	3.6	1600.0	11.0	1600.0	340.0	Setting Units	DDADADD	2007
9.853	9.953	433.9	679.5	0.0	1600.0	32.2	1600.0	366.1	Setting Units	DDADBDD	2016
9.99	10.1	432.7	688.3	0.0	838.4	40.0	1600.0	377.8	Setting Units	DDADBDD	2016
10.124	10.224	405.1	720.8	0.0	811.5	43.0	557.9	378.0	Setting Units	DDADBDD	2016
10.402	10.502	338.5	758.2	8.1	771.5	0.0	516.1	314.0	Setting Units	DDADADD	2007
10.549	10.799	373.7	717.8	3.0	816.8	13.0	464.2	328.6	Setting Units	DDADADD	2007
10.844	11.004	426.8	692.8	0.0	880.5	39.1	449.7	370.5	Setting Units	DDADBDD	2016
11.12	12.309	426.1	715.9	0.0	894.3	36.1	459.9	383.6	Setting Units	DDADBDD	2016
12.391	12.481	423.9	714.8	0.0	879.1	9.0	468.7	363.1	Setting Units	DDADADD	2007
