start_time	end_time	App	Cap	Gauge	Pad	Pen	Safety	Tip	Action	sequence	Dict_value
0.568	1.467	321.3	46.0	147.7	597.4	0.0	492.7	1600.0	Cap Off	DBBDADD	1845
1.484	1.604	264.0	58.1	156.6	581.1	0.0	450.7	1600.0	Cap Off	DBDDADD	1926
1.645	1.765	168.0	3.2	211.2	503.1	1.0	531.5	1600.0	Cap Off	DADDADD	1683
1.789	1.969	182.3	0.0	214.1	515.4	8.0	535.0	1600.0	Cap Off	DADDADD	1683
2.995	3.105	784.9	43.1	542.6	1142.4	466.4	125.9	1600.0	Cap Off	DBDDDBD	1941
3.358	3.518	1600.0	5.0	856.3	1600.0	842.4	496.5	1008.6	Cap Off	DADDDDD	1701
3.884	4.144	248.0	935.3	134.2	551.3	0.0	522.3	183.0	Cap Off	DDBDADD	2088
4.163	4.263	228.0	1021.5	176.6	549.5	0.0	524.8	150.4	Cap Off	DDDDADD	2169
4.308	4.398	224.0	1600.0	166.9	542.6	0.0	534.4	161.5	Cap Off	DDDDADD	2169
4.683	4.783	784.2	1600.0	632.7	1200.3	563.0	17.7	598.6	Apply Tip	DDDDDAD	2181
4.874	4.984	770.5	1600.0	643.9	1213.2	539.4	3.0	549.8	Apply Tip	DDDDDAD	2181
5.084	5.174	770.5	1600.0	642.3	1600.0	534.5	0.0	544.4	Apply Tip	DDDDDAD	2181
5.253	5.463	767.9	1600.0	643.5	1600.0	526.1	1.0	1600.0	Apply Tip	DDDDDAD	2181
5.482	5.742	668.9	1600.0	629.1	1115.5	417.0	0.0	1600.0	Apply Tip	DDDDDAD	2181
5.762	5.832	552.6	769.4	594.9	990.4	289.2	0.0	272.9	Apply Tip	DDDDDAD	2181
5.907	6.017	441.0	812.2	470.6	838.1	128.3	0.0	107.8	Apply Tip	DDDDBAB	2171
6.033	6.143	364.6	860.4	377.5	730.6	18.0	62.7	0.0	Apply Tip	DDDDABA	2164
6.186	6.286	380.6	856.4	392.0	743.4	29.0	27.3	1600.0	Apply Tip	DDDDBBD	2175
6.303	7.562	403.0	837.7	401.4	753.5	37.6	0.0	1600.0	Apply Tip	DDDDBAD	2172
7.583	7.943	444.2	782.7	414.5	777.1	40.2	0.0	1600.0	Apply Tip	DDDDBAD	2172
7.962	8.092	451.0	779.5	420.5	786.3	48.3	0.0	1600.0	Apply Tip	DDDDBAD	2172
8.113	8.763	449.0	784.9	404.8	776.2	22.5	7.3	1600.0	Apply Tip	DDDDAAD	2163
8.785	8.985	450.6	778.0	414.6	779.2	34.5	5.0	1600.0	Apply Tip	DDDDBAD	2172
9.06	9.25	453.0	778.1	412.8	784.1	33.5	3.6	1600.0	Apply Tip	DDDDBAD	2172
10.072	10.162	403.0	826.2	421.9	766.2	42.4	328.3	7.0	Apply Tip	DDDDBDA	2176
10.354	10.564	383.0	1600.0	422.8	745.1	50.0	1600.0	12.1	Apply Tip	DDDDBDA	2176
10.653	10.733	353.4	1600.0	81.4	580.8	0.0	687.2	297.0	Apply Tip	DDBDADD	2088
10.804	10.904	328.4	954.3	17.0	552.9	0.0	1600.0	347.1	Setting Units	DDADADD	2007
11.03	11.31	314.5	935.7	0.0	601.3	28.2	564.9	1600.0	Setting Units	DDADBDD	2016
11.329	11.579	330.3	908.6	0.0	653.6	36.1	519.9	1600.0	Setting Units	DDADBDD	2016
11.599	11.729	357.5	876.2	7.0	678.4	67.0	496.0	1600.0	Setting Units	DDADBDD	2016
11.753	11.883	338.2	899.6	0.0	661.1	44.0	517.0	1600.0	Setting Units	DDADBDD	2016
12.079	13.348	341.1	895.2	0.0	670.6	45.0	511.6	1600.0	Setting Units	DDADBDD	2016
13.428	13.538	318.9	938.0	6.0	621.6	31.0	545.8	1600.0	Setting Units	DDADBDD	2016
13.6	13.67	320.7	951.0	13.6	596.9	44.1	563.5	404.6	Setting Units	DDADBDD	2016
13.712	13.852	97.6	1176.1	194.8	474.7	0.0	721.0	169.9	Priming	BDDDADD	1440
13.871	13.991	173.6	1086.6	191.4	522.9	0.0	643.2	173.6	Priming	DDDDADD	2169
14.02	14.11	203.6	1071.2	315.8	615.8	0.0	594.8	46.9	Priming	DDDDADB	2168
14.2	14.28	241.3	1065.7	387.3	678.1	46.0	569.3	10.8	Priming	DDDDBDA	2176
14.299	14.459	246.7	1069.7	395.4	684.5	57.0	565.3	15.6	Priming	DDDDBDA	2176
14.502	14.682	259.9	1103.8	440.4	704.2	102.6	578.2	50.0	Priming	DDDDBDB	2177
14.697	15.117	276.0	1086.0	435.0	715.6	95.0	562.0	52.8	Priming	DDDDBDB	2177
15.14	15.38	268.5	1095.4	443.2	713.3	99.0	576.0	52.4	Priming	DDDDBDB	2177
15.439	16.348	269.4	1097.3	446.4	714.9	99.0	580.9	47.3	Priming	DDDDBDB	2177
16.48	16.63	0.0	1294.6	386.1	364.2	247.5	843.5	286.1	Priming	ADDDDDD	729
16.67	16.75	0.0	1291.8	374.6	367.3	234.5	830.4	276.1	Priming	ADDDDDD	729
16.866	17.026	0.0	1600.0	397.7	350.7	263.9	859.0	302.6	Priming	ADDDDDD	729
17.306	17.426	0.0	1600.0	417.8	341.6	285.6	883.3	322.7	Priming	ADDDDDD	729
17.465	17.585	0.0	1600.0	375.6	366.1	239.2	838.0	283.2	Priming	ADDDDDD	729
17.61	17.69	0.0	1600.0	390.6	360.0	255.3	853.2	295.4	Priming	ADDDDDD	729
17.698	18.418	0.0	1600.0	418.7	333.8	292.5	891.4	332.8	Priming	ADDDDDD	729
18.435	18.545	0.0	1600.0	418.7	341.6	288.6	885.7	326.4	Priming	ADDDDDD	729
18.569	18.639	0.0	1600.0	396.3	350.5	266.3	864.4	309.0	Priming	ADDDDDD	729
18.719	18.899	0.0	1600.0	417.4	338.8	290.1	886.6	328.6	Priming	ADDDDDD	729
