start_time	end_time	App	Cap	Gauge	Pad	Pen	Safety	Tip	Action	sequence	Dict_value
1.404	1.514	369.3	0.0	197.8	843.7	18.0	541.3	1600.0	Cap Off	DADDADD	1683
1.657	1.767	451.6	83.6	95.8	908.8	0.0	425.3	1600.0	Cap Off	DBBDADD	1845
1.929	2.039	304.0	0.0	1600.0	763.8	47.4	537.4	1600.0	Cap Off	DADDBDD	1692
2.075	2.235	303.3	14.0	230.8	785.1	15.6	527.0	1600.0	Cap Off	DADDADD	1683
2.257	2.357	295.2	0.0	263.4	761.6	40.0	553.5	1600.0	Cap Off	DADDBDD	1692
2.377	2.607	294.4	0.0	275.4	754.2	52.0	564.2	1600.0	Cap Off	DADDBDD	1692
2.628	2.998	365.1	88.1	292.0	819.6	51.0	520.4	1600.0	Cap Off	DBDDBDD	1935
3.036	3.136	380.8	424.7	323.1	845.2	0.0	1600.0	1600.0	Cap Off	DDDDADD	2169
3.156	3.266	375.5	313.7	353.1	856.0	0.0	1600.0	8.9	Cap Off	DDDDADA	2167
3.325	3.395	397.0	376.9	357.0	903.4	26.9	1600.0	1600.0	Cap Off	DDDDBDD	2178
3.874	3.984	1600.0	0.0	859.6	1600.0	842.8	417.3	950.7	Cap Off	DADDDDD	1701
4.024	4.164	1600.0	9.0	879.3	1600.0	861.1	432.8	1600.0	Cap Off	DADDDDD	1701
4.188	4.268	1600.0	3.0	896.7	1600.0	875.6	387.4	1600.0	Cap Off	DADDDDD	1701
4.283	4.403	1600.0	0.0	912.4	1600.0	893.7	403.9	1600.0	Cap Off	DADDDDD	1701
4.427	4.547	1600.0	0.0	893.7	1600.0	872.6	390.6	954.1	Cap Off	DADDDDD	1701
4.604	4.714	1600.0	2.0	854.8	1600.0	837.7	415.0	1600.0	Cap Off	DADDDDD	1701
4.734	4.834	1600.0	36.0	832.8	1600.0	815.2	400.0	914.2	Cap Off	DBDDDDD	1944
4.874	4.984	1600.0	39.4	755.4	1600.0	724.8	299.1	801.2	Cap Off	DBDDDDD	1944
5.027	5.137	1600.0	4.5	777.3	1600.0	735.2	259.1	1600.0	Cap Off	DADDDDD	1701
5.457	5.607	1600.0	0.0	877.8	1600.0	854.7	381.8	1600.0	Cap Off	DADDDDD	1701
5.804	5.874	1600.0	370.2	751.5	1600.0	612.2	3.6	616.1	Apply Tip	DDDDDAD	2181
5.956	6.076	922.6	408.3	758.8	1600.0	593.6	0.0	593.0	Apply Tip	DDDDDAD	2181
6.246	6.336	923.5	428.1	783.4	1600.0	610.0	0.0	1600.0	Apply Tip	DDDDDAD	2181
6.354	6.444	927.9	1600.0	783.0	1600.0	612.6	1.0	612.0	Apply Tip	DDDDDAD	2181
6.523	6.853	736.5	1600.0	685.4	1600.0	425.5	4.1	1600.0	Apply Tip	DDDDDAD	2181
