start_time	end_time	App	Cap	Gauge	Pad	Pen	Safety	Tip	Action	sequence	Dict_value
0.28	0.53	459.0	76.7	110.5	854.5	0.0	412.5	1600.0	Cap Off	DBBDADD	1845
0.57	0.81	475.8	93.2	95.1	871.0	0.0	400.9	1600.0	Cap Off	DBBDADD	1845
0.828	1.108	477.2	93.4	95.3	867.2	0.0	403.1	1600.0	Cap Off	DBBDADD	1845
1.244	1.374	411.9	26.0	161.0	806.8	0.0	438.2	1600.0	Cap Off	DBDDADD	1926
1.398	1.498	401.5	25.0	157.3	785.6	0.0	436.0	1600.0	Cap Off	DADDADD	1683
1.559	1.629	378.1	17.3	1600.0	749.2	0.0	431.9	1600.0	Cap Off	DADDADD	1683
1.645	1.755	361.6	4.0	1600.0	740.7	1.0	425.6	1600.0	Cap Off	DADDADD	1683
1.798	1.898	338.5	24.0	1600.0	748.1	30.3	465.1	1600.0	Cap Off	DADDBDD	1692
2.066	2.176	437.6	12.0	218.1	1600.0	0.0	351.4	1600.0	Cap Off	DADDADD	1683
2.219	2.329	430.1	0.0	255.3	1600.0	24.1	372.2	1600.0	Cap Off	DADDADD	1683
2.365	2.625	485.7	0.0	282.1	1600.0	38.6	342.8	1600.0	Cap Off	DADDBDD	1692
2.644	2.824	545.1	73.8	348.0	1600.0	0.0	318.9	1600.0	Cap Off	DBDDADD	1926
2.894	2.974	1141.1	290.2	674.2	1600.0	639.0	378.3	1600.0	Cap Off	DDDDDDD	2187
3.187	3.267	1600.0	127.8	832.0	1600.0	831.0	562.9	1600.0	Cap Off	DBDDDDD	1944
3.346	3.446	1600.0	93.3	883.2	1600.0	886.9	613.2	1600.0	Cap Off	DBDDDDD	1944
3.808	3.898	435.2	745.3	0.0	1600.0	21.9	466.1	1600.0	Setting Units	DDADADD	2007
3.914	4.024	403.8	773.9	7.6	1600.0	38.6	444.1	1600.0	Setting Units	DDADBDD	2016
4.043	4.133	404.5	796.7	0.0	911.6	20.5	423.1	1600.0	Setting Units	DDADADD	2007
4.213	4.293	451.5	789.7	0.0	957.2	21.9	432.8	1600.0	Setting Units	DDADADD	2007
4.493	4.563	475.0	806.4	0.0	999.1	32.0	454.6	1600.0	Setting Units	DDADBDD	2016
4.587	4.697	466.3	815.1	0.0	1600.0	27.5	462.9	376.3	Setting Units	DDADBDD	2016
4.715	4.845	455.7	826.0	0.0	980.2	18.4	474.5	1600.0	Setting Units	DDADADD	2007
4.866	4.976	452.5	827.0	0.0	978.9	15.5	460.9	1600.0	Setting Units	DDADADD	2007
5.014	5.464	461.5	819.0	0.0	984.1	23.1	455.8	1600.0	Setting Units	DDADADD	2007
5.692	5.932	385.7	950.1	373.1	1033.2	16.0	432.6	1600.0	Priming	DDDDADD	2169
5.996	6.106	410.7	920.8	379.0	1055.9	31.0	390.0	1600.0	Priming	DDDDBDD	2178
6.382	6.492	433.5	864.0	332.0	1063.8	5.1	353.1	1600.0	Priming	DDDDADD	2169
6.515	6.735	423.8	895.7	367.0	1068.2	25.0	369.7	1600.0	Priming	DDDDADD	2169
6.804	6.944	449.6	857.9	345.5	1081.4	23.1	338.5	1600.0	Priming	DDDDADD	2169
7.083	7.293	462.6	751.8	0.0	1600.0	23.0	500.5	1600.0	Priming	DDADADD	2007
7.515	7.585	822.2	481.2	478.7	1600.0	431.0	26.0	1600.0	Apply Tip	DDDDDBD	2184
7.605	7.715	851.0	477.3	510.9	1600.0	472.9	0.0	541.5	Apply Tip	DDDDDAD	2181
7.753	7.993	860.1	497.0	515.6	1600.0	473.6	0.0	537.2	Apply Tip	DDDDDAD	2181
8.054	8.164	867.5	501.2	521.9	1600.0	464.6	0.0	515.2	Apply Tip	DDDDDAD	2181
8.315	8.655	837.9	1600.0	493.9	1600.0	420.9	49.7	274.8	Apply Tip	DDDDDBD	2184
8.701	8.841	737.8	1600.0	550.7	1600.0	311.1	1600.0	1600.0	Apply Tip	DDDDDDD	2187
9.131	9.261	438.8	850.2	377.0	1600.0	25.1	21.0	1600.0	Apply Tip	DDDDBAD	2172
9.3	9.41	425.8	871.8	376.3	1054.5	14.0	9.5	1600.0	Apply Tip	DDDDAAD	2163
9.434	9.524	433.3	870.9	378.0	1059.9	19.1	4.0	1600.0	Apply Tip	DDDDAAD	2163
9.582	9.832	441.8	873.4	381.2	1065.3	28.3	0.0	1600.0	Apply Tip	DDDDBAD	2172
9.851	10.681	439.2	863.6	358.0	1036.3	16.0	0.0	1600.0	Apply Tip	DDDDAAD	2163
10.704	11.883	456.7	1600.0	368.9	1064.6	14.0	0.0	1600.0	Apply Tip	DDDDAAD	2163
11.902	12.082	457.3	835.1	367.4	1064.1	18.2	0.0	1600.0	Apply Tip	DDDDAAD	2163
12.163	12.393	454.9	1600.0	372.3	1067.5	20.0	0.0	1600.0	Apply Tip	DDDDAAD	2163
12.449	12.609	452.7	841.7	371.3	1067.6	13.9	0.0	313.4	Apply Tip	DDDDAAD	2163
12.717	12.877	470.1	829.6	368.5	1091.3	16.6	15.2	316.6	Apply Tip	DDDDAAD	2163
12.9	12.98	466.0	850.6	377.0	1093.5	13.3	1.4	1600.0	Apply Tip	DDDDAAD	2163
13.002	13.112	474.0	1600.0	416.4	1093.8	49.0	87.1	1.4	Apply Tip	DDDDBBA	2173
13.132	13.342	484.6	1600.0	401.9	1081.4	41.0	324.1	0.0	Apply Tip	DDDDBDA	2176
13.382	13.832	462.1	1600.0	419.7	1081.1	60.0	1600.0	12.2	Apply Tip	DDDDBDA	2176
14.277	14.407	396.3	815.8	0.0	863.3	22.4	480.7	371.2	Setting Units	DDADADD	2007
14.431	14.551	416.9	792.8	0.0	904.8	35.4	454.5	384.8	Setting Units	DDADBDD	2016
14.571	14.661	437.2	771.1	0.0	950.1	24.0	424.6	366.5	Setting Units	DDADADD	2007
14.701	14.981	458.6	762.4	8.1	981.0	22.2	422.1	369.8	Setting Units	DDADADD	2007
15.017	15.107	468.7	762.1	5.0	994.7	23.1	417.4	369.0	Setting Units	DDADADD	2007
15.127	15.757	492.2	742.2	0.0	1014.5	41.1	400.8	391.6	Setting Units	DDADBDD	2016
15.819	15.949	490.6	742.0	0.0	1600.0	46.5	400.9	395.5	Setting Units	DDADBDD	2016
15.998	16.078	427.6	799.1	5.8	973.2	0.0	436.8	347.7	Setting Units	DDADADD	2007
16.119	16.229	281.4	982.3	265.6	914.6	0.0	527.0	92.6	Priming	DDDDADB	2168
16.32	16.5	343.5	979.4	379.9	985.3	39.1	475.9	11.2	Priming	DDDDBDA	2176
16.638	16.748	268.5	1036.0	358.9	894.3	85.1	529.0	84.0	Priming	DDDDBDB	2177
16.859	16.959	0.0	1361.8	492.8	494.3	413.0	865.6	444.1	Priming	ADDDDDD	729
16.976	17.066	0.0	1600.0	514.8	455.7	439.5	904.0	471.3	Priming	ADDDDDD	729
17.266	17.376	322.5	1600.0	354.0	878.0	70.0	507.4	69.6	Priming	DDDDBDB	2177
17.417	17.617	411.2	1600.0	374.5	980.0	45.0	427.8	3.2	Priming	DDDDBDA	2176
17.68	17.79	426.3	977.2	390.6	1017.4	56.1	421.4	24.1	Priming	DDDDBDA	2176
17.999	18.089	419.0	979.1	396.1	1031.9	62.0	436.8	27.3	Priming	DDDDBDB	2177
18.149	18.229	417.4	983.9	402.0	1034.9	65.2	440.7	29.7	Priming	DDDDBDB	2177
18.246	18.336	402.6	982.3	387.0	1021.3	49.0	446.9	11.0	Priming	DDDDBDA	2176
18.395	18.625	415.2	984.8	403.0	1036.5	64.0	442.7	29.4	Priming	DDDDBDB	2177
18.926	18.996	0.0	1600.0	502.7	453.4	456.8	924.9	508.3	Priming	ADDDDDD	729
19.135	19.365	0.0	1600.0	506.7	447.8	457.1	936.1	505.3	Priming	ADDDDDD	729
19.386	19.476	0.0	1600.0	508.7	450.4	457.8	940.6	509.6	Priming	ADDDDDD	729
19.578	19.668	0.0	1600.0	491.1	414.2	461.8	958.0	538.0	Priming	ADDDDDD	729
19.684	19.944	0.0	1600.0	520.4	427.6	478.3	974.2	540.7	Priming	ADDDDDD	729
19.965	20.355	0.0	1600.0	524.0	434.6	476.8	961.3	532.1	Priming	ADDDDDD	729
20.395	20.515	0.0	1600.0	517.6	441.9	467.3	952.4	520.4	Priming	ADDDDDD	729
20.535	21.574	0.0	1600.0	532.0	426.9	485.6	972.2	538.9	Priming	ADDDDDD	729
21.633	23.112	0.0	1600.0	518.3	431.2	473.9	963.3	531.2	Priming	ADDDDDD	729
24.061	24.231	376.0	1600.0	327.6	921.5	14.4	470.1	14.9	Priming	DDDDADA	2167
24.386	24.536	0.0	1600.0	457.9	464.7	417.8	900.3	477.3	Priming	ADDDDDD	729
24.615	25.534	0.0	1600.0	503.1	456.0	454.3	931.1	500.7	Priming	ADDDDDD	729
25.613	27.012	0.0	1600.0	507.2	453.6	456.2	934.4	502.1	Priming	ADDDDDD	729
27.112	27.362	0.0	1600.0	503.2	465.2	448.5	923.9	492.7	Priming	ADDDDDD	729
27.511	27.761	0.0	1600.0	504.0	461.2	450.1	926.9	495.3	Priming	ADDDDDD	729
27.782	28.032	0.0	1600.0	508.6	446.9	459.3	937.5	508.0	Priming	ADDDDDD	729
28.963	29.033	387.4	1600.0	6.1	809.0	20.0	525.4	337.3	Setting Units	DDADADD	2007
29.13	29.23	399.5	890.9	1.4	876.1	22.0	467.8	333.0	Setting Units	DDADADD	2007
29.42	29.65	409.8	855.9	0.0	941.8	11.7	444.2	328.1	Setting Units	DDADADD	2007
29.702	31.231	427.2	837.6	0.0	965.6	31.1	428.7	352.2	Setting Units	DDADBDD	2016
31.549	31.619	310.0	1600.0	992.3	0.0	680.2	1388.1	659.7	Injection	DDDADDD	2133
31.676	31.776	320.7	1600.0	1053.5	0.0	685.4	1600.0	660.2	Injection	DDDADDD	2133
31.799	31.929	325.4	1600.0	1132.2	0.0	676.5	1600.0	627.5	Injection	DDDADDD	2133
31.971	32.081	332.0	1600.0	1600.0	0.0	603.7	1600.0	570.8	Injection	DDDADDD	2133
32.098	32.228	368.0	421.7	1600.0	0.0	413.7	1600.0	377.6	Injection	DDDADDD	2133
32.247	32.377	355.0	1600.0	1600.0	0.0	229.3	1600.0	198.6	Injection	DDDADDD	2133
32.397	32.497	478.6	1600.0	1600.0	0.0	101.0	1600.0	82.7	Injection	DDDABDB	2123
32.796	32.926	452.1	1600.0	1600.0	0.0	41.2	1600.0	17.0	Injection	DDDABDA	2122
33.3	33.39	457.2	1600.0	1600.0	0.0	32.0	1600.0	7.0	Injection	DDDABDA	2122
33.579	33.759	443.3	1600.0	1600.0	0.0	24.0	1600.0	3.0	Injection	DDDAADA	2113
33.875	34.065	429.7	1600.0	1600.0	4.2	11.0	1600.0	0.0	Injection	DDDAADA	2113
34.38	34.48	415.6	1600.0	354.0	0.0	14.3	1600.0	3.0	Injection	DDDAADA	2113
34.519	34.729	420.5	1600.0	353.2	6.3	7.0	1600.0	0.0	Injection	DDDAADA	2113
34.789	34.889	475.9	1600.0	30.5	285.1	0.0	1600.0	318.7	Injection	DDBDADD	2088
35.288	35.448	432.2	1600.0	161.7	447.6	177.3	1600.0	481.0	Injection	DDDDDDD	2187
35.897	36.007	0.0	1600.0	556.7	449.4	516.2	1600.0	517.3	Injection	ADDDDDD	729
36.045	36.165	0.0	1600.0	595.1	472.6	544.5	1600.0	542.4	Injection	ADDDDDD	729
36.186	36.296	0.0	1600.0	627.3	482.5	559.7	1600.0	557.2	Injection	ADDDDDD	729
36.318	36.428	0.0	1600.0	613.5	471.8	549.9	1600.0	544.7	Injection	ADDDDDD	729
36.484	38.603	0.0	1600.0	638.2	485.4	570.8	1600.0	562.6	Injection	ADDDDDD	729
38.645	38.925	0.0	1600.0	643.0	499.4	583.4	1600.0	574.7	Injection	ADDDDDD	729
39.034	39.654	0.0	1600.0	649.0	493.9	592.0	1600.0	574.7	Injection	ADDDDDD	729
39.792	39.972	0.0	1600.0	645.1	491.2	586.2	1600.0	571.6	Injection	ADDDDDD	729
40.013	40.123	0.0	1600.0	638.0	486.6	579.2	1600.0	564.9	Injection	ADDDDDD	729
40.146	40.246	0.0	1600.0	624.0	478.3	566.2	1600.0	554.2	Injection	ADDDDDD	729
40.283	40.373	0.0	1600.0	647.0	494.9	587.4	1600.0	574.2	Injection	ADDDDDD	729
40.394	40.494	0.0	1600.0	579.4	433.5	520.0	1600.0	506.0	Injection	ADDDDDD	729
40.563	40.643	0.0	1600.0	636.0	488.6	583.8	1600.0	567.1	Injection	ADDDDDD	729
40.755	40.995	410.6	1600.0	287.6	8.9	35.8	1600.0	0.0	Injection	DDDABDA	2122
41.134	41.944	0.0	1600.0	641.1	489.1	585.2	1600.0	567.1	Injection	ADDDDDD	729
41.983	42.143	0.0	1600.0	640.0	495.2	596.9	1600.0	573.0	Injection	ADDDDDD	729
42.165	42.515	0.0	1600.0	625.1	477.1	576.4	1600.0	555.0	Injection	ADDDDDD	729
42.531	42.621	0.0	1600.0	631.1	479.1	578.4	1600.0	559.5	Injection	ADDDDDD	729
42.662	43.082	0.0	1600.0	621.0	487.0	577.9	1600.0	558.8	Injection	ADDDDDD	729
43.154	43.274	0.0	1600.0	612.0	475.3	564.9	1600.0	549.9	Injection	ADDDDDD	729
43.511	43.611	0.0	1600.0	610.1	465.8	553.4	1600.0	540.3	Injection	ADDDDDD	729
43.661	43.771	0.0	1600.0	619.0	482.5	573.6	1600.0	557.1	Injection	ADDDDDD	729
43.779	43.859	0.0	1600.0	673.0	524.4	634.7	1600.0	605.5	Injection	ADDDDDD	729
44.16	44.6	0.0	1600.0	631.0	489.6	588.9	1600.0	566.4	Injection	ADDDDDD	729
44.751	44.971	0.0	1600.0	659.3	490.6	596.2	1600.0	577.1	Injection	ADDDDDD	729
45.013	45.483	0.0	1600.0	680.1	516.5	619.5	1600.0	602.2	Injection	ADDDDDD	729
45.55	45.8	0.0	1600.0	695.3	549.5	646.3	1600.0	631.5	Injection	ADDDDDD	729
46.03	46.11	401.9	1600.0	280.7	7.2	9.2	1600.0	0.0	Injection	DDDAADA	2113
46.169	46.259	410.2	1600.0	277.7	5.0	7.3	1600.0	0.0	Injection	DDDAADA	2113
46.701	46.771	402.0	1600.0	307.4	0.0	31.8	1600.0	14.9	Injection	DDDABDA	2122
