start_time	end_time	App	Cap	Gauge	Pad	Pen	Safety	Tip	Action	sequence	Dict_value
0.959	1.269	338.7	45.7	148.0	565.9	0.0	359.8	1600.0	Cap Off	DBBDADD	1845
1.299	1.509	629.2	300.7	66.9	872.0	110.1	160.4	1600.0	Cap Off	DDBDBDD	2097
1.679	1.789	623.6	300.0	64.2	838.3	109.0	144.9	1600.0	Cap Off	DDBDBBD	2094
1.829	2.019	395.3	74.2	118.0	598.3	0.0	305.6	1600.0	Cap Off	DBBDADD	1845
2.359	2.759	294.0	0.0	222.5	494.4	23.0	374.3	1600.0	Cap Off	DADDADD	1683
2.778	2.938	311.7	8.1	217.7	525.6	0.0	338.1	1600.0	Cap Off	DADDADD	1683
2.958	3.278	346.7	70.1	186.9	562.7	0.0	322.7	1600.0	Cap Off	DBDDADD	1926
3.298	3.498	341.1	71.8	208.3	556.3	0.0	353.6	1600.0	Cap Off	DBDDADD	1926
3.598	3.668	465.5	443.6	319.9	1600.0	0.0	218.4	595.2	Cap Off	DDDDADD	2169
3.708	3.958	449.2	335.9	309.9	686.8	0.0	229.8	602.7	Cap Off	DDDDADD	2169
3.978	4.168	444.5	301.4	312.0	669.6	0.0	249.4	619.9	Cap Off	DDDDADD	2169
4.307	4.437	251.1	8.0	912.1	150.8	561.7	894.4	1600.0	Cap Off	DADDDDD	1701
4.457	4.557	244.0	0.0	857.5	149.0	505.0	859.4	1600.0	Cap Off	DADBDDD	1674
4.577	4.677	260.0	5.0	842.3	155.8	492.5	864.5	1600.0	Cap Off	DADDDDD	1701
4.697	4.827	270.0	0.0	825.2	168.2	478.6	862.6	1600.0	Cap Off	DADDDDD	1701
4.987	5.227	447.7	581.4	222.8	669.2	1.4	257.7	621.4	Apply Tip	DDDDADD	2169
5.267	5.507	358.3	590.8	261.7	598.0	8.5	270.8	663.1	Apply Tip	DDDDADD	2169
5.547	5.957	347.1	613.8	1600.0	607.4	22.1	280.2	670.7	Apply Tip	DDDDADD	2169
6.017	6.127	356.9	629.3	1600.0	620.3	0.0	278.3	668.7	Apply Tip	DDDDADD	2169
6.296	6.446	667.7	982.8	638.4	927.1	305.1	0.0	360.2	Apply Tip	DDDDDAD	2181
6.576	6.826	687.1	1002.7	667.2	957.9	283.2	21.9	341.6	Apply Tip	DDDDDAD	2181
6.866	7.106	674.2	977.8	650.7	942.8	281.0	0.0	1600.0	Apply Tip	DDDDDAD	2181
7.266	7.406	666.0	943.2	619.5	927.6	251.1	1.0	12.0	Apply Tip	DDDDDAA	2179
