start_time	end_time	App	Cap	Gauge	Pad	Pen	Safety	Tip	Action	sequence	Dict_value
0.58	0.82	328.1	49.0	164.6	596.1	6.0	819.0	1600.0	Cap Off	DBDDADD	1926
0.86	1.26	316.7	26.5	188.3	581.6	0.0	850.0	1600.0	Cap Off	DBDDADD	1926
1.289	1.449	457.3	190.0	18.4	725.7	0.0	652.7	1600.0	Cap Off	DDADADD	2007
1.509	1.779	347.2	84.7	130.6	623.4	10.0	795.1	1600.0	Cap Off	DBBDADD	1845
1.799	1.879	354.4	93.0	135.8	653.3	0.0	844.0	1600.0	Cap Off	DBBDADD	1845
1.929	2.339	576.6	277.1	0.0	891.6	19.0	734.3	1600.0	Cap Off	DDADADD	2007
2.409	2.659	345.1	71.7	215.0	642.0	25.0	919.9	597.0	Cap Off	DBDDADD	1926
2.758	2.928	302.7	267.5	329.8	641.1	6.0	963.2	721.1	Cap Off	DDDDADD	2169
2.938	3.288	227.2	242.9	383.6	547.9	15.0	1048.7	778.2	Cap Off	DDDDADD	2169
3.308	3.738	263.3	292.5	338.6	598.4	7.0	978.6	731.3	Cap Off	DDDDADD	2169
3.758	3.938	287.5	1600.0	286.3	621.4	0.0	910.3	1600.0	Cap Off	DDDDADD	2169
3.958	4.028	240.1	360.0	277.3	585.9	1.0	934.3	1600.0	Apply Tip	DDDDADD	2169
4.048	4.268	227.0	369.3	309.6	591.9	7.8	916.6	1600.0	Apply Tip	DDDDADD	2169
4.307	4.587	257.0	455.8	353.0	650.8	29.7	893.0	1600.0	Apply Tip	DDDDBDD	2178
4.897	4.977	1246.0	1600.0	1600.0	1600.0	783.3	14.0	1600.0	Apply Tip	DDDDDAD	2181
5.017	5.117	1234.1	1600.0	1600.0	1600.0	771.3	0.0	1600.0	Apply Tip	DDDDDAD	2181
5.377	5.587	430.6	668.3	1600.0	1600.0	57.3	1600.0	1600.0	Apply Tip	DDDDBDD	2178
5.607	5.757	494.9	723.0	1600.0	1600.0	52.8	445.5	446.8	Apply Tip	DDDDBDD	2178
5.777	5.987	543.6	783.3	499.6	1600.0	54.8	100.5	101.9	Apply Tip	DDDDBBB	2174
6.026	6.156	605.4	833.9	527.7	1600.0	54.6	9.0	557.6	Apply Tip	DDDDBAD	2172
6.176	6.826	613.2	826.6	515.2	1600.0	23.6	5.0	571.8	Apply Tip	DDDDAAD	2163
6.846	7.576	603.2	788.5	487.6	1600.0	24.2	18.2	1600.0	Apply Tip	DDDDAAD	2163
7.666	8.476	598.7	767.1	471.1	1600.0	8.1	15.8	1600.0	Apply Tip	DDDDAAD	2163
8.495	9.135	628.5	816.2	503.8	1600.0	32.8	14.0	1600.0	Apply Tip	DDDDBAD	2172
9.175	9.495	615.8	850.8	498.3	1600.0	44.0	45.9	1600.0	Apply Tip	DDDDBBD	2175
9.504	9.574	530.0	1600.0	584.5	1600.0	67.0	202.0	30.0	Apply Tip	DDDDBDB	2177
9.594	9.844	498.5	1600.0	555.4	1600.0	53.9	185.9	12.0	Apply Tip	DDDDBDA	2176
9.864	10.234	483.1	1600.0	506.3	1600.0	44.2	682.0	23.1	Apply Tip	DDDDBDA	2176
10.314	10.394	326.2	1600.0	298.8	1600.0	0.0	973.7	155.9	Apply Tip	DDDDADD	2169
10.464	10.714	438.2	749.4	444.6	836.0	28.8	840.0	9.4	Apply Tip	DDDDBDA	2176
10.734	10.804	362.1	465.7	1600.0	744.5	20.0	848.6	117.5	Apply Tip	DDDDADB	2168
10.824	10.944	390.0	495.0	303.5	776.2	3.0	795.3	86.1	Apply Tip	DDDDADB	2168
10.964	11.074	415.0	535.2	279.2	805.4	0.0	752.3	95.2	Setting Units	DDDDADB	2168
11.223	11.373	544.2	607.1	80.5	918.5	8.9	648.3	311.7	Setting Units	DDBDADD	2088
11.393	11.613	569.7	618.4	38.1	939.5	44.4	637.4	417.7	Setting Units	DDBDBDD	2097
11.673	11.743	554.0	600.5	28.0	1600.0	57.2	667.8	464.3	Setting Units	DDBDBDD	2097
11.803	11.923	513.2	574.2	6.0	1600.0	49.0	696.5	461.0	Setting Units	DDADBDD	2016
11.943	12.373	521.8	568.8	22.0	1600.0	33.7	688.8	441.0	Setting Units	DDADBDD	2016
12.393	13.113	550.4	577.1	1.0	1600.0	35.0	702.4	459.0	Setting Units	DDADBDD	2016
13.132	13.252	414.7	469.2	97.7	1600.0	0.0	820.1	340.9	Priming	DDBDADD	2088
13.282	13.492	470.6	513.9	76.0	834.4	17.0	738.8	374.4	Priming	DDBDADD	2088
13.632	13.712	466.2	458.1	54.4	791.4	11.0	753.1	348.8	Priming	DDBDADD	2088
13.802	14.042	481.2	418.0	0.0	774.8	16.0	834.0	404.0	Priming	DDADADD	2007
14.112	14.242	351.0	543.7	418.0	790.9	30.0	832.1	0.0	Priming	DDDDBDA	2176
14.292	14.922	360.8	582.9	469.2	820.6	81.0	819.1	32.0	Priming	DDDDBDB	2177
14.941	16.81	381.0	592.0	472.0	844.2	70.0	815.0	23.2	Priming	DDDDBDA	2176
16.83	17.22	382.2	582.8	471.0	834.8	71.0	808.2	24.3	Priming	DDDDBDA	2176
17.28	18.01	383.8	579.4	460.7	828.5	70.0	804.5	16.8	Priming	DDDDBDA	2176
18.179	18.409	367.0	562.6	461.0	798.8	69.4	838.8	16.0	Priming	DDDDBDA	2176
18.499	18.759	377.8	483.0	306.9	761.7	8.1	836.1	95.7	Priming	DDDDADB	2168
19.039	19.109	0.0	366.7	705.8	392.2	319.2	1295.8	281.0	Priming	ADDDDDD	729
19.129	19.359	0.0	389.2	763.0	383.4	352.9	1600.0	309.2	Priming	ADDDDDD	729
19.399	19.639	0.0	379.0	733.1	391.0	353.0	1600.0	321.1	Priming	ADDDDDD	729
19.679	19.959	0.0	377.0	735.5	380.4	347.9	1600.0	314.5	Priming	ADDDDDD	729
20.008	20.308	0.0	382.6	730.4	393.8	341.9	1600.0	308.6	Priming	ADDDDDD	729
20.348	25.945	0.0	377.4	716.9	397.4	324.6	1600.0	291.0	Priming	ADDDDDD	729
26.125	26.335	636.8	694.6	23.3	1600.0	78.0	561.5	496.9	Setting Units	DDADBDD	2016
26.375	26.525	614.2	687.7	18.0	1600.0	63.4	597.5	505.4	Setting Units	DDADBDD	2016
26.545	26.625	605.1	676.9	18.0	1600.0	56.2	607.3	502.2	Setting Units	DDADBDD	2016
26.644	26.874	594.0	659.3	15.0	1600.0	43.4	622.9	492.9	Setting Units	DDADBDD	2016
26.914	27.324	587.0	649.9	20.0	1600.0	30.4	633.3	482.7	Setting Units	DDADBDD	2016
27.344	28.893	604.1	666.6	25.0	1600.0	44.0	616.6	498.7	Setting Units	DDADBDD	2016
28.913	29.283	488.1	555.0	115.9	1600.0	13.2	729.6	344.0	Injection	DDBDADD	2088
29.403	29.573	71.0	433.4	594.8	564.2	213.6	1101.2	191.4	Injection	BDDDDDD	1458
29.663	29.853	0.0	419.3	754.6	398.8	332.3	1262.1	291.6	Injection	ADDDDDD	729
29.893	30.113	265.3	1600.0	1015.1	80.0	577.6	1600.0	543.0	Injection	DDDBDDD	2160
30.192	30.272	306.0	1600.0	1600.0	6.3	455.8	1600.0	419.8	Injection	DDDADDD	2133
