start_time	end_time	App	Cap	Gauge	Pad	Pen	Safety	Tip	Action	sequence	Dict_value
2.389	2.569	1132.3	736.0	1600.0	1600.0	407.4	89.2	1600.0	Cap Off	DDDDDBD	2184
2.579	3.389	1600.0	734.8	1600.0	1600.0	286.6	53.1	1600.0	Apply Tip	DDDDDBD	2184
3.408	5.137	695.0	342.1	1600.0	1600.0	2.0	31.1	1600.0	Apply Tip	DDDDABD	2166
5.577	7.746	706.1	342.8	1600.0	1600.0	7.2	47.2	1600.0	Apply Tip	DDDDABD	2166
7.766	8.006	705.1	348.1	1600.0	1600.0	17.5	58.7	1600.0	Apply Tip	DDDDABD	2166
8.175	11.613	681.1	331.4	1600.0	1600.0	17.1	50.2	1600.0	Apply Tip	DDDDABD	2166
11.633	12.193	766.0	406.8	314.3	1600.0	0.0	251.9	33.6	Apply Tip	DDDDADB	2168
12.233	12.453	1058.8	794.1	48.8	1600.0	103.7	558.3	420.9	Apply Tip	DDBDBDD	2097
12.463	12.863	937.7	573.1	8.1	1600.0	57.8	464.7	383.6	Setting Units	DDADBDD	2016
12.903	13.972	796.5	414.2	39.3	1600.0	61.1	302.1	345.3	Setting Units	DDBDBDD	2097
14.102	14.462	727.6	346.3	63.0	1600.0	0.0	233.9	150.0	Setting Units	DDBDADB	2087
14.542	14.712	628.2	277.6	244.1	775.9	101.0	172.4	1600.0	Setting Units	DDDDBDD	2178
14.772	15.022	517.9	159.0	500.4	692.9	172.9	58.3	1600.0	Priming	DDDDDBD	2184
15.161	15.281	0.0	233.2	1129.3	404.8	727.1	447.3	700.1	Priming	ADDDDDD	729
15.311	15.531	0.0	336.2	1600.0	320.9	857.0	553.7	826.5	Priming	ADDDDDD	729
15.541	15.661	0.0	283.8	1600.0	316.2	844.0	506.8	806.1	Priming	ADDDDDD	729
15.761	16.68	0.0	309.7	1600.0	416.0	845.5	544.6	808.3	Priming	ADDDDDD	729
16.7	17.37	0.0	302.7	1209.4	375.0	807.8	528.2	775.5	Priming	ADDDDDD	729
17.51	19.159	0.0	288.5	1600.0	414.1	775.5	510.7	747.7	Priming	ADDDDDD	729
19.319	19.549	0.0	310.2	1600.0	467.2	799.1	531.1	771.4	Priming	ADDDDDD	729
19.559	20.898	0.0	291.3	1139.3	425.1	755.7	511.2	728.7	Priming	ADDDDDD	729
21.028	22.557	0.0	298.8	1087.6	410.8	699.4	518.0	674.5	Priming	ADDDDDD	729
22.577	23.756	0.0	322.3	1099.5	351.5	700.7	536.7	674.8	Priming	ADDDDDD	729
23.776	23.946	0.0	301.9	963.3	439.7	623.1	521.5	596.0	Priming	ADDDDDD	729
24.116	24.456	797.3	416.4	53.3	950.9	0.0	293.2	291.4	Priming	DDBDADD	2088
24.476	25.196	850.6	460.5	22.8	1010.4	63.4	338.9	380.8	Setting Units	DDADBDD	2016
25.216	25.696	851.3	438.7	25.5	1063.3	46.3	317.2	363.2	Setting Units	DDBDBDD	2097
25.955	28.903	868.5	450.1	32.0	1600.0	49.3	325.2	370.0	Setting Units	DDBDBDD	2097
29.043	29.283	868.3	452.2	16.0	1600.0	0.0	333.3	270.6	Setting Units	DDADADD	2007
29.313	29.443	672.3	300.9	216.1	867.4	116.4	195.6	1600.0	Setting Units	DDDDBDD	2178
29.483	29.623	483.3	81.6	401.7	721.4	1600.0	1.4	1600.0	Injection	DBDDDAD	1938
29.843	30.463	337.9	553.5	1600.0	0.0	557.0	1600.0	528.0	Injection	DDDADDD	2133
30.503	33.561	427.0	486.1	1600.0	0.0	25.6	661.7	5.0	Injection	DDDABDA	2122
33.611	33.721	102.5	351.4	1600.0	178.5	0.0	593.1	221.6	Injection	BDDDADD	1440
33.801	34.721	99.2	319.8	51.9	252.1	73.7	577.2	294.2	Injection	BDBDBDD	1368
34.74	34.84	77.2	310.6	72.6	270.7	96.4	570.2	312.5	Injection	BDBDBDD	1368
34.95	35.46	0.0	354.4	249.9	451.3	271.3	628.2	500.1	Injection	ADDDDDD	729
35.6	35.77	0.0	365.1	252.2	449.6	261.4	637.3	497.9	Injection	ADDDDDD	729
36.339	37.838	0.0	347.6	254.2	418.7	287.6	607.4	443.1	Injection	ADDDDDD	729
37.888	43.455	0.0	355.0	302.5	462.1	321.1	615.8	485.4	Injection	ADDDDDD	729
43.515	43.635	88.5	417.9	32.9	202.1	62.4	643.6	1600.0	Injection	BDBDBDD	1368
43.695	43.845	76.4	403.1	55.2	214.8	77.4	633.3	244.4	Injection	BDBDBDD	1368
43.885	46.344	0.0	376.2	284.6	445.1	301.0	633.2	470.7	Injection	ADDDDDD	729
46.573	46.803	182.7	421.0	400.7	93.9	5.4	498.1	31.1	Injection	DDDBADB	2141
46.973	47.423	501.8	138.9	1600.0	699.1	179.7	37.7	170.7	Injection	DBDDDBD	1941
47.463	47.583	811.0	491.1	1600.0	1600.0	57.4	322.9	42.6	Remove Tip	DDDDBDB	2177
47.623	47.943	847.2	484.1	1600.0	1600.0	28.2	336.0	20.6	Remove Tip	DDDDBDA	2176
